
[00:00:00.000 --> 00:00:07.300]  很多時候我們去教會,或者參加一些靈會、聚會,都會聽見一些基督徒出來做一些見證的。
[00:00:07.300 --> 00:00:14.800]  只要我們去參加一些教會的活動,或者參加一些另外的聚會,經常會看到一些基督徒來做一些見證。
[00:00:14.800 --> 00:00:25.000]  以前我們教會也都...有時候請一些宣教士,或者做完一些事工之後,都會請一些基督徒出來分享。
[00:00:25.000 --> 00:00:32.000]  我們有時候會請一些宣教士,我們做完一些事工之後,我們在這裡做一些分享。
[00:00:32.000 --> 00:00:34.300]  我不知道你喜不喜歡聽這些分享、這些見證。
[00:00:34.300 --> 00:00:37.700]  我不知道你們是不是喜歡聽這些分享和見證。
[00:00:37.700 --> 00:00:41.000]  不過我通常都留意到有一個這樣的現象。
[00:00:41.000 --> 00:00:50.500]  我通常留意到有這麼一個現象,就是分享的人,他通常都會在最開頭和最後都會用一句話去開始和總結。
[00:00:50.500 --> 00:00:55.300]  他通常都會在最開頭和最後都會用一句話去開始和總結。
[00:00:55.300 --> 00:01:00.300]  他一出來就會這樣說:願一切榮耀、頌讚,歸於我們的主耶和華神。
[00:01:00.300 --> 00:01:03.500]  願一切榮耀、頌讚,歸於我們的主耶和華神。
[00:01:03.500 --> 00:01:05.500]  然後說了很久之後呢?
[00:01:05.500 --> 00:01:06.800]  講了很久之後呢?
[00:01:06.800 --> 00:01:08.000]  後來又是這樣說的。
[00:01:08.000 --> 00:01:09.000]  最後又這麼講。
[00:01:09.000 --> 00:01:12.500]  願一切榮耀、頌讚,歸於我們的主耶和華神。
[00:01:12.500 --> 00:01:17.000]  願一切榮耀、頌讚,歸於我們的主耶和華神。
[00:01:17.000 --> 00:01:21.500]  那時候當我聽見那些分享者這樣講之後呢?
[00:01:21.500 --> 00:01:24.000]  當這個分享者這樣講之後呢?
[00:01:24.000 --> 00:01:26.000]  我都不其然地會這樣想的了。
[00:01:26.000 --> 00:01:28.000]  我就不知道他們會這樣想。
[00:01:28.000 --> 00:01:34.000]  其實到底這位分享者是不是真的由心而發地去講這一番話呢?
[00:01:34.000 --> 00:01:38.000]  其實他這個分享者是有心而發的呢?
[00:01:38.000 --> 00:01:41.000]  是不是真的可以做到榮耀神呢?
[00:01:41.000 --> 00:01:43.000]  是不是真的已經是榮耀神了呢?
[00:01:43.000 --> 00:01:52.000]  還是只是一些基督教裡面的習慣去要開始見美都要這樣講啊,讚美我們的主耶和華神呢?
[00:01:52.000 --> 00:01:57.000]  或者說基督教的習慣就是在開始和結尾都要讚美我們的主耶和華神呢?
[00:01:57.000 --> 00:02:02.500]  就好像有些分享者另一些類似的話,一開始就會說感謝主。
[00:02:02.500 --> 00:02:07.000]  最後說另外一些,感謝主。
[00:02:07.000 --> 00:02:09.000]  是不是真的由心而發地出的呢?
[00:02:09.000 --> 00:02:12.500]  是不是由內心發出來的呢?
[00:02:12.500 --> 00:02:16.000]  現在我們回想一下這一句話。
[00:02:16.000 --> 00:02:17.500]  讓我們思考這一句話。
[00:02:17.500 --> 00:02:20.000]  願一切榮耀重贊歸於我們的神。
[00:02:20.000 --> 00:02:22.500]  讓一切榮耀重贊歸於我們的神。
[00:02:22.500 --> 00:02:27.500]  我們是不是真的能夠去榮耀歸榮耀給我們的神呢?
[00:02:27.500 --> 00:02:31.500]  我們是否真的能夠將歸榮耀給我們的神呢?
[00:02:31.500 --> 00:02:38.500]  在年輕人裡面,通常基督教都有一句很常用的英文。
[00:02:38.500 --> 00:02:43.500]  在年輕人裡面,通常基督教都有一句很常用的英文。
[00:02:43.500 --> 00:02:46.500]  用四個英文字去代表的。
[00:02:46.500 --> 00:02:47.500]  用四個英文字去代表的。
[00:02:47.500 --> 00:02:50.500]  用四個英文字去代表的。
[00:02:50.500 --> 00:02:56.500]  WWJD
[00:02:56.500 --> 00:03:03.500]  是一個簡稱來的,就是What Would Jesus Do?
[00:03:03.500 --> 00:03:08.500]  基本上這句話的簡稱就是,耶穌會怎麼做,我就要怎麼做。
[00:03:08.500 --> 00:03:12.500]  基督教是怎麼說,接受怎麼做,我就怎麼做。
