
[00:00:00.000 --> 00:00:04.000]  新約聖經內有三本書被稱為教目書信
[00:00:04.000 --> 00:00:08.000]  是專門寫給教會的領袖
[00:00:08.000 --> 00:00:12.000]  而剛才我們所讀的提多書就是其中的一本
[00:00:12.000 --> 00:00:18.000]  今天我們會一連三個星期在提多書會講一個講道系列
[00:00:18.000 --> 00:00:24.000]  這本書雖然是保羅寫給當時格里底的領袖提多
[00:00:25.000 --> 00:00:33.000]  但是信內的內容所提到的教導其實對信徒和領袖同被詛咒
[00:00:33.000 --> 00:00:35.000]  都是對我們有益的
[00:00:35.000 --> 00:00:39.000]  今天就讓我們一同去通過這段經文一同學習
[00:00:39.000 --> 00:00:43.000]  我們大家都知道領袖是相當重要的
[00:00:43.000 --> 00:00:45.000]  大家同不同意?
[00:00:45.000 --> 00:00:47.000]  當然是領袖重要
[00:00:47.000 --> 00:00:49.000]  因為當有事情發生的時候
[00:00:49.000 --> 00:00:51.000]  沒有領袖誰去背鍋?
[00:00:51.000 --> 00:00:53.000]  誰給我們去指責?
[00:00:54.000 --> 00:00:56.000]  這個說法也是他的道理
[00:00:56.000 --> 00:01:01.000]  不過這個是相當消極的方式來看領袖
[00:01:01.000 --> 00:01:03.000]  如果從積極的角度來看
[00:01:03.000 --> 00:01:08.000]  領袖其實是可以幫助帶領他所屬的群體也好
[00:01:08.000 --> 00:01:09.000]  機構也好
[00:01:09.000 --> 00:01:10.000]  甚至是國家
[00:01:10.000 --> 00:01:14.000]  來取得他們所定義的成功
[00:01:14.000 --> 00:01:18.000]  最近我在我負責的英語茶經班上
[00:01:18.000 --> 00:01:21.000]  我跟我的學生問他們一個問題
[00:01:21.000 --> 00:01:26.000]  你們可不可以舉一個今天天災人禍的例子
[00:01:26.000 --> 00:01:29.000]  他們就說新冠病毒
[00:01:29.000 --> 00:01:32.000]  另一個女士就說不是
[00:01:32.000 --> 00:01:34.000]  新冠病毒是人為的
[00:01:34.000 --> 00:01:36.000]  大家怎麼看?
[00:01:36.000 --> 00:01:37.000]  當然了
[00:01:37.000 --> 00:01:39.000]  如果一旦發現
[00:01:39.000 --> 00:01:40.000]  現在還在找
[00:01:40.000 --> 00:01:44.000]  如果一旦發現這個病毒是實驗室裏製造出來的話
[00:01:44.000 --> 00:01:47.000]  當然這是一個人為的災禍
[00:01:47.000 --> 00:01:50.000]  但是無論如何
[00:01:50.000 --> 00:01:56.000]  我們大家看到這個新冠病毒所引發對整個世界的破壞
[00:01:56.000 --> 00:02:00.000]  其實或多或少都有人為的因素在裏面
[00:02:00.000 --> 00:02:03.000]  我們經常或者很多時候都會聽到
[00:02:03.000 --> 00:02:08.000]  如果某些國家他們的領袖做不同的決定
[00:02:08.000 --> 00:02:10.000]  或者一早做某些決定
[00:02:10.000 --> 00:02:13.000]  這個世界就不會死傷這麼多人
[00:02:13.000 --> 00:02:15.000]  當然了
[00:02:15.000 --> 00:02:18.000]  在事情發生了之後來做評論
[00:02:18.000 --> 00:02:20.000]  是每個人都會說的
[00:02:20.000 --> 00:02:21.000]  不難的
[00:02:21.000 --> 00:02:22.000]  我們叫什麼?
[00:02:22.000 --> 00:02:24.000]  叫做馬後炮
[00:02:24.000 --> 00:02:25.000]  但是大家要明白
