
[00:00:00.000 --> 00:00:01.520]  一個身不由己的人
[00:00:01.520 --> 00:00:02.560]  讓我們一起禱告
[00:00:02.560 --> 00:00:04.560]  求主帶領我們以下的時間
[00:00:04.560 --> 00:00:13.400]  主啊 求祢的聖靈安靜我們的心
[00:00:13.400 --> 00:00:14.920]  或許在這一刻
[00:00:14.920 --> 00:00:16.920]  我們的心裡仍然畏著
[00:00:16.920 --> 00:00:19.600]  過去一些事的發生
[00:00:19.600 --> 00:00:21.600]  我們心裡仍然憂慮
[00:00:21.600 --> 00:00:22.600]  擔心
[00:00:22.600 --> 00:00:24.800]  又或者我們正在想
[00:00:24.800 --> 00:00:26.800]  即將要做的事情
[00:00:26.800 --> 00:00:29.800]  主啊 求祢幫助我們
[00:00:30.000 --> 00:00:32.600]  願意坐在這裡享受
[00:00:32.600 --> 00:00:34.200]  好像瑪利亞一樣
[00:00:34.200 --> 00:00:35.600]  上好的福分
[00:00:35.600 --> 00:00:38.600]  讓我們安靜在主祢的面前
[00:00:38.600 --> 00:00:41.600]  我們去聆聽祢的話語
[00:00:41.600 --> 00:00:44.600]  主啊 因為祢的話語是真理
[00:00:44.600 --> 00:00:47.600]  祢的真理使我們得到自由
[00:00:47.600 --> 00:00:49.400]  主啊 今天我們看到
[00:00:49.400 --> 00:00:52.000]  世界上有很多人都被捆綁
[00:00:52.000 --> 00:00:56.000]  無論在新心靈裡都被捆綁的時候
[00:00:56.000 --> 00:00:58.800]  主啊 求祢的話語去釋放我們
[00:00:59.400 --> 00:01:01.200]  主啊 我們真的很需要祢的道
[00:01:01.200 --> 00:01:02.600]  去指教我們
[00:01:02.600 --> 00:01:04.600]  求祢的聖靈去幫助
[00:01:04.600 --> 00:01:08.000]  求祢讓我們有一個謙虛柔和的心
[00:01:08.000 --> 00:01:12.000]  讓我們能夠承載得到祢的話在我們的心田
[00:01:12.000 --> 00:01:15.600]  也讓祢的話語去更新 改變我們
[00:01:15.600 --> 00:01:17.800]  多謝祢 讓我們在祢面前祈禱
[00:01:17.800 --> 00:01:19.200]  奉耶穌基督的名
[00:01:19.200 --> 00:01:20.200]  阿門
[00:01:20.200 --> 00:01:25.000]  今年四月好像發生很久之前的事
[00:01:25.000 --> 00:01:27.200]  但如果大家記憶猶新的話
[00:01:27.600 --> 00:01:32.400]  南韓前總統朴槿惠被控貪污濫權
[00:01:32.400 --> 00:01:35.400]  16項罪名成立
[00:01:35.400 --> 00:01:38.200]  一審被判囚24年
[00:01:38.200 --> 00:01:40.800]  罰款1.3億港元
[00:01:40.800 --> 00:01:43.200]  這件事震驚全世界
[00:01:43.200 --> 00:01:47.000]  因為南韓史上第一個女總統
[00:01:47.000 --> 00:01:48.800]  落到如此下場
[00:01:48.800 --> 00:01:50.800]  都覺得很可惜
[00:01:50.800 --> 00:01:54.600]  大家知道這件事背後其實有一個女人
[00:01:55.600 --> 00:01:58.000]  和朴槿惠有關的
[00:01:58.000 --> 00:02:00.800]  就是她的閨中密友崔信實
[00:02:00.800 --> 00:02:04.000]  她涉嫌干政
[00:02:04.000 --> 00:02:07.600]  和朴槿惠一起濫權貪污
[00:02:07.600 --> 00:02:13.800]  收了很多韓國的大財團幾百萬美金的賄款
[00:02:13.800 --> 00:02:17.600]  原來這件事我再看多一點的時候
[00:02:17.600 --> 00:02:19.000]  背後有一個故事
[00:02:19.000 --> 00:02:22.000]  原來1974年的時候
[00:02:22.400 --> 00:02:27.200]  朴槿惠當時的母親被人殺死了
[00:02:27.200 --> 00:02:28.000]  於是身亡
[00:02:28.000 --> 00:02:32.200]  之後當時朴槿惠的父親叫做朴正熙
[00:02:32.200 --> 00:02:34.600]  他是南韓的總統
[00:02:34.600 --> 00:02:36.800]  因為他母親死了之後
[00:02:36.800 --> 00:02:38.400]  他父親不打算再娶
[00:02:38.400 --> 00:02:40.800]  於是朴槿惠就成為了第一夫人
[00:02:40.800 --> 00:02:44.600]  崔信實的父親叫做崔泰敏
[00:02:44.600 --> 00:02:47.600]  當時他就開始接觸朴槿惠
[00:02:47.600 --> 00:02:50.000]  成為了他的精神導師
[00:02:50.800 --> 00:02:53.400]  而崔信實是崔泰敏的女兒
[00:02:53.400 --> 00:02:55.400]  比朴槿惠小四歲
[00:02:55.400 --> 00:03:03.200]  朴槿惠的精神導師叫做崔泰敏
[00:03:03.200 --> 00:03:07.200]  每一次演講的時候陪朴槿惠在旁邊
[00:03:07.200 --> 00:03:12.400]  而崔信實也因為這樣接近了朴槿惠
[00:03:12.400 --> 00:03:14.800]  成為了他的心膠
[00:03:15.600 --> 00:03:21.000]  而且又說朴槿惠很艱難的時候
[00:03:21.000 --> 00:03:24.200]  崔信實在他旁邊幫了他很多
[00:03:24.200 --> 00:03:26.800]  所以就用這個人情牌
[00:03:26.800 --> 00:03:29.400]  其實就有力地去影響
[00:03:29.400 --> 00:03:32.400]  甚至控制著朴槿惠的思政
[00:03:32.400 --> 00:03:34.800]  當然我相信
[00:03:34.800 --> 00:03:38.800]  牛不喝水不禁得牛頭低
[00:03:38.800 --> 00:03:40.000]  他犯事
[00:03:40.000 --> 00:03:42.600]  朴槿惠自己都要負上責任
[00:03:43.000 --> 00:03:47.200]  但是人在江湖是不是真的身不由己呢?
[00:03:47.200 --> 00:03:52.000]  可能你說這個朴槿惠的事跟我有什麼關係呢?
[00:03:52.000 --> 00:03:53.800]  我又不是什麼領袖
[00:03:53.800 --> 00:03:55.800]  我都是小市民
[00:03:55.800 --> 00:03:59.000]  但是我想身不由己的感覺
[00:03:59.000 --> 00:04:01.800]  有時候我們都會有這個經歷
[00:04:01.800 --> 00:04:07.000]  在職場、在家庭、在朋友圈裡面
[00:04:07.000 --> 00:04:09.200]  有時候我們在那些角色
[00:04:09.200 --> 00:04:10.600]  在某些位置
[00:04:10.600 --> 00:04:13.800]  你發覺你真的不可以按著自己的良心
[00:04:13.800 --> 00:04:16.800]  按著真相來做事
[00:04:16.800 --> 00:04:19.200]  你明明知道應該怎麼做
[00:04:19.200 --> 00:04:21.800]  但是做的時候就無能為力
[00:04:21.800 --> 00:04:23.400]  為什麼呢?
[00:04:23.400 --> 00:04:27.000]  因為我們被恐懼佔據了我們的心
[00:04:27.000 --> 00:04:29.000]  我們很怕得罪人
[00:04:29.000 --> 00:04:31.200]  很怕破壞關係
[00:04:31.200 --> 00:04:33.200]  很怕失去飯碗
[00:04:33.200 --> 00:04:35.000]  很怕被孤立
[00:04:35.000 --> 00:04:36.600]  很怕被遺棄
[00:04:36.600 --> 00:04:39.200]  很怕失去所擁有
[00:04:41.200 --> 00:04:44.000]  你不要以為全道人沒有這些掙扎
[00:04:44.000 --> 00:04:48.000]  不要以為我們在教會做事很瀟灑
[00:04:48.000 --> 00:04:50.400]  全道人都是一個罪人
[00:04:50.400 --> 00:04:52.400]  都一樣會有懼怕
[00:04:52.400 --> 00:04:53.400]  懼怕什麼呢?
[00:04:53.400 --> 00:04:54.600]  有時候可能看到弟兄姊妹
[00:04:54.600 --> 00:04:56.600]  有些事情都覺得不太對
[00:04:56.600 --> 00:04:58.400]  但如果你跟他們說
[00:04:58.400 --> 00:04:59.000]  哎呀糟了
[00:04:59.000 --> 00:05:02.600]  會不會破壞了我在他們心目中的形象呢?
[00:05:02.600 --> 00:05:04.400]  會不會說我沒有愛心呢?
[00:05:04.400 --> 00:05:05.800]  不體諒呢?
[00:05:05.800 --> 00:05:08.800]  有時候都很怕直接去說
[00:05:10.600 --> 00:05:12.400]  所以身不由己的感覺
[00:05:12.400 --> 00:05:15.000]  我相信每一個人都不會豁免
[00:05:15.000 --> 00:05:17.600]  有時候我們行事為人
[00:05:17.600 --> 00:05:19.200]  是被恐懼驅使
[00:05:19.200 --> 00:05:21.200]  而不是被愛驅使
[00:05:21.200 --> 00:05:24.200]  今天我們來看聖經裡
[00:05:24.200 --> 00:05:26.600]  這個很有趣的人物比拉多
[00:05:26.600 --> 00:05:28.600]  我相信
[00:05:28.600 --> 00:05:30.600]  我自己覺得比拉多是一個
[00:05:30.600 --> 00:05:33.200]  身不由己的典型例子
[00:05:33.200 --> 00:05:37.200]  他雖然作為一個猶太的巡撫
[00:05:37.200 --> 00:05:38.200]  一個官
[00:05:38.600 --> 00:05:42.800]  但他也要被迫去做一些違背自己良心的事
[00:05:42.800 --> 00:05:46.400]  耶穌很認識我們每一個人
[00:05:46.400 --> 00:05:49.000]  祂知道我們每一個人的死穴在哪裡
[00:05:49.000 --> 00:05:51.000]  祂看穿了比拉多
[00:05:51.000 --> 00:05:52.600]  祂挑戰比拉多
[00:05:52.600 --> 00:05:56.000]  要回到真正一個自由的生命
[00:05:56.000 --> 00:05:58.000]  因為祂的生命被捆綁
[00:05:58.000 --> 00:06:00.000]  今天我們來看
[00:06:00.000 --> 00:06:03.800]  約翰福音第十八章二十八至四十節的時候
[00:06:03.800 --> 00:06:07.200]  讓我們透過比拉多反面教材
[00:06:07.600 --> 00:06:11.000]  學習怎樣去活出一個真正自由的人生
[00:06:11.000 --> 00:06:14.400]  約翰福音來到第十八章
[00:06:14.400 --> 00:06:17.000]  我相信大家如果沒有睡著覺
[00:06:17.000 --> 00:06:20.400]  你應該大概有發現
[00:06:20.400 --> 00:06:22.400]  在約翰福音記載了很多
[00:06:22.400 --> 00:06:24.600]  耶穌與個別人士的對話
