
[00:00:00.000 --> 00:00:03.000]  大家好 我們一起去禱告
[00:00:03.000 --> 00:00:07.000]  天父我們感謝你 給予一段很寶貴的經文
[00:00:07.000 --> 00:00:10.000]  讓我們為人人禱告 求主你幫助
[00:00:10.000 --> 00:00:12.000]  讓我們一起去學習
[00:00:12.000 --> 00:00:16.000]  我們這樣祈禱 奉主耶穌基督的名 阿門
[00:00:16.000 --> 00:00:22.000]  英國有一位已故的牧者 史托德John Shaw
[00:00:22.000 --> 00:00:24.000]  我想大家都認識他
[00:00:24.000 --> 00:00:26.000]  他講到有一次的經驗
[00:00:26.000 --> 00:00:29.000]  去到一個小鎮的地方 去到一個教會
[00:00:29.000 --> 00:00:35.000]  這個教會剛剛在他們的敬拜裏 一同參與
[00:00:35.000 --> 00:00:39.000]  當地的牧師去了旅遊
[00:00:39.000 --> 00:00:44.000]  去旅遊好好休息一下
[00:00:44.000 --> 00:00:49.000]  教會裏面一般有牧者禱告
[00:00:49.000 --> 00:00:52.000]  有一位掌執代替了這位牧師禱告
[00:00:52.000 --> 00:00:57.000]  他禱告的時候 史托德很留意他的禱文
[00:00:57.000 --> 00:00:59.000]  他的禱文就是說
[00:00:59.000 --> 00:01:03.000]  求神給這位牧師好好去旅遊 很開心
[00:01:03.000 --> 00:01:07.000]  還有教會提到兩位的姊妹
[00:01:07.000 --> 00:01:12.000]  需要神的醫治 結束了
[00:01:12.000 --> 00:01:14.000]  史托德覺得沒什麼問題
[00:01:14.000 --> 00:01:20.000]  這個禱告為牧者去旅遊 求主祝福
[00:01:20.000 --> 00:01:23.000]  也為病者禱告 非常重要
[00:01:23.000 --> 00:01:26.000]  因為人的需要 神很顧念
[00:01:26.000 --> 00:01:29.000]  但是史托德有一個憂慮
[00:01:29.000 --> 00:01:32.000]  在短短的半分鐘的禱告
[00:01:32.000 --> 00:01:34.000]  好像就這樣結束了
[00:01:34.000 --> 00:01:41.000]  好像覺得這個禱告很內在
[00:01:41.000 --> 00:01:44.000]  好像看不到世界的需要
[00:01:44.000 --> 00:01:47.000]  他感覺到整個教會的崇拜
[00:01:47.000 --> 00:01:52.000]  好像在崇拜一位很小的神 很狹窄的神
[00:01:52.000 --> 00:01:55.000]  他看不到這個神是普世胸懷
[00:01:55.000 --> 00:01:58.000]  是整個世界的需要
[00:01:58.000 --> 00:02:02.000]  看不到這個教會 好像看到這一點
[00:02:02.000 --> 00:02:04.000]  這就是史托德的憂慮
[00:02:04.000 --> 00:02:06.000]  有時候我想想
[00:02:06.000 --> 00:02:10.000]  可能成為了我們的憂慮也說不定
[00:02:10.000 --> 00:02:12.000]  我記得我剛剛回來窩福的時候
[00:02:12.000 --> 00:02:14.000]  去做全套
[00:02:14.000 --> 00:02:17.000]  我都會帶大家去崇拜裡面 牧者禱告
[00:02:17.000 --> 00:02:19.000]  我發覺我的禱告
[00:02:19.000 --> 00:02:23.000]  都停留在一個很狹窄的圈子裡面
[00:02:23.000 --> 00:02:25.000]  我們的需要
[00:02:25.000 --> 00:02:27.000]  我們的教會的志工
[00:02:27.000 --> 00:02:30.000]  我們窩福有些需要
[00:02:30.000 --> 00:02:32.000]  這個是好的
[00:02:32.000 --> 00:02:34.000]  但是我發覺比較狹窄了一點
[00:02:34.000 --> 00:02:39.000]  的確有一些弟兄姊妹會提議
[00:02:39.000 --> 00:02:44.000]  其實禱告裡面可以大一點 闊一點
[00:02:44.000 --> 00:02:45.000]  提醒我
[00:02:45.000 --> 00:02:47.000]  我很感謝這些肢體的提醒
[00:02:47.000 --> 00:02:50.000]  所以我們窩福有些禱告
[00:02:50.000 --> 00:02:52.000]  你會發覺多一點去講世界
[00:02:52.000 --> 00:02:54.000]  雖然不是我一個人學習
[00:02:54.000 --> 00:02:55.000]  整體窩福
[00:02:55.000 --> 00:02:57.000]  特別是我自己是有很多功課
[00:02:57.000 --> 00:02:58.000]  我們的代禱快訊
[00:02:58.000 --> 00:03:01.000]  往往都會有世界的關注
[00:03:01.000 --> 00:03:05.000]  其實我們的眼界都要去擴闊
[00:03:05.000 --> 00:03:07.000]  有時候在我們基督徒的生命裡面
[00:03:07.000 --> 00:03:11.000]  都很容易自我一些
[00:03:11.000 --> 00:03:13.000]  我們覺得信了主
[00:03:13.000 --> 00:03:16.000]  我們聖經裡面說
[00:03:16.000 --> 00:03:18.000]  舊事已過都變成新的了
[00:03:18.000 --> 00:03:21.000]  我們和主的關係慢慢建立
[00:03:21.000 --> 00:03:24.000]  和主慢慢去認識
[00:03:24.000 --> 00:03:26.000]  在教會裡面看聖經
[00:03:26.000 --> 00:03:27.000]  學習很多的真理
[00:03:27.000 --> 00:03:29.000]  認識神是怎樣
[00:03:29.000 --> 00:03:32.000]  我們的品格行事為人要怎樣
[00:03:32.000 --> 00:03:35.000]  我們會在教會裡面有團契生活
[00:03:35.000 --> 00:03:37.000]  非常之好
[00:03:37.000 --> 00:03:39.000]  但我們可能停留了
[00:03:39.000 --> 00:03:43.000]  或者滿足於四鳳牆的教會生活
