
[00:00:00.000 --> 00:00:02.000]  起床沒平安
[00:00:02.000 --> 00:00:06.000]  跟隔壁說 神對你有美好的計畫
[00:00:06.000 --> 00:00:12.000]  好 我們一起乩童來祷告
[00:00:12.000 --> 00:00:15.000]  親愛的主我們再次來回應你
[00:00:15.000 --> 00:00:19.000]  因為你的愛充滿在我們的生命裡面
[00:00:19.000 --> 00:00:21.000]  主我們深深相信
[00:00:21.000 --> 00:00:23.000]  主你對我們的心說話
[00:00:23.000 --> 00:00:25.000]  也要對我們的靈說話
[00:00:25.000 --> 00:00:27.000]  親愛的主我們來到你面前
[00:00:27.000 --> 00:00:30.000]  求你聖吟再繼續幫助我們
[00:00:30.000 --> 00:00:33.000]  進入你的真理 進入你的智慧
[00:00:33.000 --> 00:00:35.000]  進入你的啟示當中
[00:00:35.000 --> 00:00:37.000]  親愛的主我們仰望你
[00:00:37.000 --> 00:00:39.000]  求你幫助我們
[00:00:39.000 --> 00:00:41.000]  讓我們聚集在這裡來敬拜你
[00:00:41.000 --> 00:00:44.000]  是因為我們承認你是我們的主
[00:00:44.000 --> 00:00:47.000]  我們要願意來到你面前與你相敬
[00:00:47.000 --> 00:00:48.000]  主我們謝謝你
[00:00:48.000 --> 00:00:50.000]  奉耶穌基督的名禱告
[00:00:50.000 --> 00:00:52.000]  Amen
[00:00:52.000 --> 00:00:56.000]  今天我們要來分享一個題目
[00:00:56.000 --> 00:00:59.000]  叫人啊 你在哪裡
[00:00:59.000 --> 00:01:03.000]  我們請翻開創世紀三章一到十節
[00:01:03.000 --> 00:01:11.000]  創世紀三章我們要讀一到十節
[00:01:11.000 --> 00:01:19.000]  我們一起來讀
[00:01:19.000 --> 00:01:20.000]  我們從第一節開始
[00:01:20.000 --> 00:01:26.000]  耶華神所造的唯有蛇比田野一切的活物更狡猾
[00:01:26.000 --> 00:01:29.000]  蛇對女人說神啟示真說
[00:01:29.000 --> 00:01:33.000]  不許你們吃園中所有樹上的果子嗎
[00:01:33.000 --> 00:01:34.000]  女人對蛇說
[00:01:34.000 --> 00:01:37.000]  園中樹上的果子我們可以吃
[00:01:37.000 --> 00:01:40.000]  唯有園當中那棵樹上的果子
[00:01:40.000 --> 00:01:44.000]  神曾說你不可吃也不可摸
[00:01:44.000 --> 00:01:45.000]  免得你們死
[00:01:45.000 --> 00:01:48.000]  蛇對女人說你們不一定死
[00:01:48.000 --> 00:01:52.000]  因為神知道你們吃個日子眼睛就明亮了
[00:01:52.000 --> 00:01:55.000]  你們便如神人知道善惡
[00:01:55.000 --> 00:01:59.000]  於是女人見那棵樹上的果子好做食物
[00:01:59.000 --> 00:02:01.000]  也越人的眼目
