
[00:00:00.000 --> 00:00:05.000]  好神師妹讓我們在仁天主義話的耳先讓我們一起同心同志低頭禱告
[00:00:05.000 --> 00:00:06.000]  仰望主愛神
[00:00:06.000 --> 00:00:09.000]  好神多謝祢
[00:00:09.000 --> 00:00:11.000]  求祢加添我們力量
[00:00:11.000 --> 00:00:15.000]  讓我們能夠在真理的上面能夠有更好的掌握
[00:00:15.000 --> 00:00:20.000]  對上主祢的心思意念有更準確的去明白
[00:00:20.000 --> 00:00:24.000]  好神祢能夠在每天的生命生活的裏面
[00:00:24.000 --> 00:00:27.000]  能夠活出有主祢的樣式
[00:00:27.000 --> 00:00:31.000]  也能夠真的屏行上主祢的意思
[00:00:31.000 --> 00:00:34.000]  而去完成上主祢所教託的使命
[00:00:34.000 --> 00:00:37.000]  讓在今生的人生的裏面
[00:00:37.000 --> 00:00:43.000]  能夠成為一個能夠上帝你稱之為合神心意的人
[00:00:43.000 --> 00:00:46.000]  我們再次將這段時間交在主祢的手
[00:00:46.000 --> 00:00:47.000]  求祢的帶領
[00:00:47.000 --> 00:00:49.000]  求祢的同心禱告
[00:00:49.000 --> 00:00:51.000]  奉靠主祢所基督德性的名字而求
[00:00:51.000 --> 00:00:52.000]  阿們
[00:00:53.000 --> 00:00:57.000]  今天我會和大家一起思想一個題目
[00:00:57.000 --> 00:01:01.000]  亦都在大家的程序表上面刊登了
[00:01:01.000 --> 00:01:05.000]  就是有權有勢卻是沒有真理的宗教表現
[00:01:05.000 --> 00:01:11.000]  會從馬太福音的第22章第41至46節去看的
[00:01:11.000 --> 00:01:13.000]  這個題目點是很有趣的
[00:01:13.000 --> 00:01:17.000]  為什麼講到有權有勢卻是沒有真理的宗教表現呢
[00:01:17.000 --> 00:01:19.000]  其實透過這段聖經
[00:01:19.000 --> 00:01:21.000]  今天我們會一起留意到有關於
[00:01:21.000 --> 00:01:25.000]  一班人究竟是否對真理有所認識
[00:01:25.000 --> 00:01:30.000]  他們可能在宗教的層面
[00:01:30.000 --> 00:01:32.000]  甚至在他們群體裏面
[00:01:32.000 --> 00:01:34.000]  特別在這段聖經所談及到的
[00:01:34.000 --> 00:01:36.000]  民事祭司法尼賽人
[00:01:36.000 --> 00:01:38.000]  他們猶太人公會
[00:01:38.000 --> 00:01:41.000]  甚至整個猶太教的世界裏面
[00:01:41.000 --> 00:01:43.000]  他們都可以說是有權有勢
[00:01:43.000 --> 00:01:49.000]  但是原來他們的聖經的貧乏是很嚴重的
[00:01:49.000 --> 00:01:54.000]  這個也反映到一個很重要或者很嚴重的題目
[00:01:54.000 --> 00:01:55.000]  很嚴肅的題目
[00:01:55.000 --> 00:01:58.000]  就是關於傳福音的問題
[00:01:58.000 --> 00:02:04.000]  今天教會很多時候都將整個教會的存在的目的
[00:02:04.000 --> 00:02:06.000]  都歸在一個題目上面
[00:02:06.000 --> 00:02:09.000]  就是叫做傳福音
[00:02:09.000 --> 00:02:13.000]  什麼叫做傳福音呢
[00:02:13.000 --> 00:02:17.000]  那個福音是什麼呢
[00:02:17.000 --> 00:02:25.000]  這個可能當我們仔細去和大仙姐妹坐下來去討論的時候
[00:02:25.000 --> 00:02:26.000]  她會說很多的東西
[00:02:26.000 --> 00:02:31.000]  但是究竟傳福音的核心是什麼呢
[00:02:31.000 --> 00:02:34.000]  有時候可能不是那麼掌握
[00:02:34.000 --> 00:02:37.000]  甚至我們上帝是怎樣的一位上帝
[00:02:37.000 --> 00:02:40.000]  也都未必全面了解
[00:02:40.000 --> 00:02:43.000]  今天這段聖經裏面就會談論到有關於
[00:02:43.000 --> 00:02:48.000]  我們上帝和祂的兒子以及祂的子民
[00:02:48.000 --> 00:02:50.000]  他們三個的關係
[00:02:50.000 --> 00:02:55.000]  今天因為我們活在一個世界裏面叫做造假的世界
[00:02:55.000 --> 00:03:00.000]  大家聽過我過去都和大家分享過的
[00:03:00.000 --> 00:03:04.000]  原來在這個世界裏面很多人都是造假的
[00:03:04.000 --> 00:03:09.000]  不論是什麼國家什麼人種
[00:03:09.000 --> 00:03:14.000]  譬如我自己本身以前所做的行業會計學
[00:03:14.000 --> 00:03:20.000]  我們做會計的其實一年到晚都是面對造假的問題
[00:03:20.000 --> 00:03:24.000]  我曾經在一些商行裏面做事的時候
[00:03:24.000 --> 00:03:29.000]  試過老闆是擺明叫你去做一些賬
[00:03:29.000 --> 00:03:36.000]  做出來其實道理上法律上是沒有問題的
[00:03:36.000 --> 00:03:41.000]  但是良心上我做不出來
[00:03:41.000 --> 00:03:46.000]  特別我自己以前做的那間公司
[00:03:46.000 --> 00:03:48.000]  今天是不是帶了他的領帶
[00:03:48.000 --> 00:03:52.000]  不是這樣露出來的
[00:03:52.000 --> 00:03:55.000]  很多時候他們要做的事其實是
[00:03:55.000 --> 00:04:02.000]  將公司的一些賺錢的地方收起來
[00:04:02.000 --> 00:04:04.000]  收起來做什麼呢
[00:04:04.000 --> 00:04:06.000]  或者有其他東西做
[00:04:06.000 --> 00:04:09.000]  做什麼這不是今天講到的題目
[00:04:09.000 --> 00:04:12.000]  但是就會影響到很多時候投資者
[00:04:12.000 --> 00:04:17.000]  股票的持有人他們的回報
[00:04:17.000 --> 00:04:22.000]  當年我去做的時候也因為這樣的緣故
[00:04:22.000 --> 00:04:25.000]  最後我發覺原來這一行是不適合我的
[00:04:25.000 --> 00:04:27.000]  因為如果我要繼續做下去
[00:04:27.000 --> 00:04:31.000]  這些東西只會越來越多不會少
[00:04:31.000 --> 00:04:34.000]  做賬是做假
[00:04:34.000 --> 00:04:36.000]  做產品也會做假的
