
[00:00:00.000 --> 00:00:03.580]  今天的題目是《恩典之路》
[00:00:03.580 --> 00:00:07.760]  真是2024年最後一個主日
[00:00:07.760 --> 00:00:09.000]  我們停一停
[00:00:09.000 --> 00:00:11.160]  我們不說《獵王記》
[00:00:11.160 --> 00:00:15.160]  今天我跟大家看《藥書雅記》三至四章
[00:00:15.160 --> 00:00:16.260]  不過
[00:00:16.260 --> 00:00:19.040]  還沒看《驚聞》之前
[00:00:19.040 --> 00:00:21.560]  2024年末
[00:00:21.560 --> 00:00:25.040]  年末通常很喜歡做一件事
[00:00:25.040 --> 00:00:26.640]  大家不知道猜不猜得到
[00:00:26.640 --> 00:00:29.060]  回顧啊
[00:00:29.060 --> 00:00:32.100]  我們很喜歡做大肆回顧
[00:00:32.100 --> 00:00:34.560]  前面的Sandy很快就回應了
[00:00:34.560 --> 00:00:39.300]  我今天選了網頁上其中一個
[00:00:39.300 --> 00:00:43.340]  Yahoo的搜尋的兩個排行榜
[00:00:43.340 --> 00:00:47.440]  一個叫做《國際十大新聞事件排行榜》
[00:00:47.440 --> 00:00:51.600]  我們先看看《國際事件簿》
[00:00:51.600 --> 00:00:56.560]  看看是不是你心目中的真是十大事件
[00:00:57.500 --> 00:01:00.640]  原來第一位是巴黎奧運
[00:01:00.640 --> 00:01:05.440]  接著是美國大選特朗普獲勝
[00:01:05.440 --> 00:01:09.040]  而第三位是中東俄烏的戰火
[00:01:09.040 --> 00:01:12.880]  我在回望頭三位都頗合理的
[00:01:12.880 --> 00:01:20.600]  其他那些可能都按自己的情況去搜尋
[00:01:20.600 --> 00:01:23.900]  不過這是國際的層面
[00:01:23.900 --> 00:01:26.240]  我想跟大家看近一點
[00:01:26.240 --> 00:01:29.300]  所以第二個我看了就是
[00:01:29.300 --> 00:01:36.040]  《2024年Yahoo搜尋香港十大新聞事件排行榜》
[00:01:36.040 --> 00:01:38.000]  看看又是什麼呢
[00:01:38.000 --> 00:01:41.400]  竟然第一位都是巴黎奧運
[00:01:41.400 --> 00:01:45.440]  原來張家朗、江宏偉、何詩蓓
[00:01:45.440 --> 00:01:51.040]  他們拿獎實在是香港人太喜歡去看有關的新聞
[00:01:51.040 --> 00:01:56.140]  另外就是盛事經濟、垃圾經費延期
[00:01:56.140 --> 00:02:01.800]  《香港結業潮》、《走數爭議》、《23條立法》、《47人案》
[00:02:01.800 --> 00:02:05.740]  《金鴿飆升》、《阿里王子》
[00:02:05.740 --> 00:02:10.400]  美資決贈香港表演賽竟然都入十大
[00:02:10.400 --> 00:02:17.800]  人們想有興趣知道的事的確很多元化
[00:02:17.800 --> 00:02:21.600]  由國際去到香港
[00:02:21.600 --> 00:02:23.600]  我想跟大家再近一點
[00:02:23.600 --> 00:02:27.100]  你猜我們看看什麼排行榜好呢
[00:02:27.100 --> 00:02:30.640]  教會 前面Winness已經說
[00:02:30.640 --> 00:02:34.100]  是啊 我為《雅根堂》做了排行榜
[00:02:34.100 --> 00:02:37.440]  《雅根堂》做了2024年的排行榜
[00:02:37.440 --> 00:02:41.640]  不過不是按照什麼搜尋的人數
[00:02:41.640 --> 00:02:43.700]  我是按照月份而已
[00:02:43.700 --> 00:02:46.600]  很簡單地按照月份而已
[00:02:46.600 --> 00:02:49.740]  好了 逐一跟大家數一下好不好
[00:02:50.940 --> 00:02:55.200]  二月 你猜二月一開始我們有什麼呢
[00:02:55.200 --> 00:03:00.140]  因為二月我們才是全面復常之後
[00:03:00.140 --> 00:03:02.300]  第一次初一戰高
[00:03:02.300 --> 00:03:09.040]  不過二月除了全面復常之後第一次初一戰高
[00:03:09.040 --> 00:03:10.940]  我們還有另一個第一次
[00:03:10.940 --> 00:03:15.740]  就是全面復常之後第一個新春外宴
[00:03:15.740 --> 00:03:17.740]  哇 好開心對不對
[00:03:17.740 --> 00:03:22.340]  正式地很自由地去祝福我們的街坊
[00:03:22.340 --> 00:03:25.040]  接著我們就落去四月了
[00:03:25.040 --> 00:03:26.400]  這麼快就落四月了
[00:03:26.400 --> 00:03:27.940]  是啊 落去四月了
[00:03:27.940 --> 00:03:30.340]  就是建堂十週年出現了
[00:03:30.340 --> 00:03:34.640]  我們建堂十週年百日之下的研習會
[00:03:34.640 --> 00:03:36.700]  我們出現了
[00:03:36.700 --> 00:03:39.200]  接著我們就去五月了
[00:03:39.200 --> 00:03:41.300]  你猜五月有什麼發生呢
[00:03:41.300 --> 00:03:45.040]  這裡有東西說
[00:03:45.040 --> 00:03:48.640]  是啊 你可能說對了 你說清楚一點
[00:03:48.640 --> 00:03:49.800]  (你不是吃腫嗎)
[00:03:49.800 --> 00:03:52.840]  我吃腫那又不是
[00:03:52.840 --> 00:03:54.840]  不用怕
[00:03:54.840 --> 00:03:59.740]  雖然那個其實是舊曆五月
[00:03:59.740 --> 00:04:01.940]  我這裡說新曆五月
[00:04:01.940 --> 00:04:04.800]  我們Pastor Pan 退休
[00:04:04.800 --> 00:04:05.800]  是不是
[00:04:05.800 --> 00:04:09.900]  不過大家就不用愁也不用慌
[00:04:09.900 --> 00:04:13.340]  他是退而不休的 對不對
[00:04:13.340 --> 00:04:15.340]  所以大家仍然會看到他在這裡
[00:04:15.340 --> 00:04:17.940]  忠心的義工服侍
[00:04:17.940 --> 00:04:19.540]  接著我們就去到六月了
[00:04:19.540 --> 00:04:22.000]  六月沒理由猜不到吧
[00:04:22.000 --> 00:04:23.800]  我們十週年堂慶了
[00:04:23.800 --> 00:04:25.500]  我們有感恩崇拜
[00:04:25.500 --> 00:04:30.240]  感恩崇拜之後十週年還有一個更加震撼的是
[00:04:30.240 --> 00:04:31.940]  三十日報道會
[00:04:31.940 --> 00:04:34.940]  哇 真的還不是大事
[00:04:34.940 --> 00:04:38.440]  好了 六月之後我們就去到八月了
[00:04:38.440 --> 00:04:42.040]  八月有什麼大事發生呢 你們覺得
[00:04:42.040 --> 00:04:43.640]  (膠棒)
[00:04:43.640 --> 00:04:45.640]  哇 真的聰明了
[00:04:45.640 --> 00:04:49.340]  是啊 八月我們有陳牧師的膠棒
[00:04:49.340 --> 00:04:53.040]  他轉職為創堂牧師和義務顧問牧師
[00:04:53.040 --> 00:04:57.440]  當然有膠棒在八月同樣有節棒
[00:04:57.440 --> 00:05:02.040]  所以梁牧師就節棒為我們的主任牧師 是不是
[00:05:02.040 --> 00:05:05.640]  十月 到十月了
[00:05:05.640 --> 00:05:11.340]  我們又有一樣是復常之後重新觸發的東西
[00:05:11.340 --> 00:05:13.540]  就是短宣
[00:05:13.540 --> 00:05:18.540]  十月我們復常之後再一次出隊去菲律賓短宣
[00:05:18.540 --> 00:05:20.740]  我們裝備好自己
[00:05:20.740 --> 00:05:25.440]  準備2025年我們去更多地方宣教
[00:05:25.440 --> 00:05:28.440]  那十二月呢
[00:05:28.440 --> 00:05:31.540]  十二月有一樣東西我們其實常常做的
[00:05:31.540 --> 00:05:33.340]  那個是報道會
[00:05:33.340 --> 00:05:41.240]  不過原來在聖誕日的崇拜開報道會都是第一次
[00:05:41.240 --> 00:05:49.240]  所以2024年上帝也帶給我們十樣很不同的大事 是不是
[00:05:49.240 --> 00:05:52.640]  我回看這十樣東西的時候
[00:05:52.640 --> 00:05:56.240]  我真的覺得上帝的恩手不斷地拖帶我們
[00:05:56.240 --> 00:06:01.440]  一個滿有恩典的畫面就在我腦海出現
[00:06:01.440 --> 00:06:03.740]  真是一條恩典的路
[00:06:03.740 --> 00:06:08.540]  不過雅金堂的恩典之路只剩一年嗎
[00:06:08.540 --> 00:06:11.040]  當然不止 我都爆了出來 是不是
[00:06:11.040 --> 00:06:13.740]  你們都說今年是教會十週年了
[00:06:13.740 --> 00:06:14.640]  那當然是
[00:06:14.640 --> 00:06:19.640]  我們其實走這條恩典之路已經超過十年了
[00:06:19.640 --> 00:06:26.140]  並且上帝將這條恩典之路繼續延長下去
[00:06:26.140 --> 00:06:32.240]  叫我們懂得怎樣走下一里路
[00:06:32.240 --> 00:06:36.340]  今天我就跟大家看約書亞記第三章和第四章
[00:06:36.340 --> 00:06:41.040]  正正是以色列文一段很奇妙的旅程
[00:06:41.040 --> 00:06:45.140]  提醒我們怎樣去信靠神 順服神的帶領
[00:06:45.140 --> 00:06:48.140]  邁向一個新的里程碑
[00:06:48.140 --> 00:06:49.840]  先說一下背景好嗎
[00:06:49.840 --> 00:06:54.240]  稍後先給我讀第一章一至二節好嗎
[00:06:54.240 --> 00:06:56.040]  下面那一節不用讀字
[00:06:56.040 --> 00:06:59.640]  給我讀約書亞記一章一至二節先 謝謝
[00:06:59.640 --> 00:07:18.240]  (讀約書亞記)
[00:07:18.240 --> 00:07:20.640]  是呀 原來第一章一開始
[00:07:20.640 --> 00:07:23.140]  神就吩咐約書亞你要起來了
[00:07:23.140 --> 00:07:25.140]  起來做什麼 過約但何
[00:07:25.140 --> 00:07:28.440]  要去到上帝給以色列人的應許之地
[00:07:28.440 --> 00:07:32.140]  並且在第一章上帝已經三番四次
[00:07:32.140 --> 00:07:35.540]  提醒約書亞他要光強壯膽
[00:07:35.540 --> 00:07:39.040]  第二章約書亞就派了兩個探子
[00:07:39.040 --> 00:07:42.740]  去窺探迦南地和耶利哥
[00:07:42.740 --> 00:07:44.640]  大家有沒有印象
[00:07:44.640 --> 00:07:49.240]  那兩個探子去了什麼地方得著幫助呢
[00:07:49.240 --> 00:07:51.640]  有沒有印象呢
[00:07:51.640 --> 00:07:53.640]  一個人的家
[00:07:53.640 --> 00:07:56.340]  那個是拉合的家
[00:07:56.340 --> 00:07:58.140]  一個妓女拉合的家
[00:07:58.140 --> 00:08:00.540]  在那裡得著拉合的幫助
[00:08:00.540 --> 00:08:04.940]  然後他們就平平安安回到約書亞那裡報信
[00:08:04.940 --> 00:08:06.740]  那他們報信說什麼
[00:08:06.740 --> 00:08:10.140]  大家幫我讀二章二十三至二十四節
[00:08:10.140 --> 00:08:20.940]  (讀約書亞記)
[00:08:20.940 --> 00:08:29.740]  (讀約書亞記)
[00:08:29.740 --> 00:08:33.940]  耶和華果然將那個地給了我們
[00:08:33.940 --> 00:08:39.140]  他們那裡的人在我們面前心都消化了
[00:08:39.140 --> 00:08:41.040]  那時候打仗了嗎
[00:08:41.040 --> 00:08:43.240]  還沒有 河都還沒有過
[00:08:43.240 --> 00:08:46.240]  但是他們已經這麼相信了
[00:08:46.240 --> 00:08:48.940]  那裡上帝已經賜給我們了
[00:08:48.940 --> 00:08:52.740]  去到第三和第四章跟著我們看的經文
[00:08:52.740 --> 00:08:55.440]  約書亞真的帶他們過河了
[00:08:55.440 --> 00:08:58.840]  原來原文這個「過」字
[00:08:58.840 --> 00:09:03.540]  在第三和第四章出現了二十二次這麼多
[00:09:03.540 --> 00:09:05.540]  為什麼這麼強調這個「過」字
[00:09:05.540 --> 00:09:09.240]  究竟其實他們在當中經歷了什麼呢
[00:09:09.240 --> 00:09:14.940]  原來當時上帝帶他們走一條從未走過的路
[00:09:14.940 --> 00:09:19.740]  今天就容讓我跟大家回顧一下亞根堂的一些片段
[00:09:19.740 --> 00:09:23.740]  原來當時上帝同樣帶我們走過一條
[00:09:23.740 --> 00:09:27.240]  我們從來沒有走過的路
[00:09:27.240 --> 00:09:29.740]  你猜今天跟大家一起學多少個功課好呢
[00:09:29.740 --> 00:09:30.340]  三個
[00:09:30.340 --> 00:09:32.040]  哎呀 真的聰明了
[00:09:32.040 --> 00:09:33.240]  年中嘛
[00:09:33.240 --> 00:09:36.040]  我們當然秉承亞根堂的美好傳統
[00:09:36.040 --> 00:09:38.540]  我們今天就學三個功課好嗎
[00:09:38.540 --> 00:09:40.140]  我們先看第一個功課
[00:09:40.140 --> 00:09:42.740]  你幫我讀下面六節聖經先好嗎
[00:09:42.740 --> 00:09:44.240]  好 一二三
[00:09:44.240 --> 00:09:49.240]  「若是那清早起來 我已四夕眾人都離開神庭
[00:09:49.240 --> 00:09:53.940]  來到約旦河 就住在那裡 等候過河
[00:09:53.940 --> 00:09:58.540]  過了三天 本在酒店營中 奔赴百姓處
[00:09:58.540 --> 00:10:02.040]  你們看見耶和華 你們神聖若貴
[00:10:02.040 --> 00:10:04.840]  有建制使命令可著
[00:10:04.840 --> 00:10:09.540]  就要離開所處的地方 跟著若貴去」
[00:10:09.540 --> 00:10:11.540]  幫我讀完這三節
[00:10:11.540 --> 00:10:16.040]  「只是你們和若貴相遇 要人以先逃
[00:10:16.040 --> 00:10:18.340]  不可與若貴相近
[00:10:18.340 --> 00:10:21.040]  使你們知道所當就業路
[00:10:21.040 --> 00:10:24.740]  因為這條路 你們向來沒有受過
[00:10:24.740 --> 00:10:28.440]  若是那吩咐百姓說 你們要致歉
[00:10:28.440 --> 00:10:32.840]  因為明天耶和華必在你們中間行其事
[00:10:32.840 --> 00:10:35.340]  若是那又吩咐祭司說
[00:10:35.340 --> 00:10:39.240]  你們抬起若貴 再百姓前逃過去
[00:10:39.240 --> 00:10:43.440]  於是彷徨起若貴 再百姓前逃走」
[00:10:43.440 --> 00:10:46.740]  謝謝 原來第一點我想跟大家分享的是
[00:10:46.740 --> 00:10:50.440]  「上主遂令 忠心跟隨」
[00:10:50.440 --> 00:10:54.040]  原來探子回來向約書亞匯報之後
[00:10:54.040 --> 00:10:58.340]  第二天的清早 約書亞就要起來了
[00:10:58.340 --> 00:11:00.040]  為什麼這麼早起床?
[00:11:00.040 --> 00:11:01.840]  因為他緊張
[00:11:01.840 --> 00:11:06.940]  他熱刺 這樣很想忠恆上帝的吩咐
[00:11:06.940 --> 00:11:11.040]  帶領以色列人過約淡河 得著應許之地
[00:11:11.040 --> 00:11:13.740]  不過約書亞很清楚
[00:11:13.740 --> 00:11:17.440]  要得著應許之地 必須要有神的同在
[00:11:17.440 --> 00:11:21.940]  而約貴正正就是象徵神的同在
[00:11:21.940 --> 00:11:26.440]  所以祭司要先抬起約貴
[00:11:26.440 --> 00:11:30.440]  先走在他們以色列民的前面
[00:11:30.440 --> 00:11:34.840]  我們以色列人就要跟著在約貴的後面
[00:11:34.840 --> 00:11:39.840]  說什麼? 就是說神不走 大家不可以走
[00:11:39.840 --> 00:11:44.240]  但是神走 大家就要跟著走
[00:11:44.240 --> 00:11:47.040]  不過第四節有提到
[00:11:47.040 --> 00:11:50.140]  又不可以跟約貴相距那麼近
[00:11:50.140 --> 00:11:53.140]  要相距多遠? 剛才大家有沒有印象?
[00:11:53.140 --> 00:11:57.140]  二千爪 那一爪有多少?
[00:11:57.140 --> 00:12:00.840]  其實就是這裡 到這裡 是不是?
[00:12:00.840 --> 00:12:05.240]  一爪 二千爪大約是一公里左右
[00:12:05.240 --> 00:12:10.440]  我上網查過 一公里其實是多遠呢?
[00:12:10.440 --> 00:12:12.740]  AI就這樣回答我
[00:12:12.740 --> 00:12:14.940]  AI的回答是
[00:12:14.940 --> 00:12:19.540]  一公里路大約走十至十五分鐘
[00:12:19.540 --> 00:12:22.140]  走十至十五分鐘? 我就在想
[00:12:22.140 --> 00:12:23.640]  就是說如果我站在這裡
[00:12:23.640 --> 00:12:25.340]  我要去到約貴那裡
[00:12:25.340 --> 00:12:27.740]  我要走十至十五分鐘
[00:12:27.740 --> 00:12:31.340]  我想問問大家 走去長沙灣地鐵站
[00:12:31.340 --> 00:12:33.040]  要不要十分鐘?
[00:12:33.040 --> 00:12:35.240]  應該都不用 是不是?
[00:12:35.240 --> 00:12:37.940]  是 八分鐘左右 應該 是不是?
[00:12:37.940 --> 00:12:40.540]  哇 比長沙灣地鐵站還要遠
[00:12:40.540 --> 00:12:43.740]  如果約貴在那裡 你看不看到?
[00:12:43.740 --> 00:12:45.840]  其實看不到的
[00:12:45.840 --> 00:12:48.840]  哇 為什麼要有一個這樣的空間?
[00:12:48.840 --> 00:12:52.240]  原來這是一個神聖的空間
[00:12:52.240 --> 00:12:55.840]  我們對上帝是要全敬畏的心
[00:12:55.840 --> 00:12:58.340]  等候上帝的時間
[00:12:58.340 --> 00:12:59.640]  不是只看到
[00:12:59.640 --> 00:13:04.540]  而是我們要用心去跟隨
[00:13:04.540 --> 00:13:09.340]  神要帶以色列民行一條從未走過的路
[00:13:09.340 --> 00:13:10.640]  到了第五節
[00:13:10.640 --> 00:13:12.340]  約書也有吩咐他們做什麼?
[00:13:12.340 --> 00:13:15.740]  要自結
[00:13:15.740 --> 00:13:18.240]  什麼是自結? 是分別為聖
[00:13:18.240 --> 00:13:19.940]  不要用世界的方法
[00:13:19.940 --> 00:13:21.440]  要用神的方法
[00:13:21.440 --> 00:13:24.640]  上帝常常用一些奇妙的方法 是不是?
[00:13:24.640 --> 00:13:27.640]  是 所以上帝要做神色歧視
[00:13:27.640 --> 00:13:30.640]  是他們意想不到的神色歧視
[00:13:30.640 --> 00:13:33.140]  於是祭司就抬起約貴
[00:13:33.140 --> 00:13:36.440]  在百姓面前就走了
[00:13:36.440 --> 00:13:39.540]  回望過去一年阿根堂的大事
[00:13:39.540 --> 00:13:42.440]  神帶領我們走過一條
[00:13:42.440 --> 00:13:44.540]  向來未走過的路
[00:13:44.540 --> 00:13:49.240]  我相信都莫過於我們十週年的堂慶 是不是?
[00:13:49.240 --> 00:13:53.240]  喂 我們先在6月2日的
[00:13:53.240 --> 00:13:55.040]  感恩崇拜裡面
[00:13:55.040 --> 00:13:57.440]  陳牧師就很破格地
[00:13:57.440 --> 00:13:59.140]  叫我們做一個話劇
[00:13:59.140 --> 00:14:02.040]  內容是提醒我們
[00:14:02.040 --> 00:14:05.140]  若果不遵行神的旨意
[00:14:05.140 --> 00:14:07.940]  不再為主建立門徒
[00:14:07.940 --> 00:14:10.440]  不再看管貧窮人的需要
[00:14:10.440 --> 00:14:12.540]  無論現在教會有多好
[00:14:12.540 --> 00:14:15.340]  都只會步向滅亡
[00:14:15.340 --> 00:14:18.140]  教會倒閉
[00:14:18.140 --> 00:14:19.940]  在唐慶的大日子
[00:14:19.940 --> 00:14:21.440]  就說教會倒閉
[00:14:21.440 --> 00:14:24.740]  是的 所以我們要警醒
[00:14:24.740 --> 00:14:27.940]  我們要很警醒地走下一里路
[00:14:27.940 --> 00:14:30.240]  如果你未看過這個話劇
[00:14:30.240 --> 00:14:32.540]  我真的鼓勵大家
[00:14:32.540 --> 00:14:34.640]  上我們的YouTube頻道
[00:14:34.640 --> 00:14:36.740]  真的很精彩
[00:14:36.740 --> 00:14:38.140]  不要錯過
[00:14:38.140 --> 00:14:40.440]  我們仍然放上去
[00:14:40.440 --> 00:14:41.640]  不過
[00:14:41.640 --> 00:14:43.440]  那個未走過的路
[00:14:43.440 --> 00:14:45.740]  又怎會停在崇拜呢?
[00:14:45.740 --> 00:14:47.640]  接下來的30天
[00:14:47.640 --> 00:14:49.740]  接下來真的很精彩
[00:14:49.740 --> 00:14:52.140]  我們30天的報道會
[00:14:52.140 --> 00:14:54.540]  整整六月
[00:14:54.540 --> 00:14:55.840]  整個六月
