
[00:00:00.000 --> 00:00:02.000]  我們會再思想聖經有關
[00:00:02.000 --> 00:00:03.800]  接受雷家前書的經文
[00:00:03.800 --> 00:00:05.800]  大家和我一起同心再祈禱
[00:00:05.800 --> 00:00:13.600]  天父我們再一次感謝祢
[00:00:13.600 --> 00:00:16.200]  感謝祢我們屬於祢
[00:00:16.200 --> 00:00:19.200]  主我們知道人生的路上
[00:00:19.200 --> 00:00:21.400]  有祢自己聖靈的幫助
[00:00:21.400 --> 00:00:24.600]  我們雖然見到自己有軟弱有不足
[00:00:24.600 --> 00:00:27.600]  但祢永遠永遠是我們的盼望
[00:00:27.600 --> 00:00:29.200]  是我們的幫助
[00:00:29.600 --> 00:00:31.000]  是我們的倚靠
[00:00:31.000 --> 00:00:32.400]  是我們的盤石
[00:00:32.400 --> 00:00:35.200]  因此我們到祢面前來
[00:00:35.200 --> 00:00:38.400]  仰望主賜下祢自己聖經的恩賢
[00:00:38.400 --> 00:00:41.800]  也讓我們靠著聖靈的能力
[00:00:41.800 --> 00:00:44.000]  我們行在祢的道當中
[00:00:44.000 --> 00:00:46.400]  能夠進入祢要給我們的
[00:00:46.400 --> 00:00:48.000]  豐盛的生命
[00:00:48.000 --> 00:00:49.600]  成性的生命
[00:00:49.600 --> 00:00:51.000]  這段時間
[00:00:51.000 --> 00:00:54.800]  求主在當中親自帶領我們
[00:00:54.800 --> 00:00:56.800]  引導我們的心思
[00:00:57.200 --> 00:01:00.200]  祈禱仰望奉耶穌基督聖名求
[00:01:00.200 --> 00:01:01.200]  阿們
[00:01:01.200 --> 00:01:06.200]  我們請聖經接受黎加前書第四章的經文
[00:01:06.200 --> 00:01:11.000]  我們今天看到第四章的經文的時候
[00:01:11.000 --> 00:01:13.600]  就留意到聖經裡面特別提醒
[00:01:13.600 --> 00:01:15.400]  祝福我們
[00:01:15.400 --> 00:01:18.400]  是遠避吟行
[00:01:18.400 --> 00:01:20.800]  這是聖經很多次
[00:01:20.800 --> 00:01:22.200]  不同的經卷
[00:01:22.200 --> 00:01:23.600]  觸及的主題
