
[00:00:00.000 --> 00:00:08.000]  吳安 早有句說話 一人做事一人當
[00:00:08.000 --> 00:00:12.000]  不知大家相不相信這句說話
[00:00:12.000 --> 00:00:17.000]  如果今早你搭巴士返教會 巴士司機未睡醒
[00:00:17.000 --> 00:00:23.000]  迷路 他一人做事 係咪當得曬呢
[00:00:23.000 --> 00:00:27.000]  因為其實不單止他一個人會迷路
[00:00:27.000 --> 00:00:31.000]  乘車嘅人都被他連累 遲到曬
[00:00:31.000 --> 00:00:36.000]  如果我再諗得差啲 甚至有交通意外發生嘅話
[00:00:36.000 --> 00:00:40.000]  佢自己一個人 當唔起意外帶嚟
[00:00:40.000 --> 00:00:44.000]  全車人嘅受傷損失
[00:00:44.000 --> 00:00:48.000]  即刻我哋見到呢件事係大衛身上都發生
[00:00:48.000 --> 00:00:52.000]  當佢做錯嘢嘅時候 唔單止佢自己一個人係受害
[00:00:52.000 --> 00:00:58.000]  更加連累埋佢自己嘅家室王國
[00:00:58.000 --> 00:01:04.000]  之前我哋去睇過大衛 一位非常之合神心意嘅人
[00:01:04.000 --> 00:01:08.000]  當神設下一個太平安日嘅日子
[00:01:08.000 --> 00:01:12.000]  神讓佢見到 神要點賜福俾佢
[00:01:12.000 --> 00:01:16.000]  因為當神見到大衛 諗住要為神去建聖殿嘅時候
[00:01:16.000 --> 00:01:19.000]  神反過嚟話 我要為你去建立家室
[00:01:19.000 --> 00:01:22.000]  但係呢件事講咗唔係好耐
[00:01:22.000 --> 00:01:26.000]  大衛可能真係有啲太得閒
[00:01:26.000 --> 00:01:30.000]  聖經記載到十五二記下嘅第十一章
[00:01:30.000 --> 00:01:33.000]  講到話當列王出戰嘅時候
[00:01:33.000 --> 00:01:37.000]  雖然仍然係要有打仗
[00:01:37.000 --> 00:01:39.000]  但係大衛唔使自己出征
[00:01:39.000 --> 00:01:44.000]  佢差派自己當時已經建立得好好嘅以色列征戰嘅軍隊
[00:01:44.000 --> 00:01:47.000]  同埋係好出色嘅將軍與約翰
[00:01:47.000 --> 00:01:51.000]  去到雅滿人嘅城 諗住去攻打呢個城
[00:01:51.000 --> 00:01:55.000]  但係大衛自己就留喺皇宮裏面做咩呢
[00:01:55.000 --> 00:01:58.000]  好得閒 相信可能佢瞓眼覺
[00:01:58.000 --> 00:02:03.000]  瞓到太陽平西 佢先至起床
[00:02:03.000 --> 00:02:08.000]  悠悠閒閒 而且喺皇宮嘅平頂上散步
[00:02:08.000 --> 00:02:12.000]  唔知係唔係 當時皇宮建立喺石安山
[00:02:12.000 --> 00:02:18.000]  同埋都算係以色列裏面較高一座嘅建築物
[00:02:18.000 --> 00:02:22.000]  佢由上面望落嚟就見到乜嘢呀
[00:02:22.000 --> 00:02:27.000]  見到有個婦人喺度沖涼無欲
[00:02:27.000 --> 00:02:32.000]  相信嗰個婦人應該可能都喺自己屋企嘅圍牆裏面去做嘅
[00:02:32.000 --> 00:02:34.000]  不過大衛就望得好清楚
[00:02:34.000 --> 00:02:40.000]  於是佢自己心一動就叫人帶咗呢個婦人入宮
[00:02:40.000 --> 00:02:45.000]  嗰晚就同佢發生咗關係
[00:02:45.000 --> 00:02:50.000]  不過大衛其實唔諗住有好長關係
[00:02:50.000 --> 00:02:55.000]  大衛嗰陣已經牽掛呢個所謂一夜情
