
[00:00:00.000 --> 00:00:04.500]  讓我們一起同心再次在上主的面前一同去仰望
[00:00:04.500 --> 00:00:05.940]  讓我們同心低頭禱告
[00:00:05.940 --> 00:00:10.200]  慈悲的天父 多謝你給了我們再次回來
[00:00:10.200 --> 00:00:12.400]  在你寶貴說話的面前去學習
[00:00:12.400 --> 00:00:15.300]  讓我們在你的真道當中去認識
[00:00:15.300 --> 00:00:18.800]  如何去真的活得像上主你的子民
[00:00:18.800 --> 00:00:20.100]  求你的幫助
[00:00:20.100 --> 00:00:23.300]  讓我們能夠在恩主你的裡面
[00:00:23.300 --> 00:00:26.300]  能夠一起有智慧的活在這個地上
[00:00:26.300 --> 00:00:29.500]  直到永恆的當中與你在全聚的一起
[00:00:29.900 --> 00:00:35.600]  能夠在上帝你的陰悲和團慨的生活當中
[00:00:35.600 --> 00:00:38.300]  在永恆的當中與你同活
[00:00:38.300 --> 00:00:40.000]  我們再次獻上感恩
[00:00:40.000 --> 00:00:41.200]  我們同心的禱告
[00:00:41.200 --> 00:00:43.600]  奉靠主耶穌德性的名字而靠
[00:00:43.600 --> 00:00:44.600]  阿們
[00:00:44.600 --> 00:00:51.400]  今天我們會去看馬太福音第十三章
[00:00:51.400 --> 00:00:57.200]  一個大家非常熟悉的一個比喻
[00:00:58.000 --> 00:01:00.100]  在《神學研究》裡面
[00:01:00.100 --> 00:01:02.000]  來到馬太福音第十三章
[00:01:02.000 --> 00:01:05.500]  我們可以說是進入了一個比喻篇的部分
[00:01:05.500 --> 00:01:09.400]  又是一個在研究馬太福音裡面的
[00:01:09.400 --> 00:01:12.800]  稱之為The Third Discourse
[00:01:12.800 --> 00:01:15.300]  說到第三個陳述部分
[00:01:15.300 --> 00:01:18.300]  熟悉就熟悉了
[00:01:18.300 --> 00:01:20.500]  究竟這段經文說些什麼呢
[00:01:20.500 --> 00:01:25.300]  讓我們先看看前文我們說些什麼吧
[00:01:25.300 --> 00:01:29.000]  在頭的十二章當中
[00:01:29.000 --> 00:01:32.600]  特別在正正剛剛讀完的第十二章裡面
[00:01:32.600 --> 00:01:36.500]  我們已經聽到很多有關於民事祭司
[00:01:36.500 --> 00:01:40.600]  和法尼塞人對於耶穌祂出來的傳道
[00:01:40.600 --> 00:01:43.100]  處處逼人的一種威嚇
[00:01:43.100 --> 00:01:47.600]  他們用各樣的方式來踐踏耶穌
[00:01:47.600 --> 00:01:52.600]  希望耶穌在當時巴勒斯坦地上被羞辱
[00:01:52.600 --> 00:01:58.200]  這是我們先前講到的一個榮辱的社會觀之下
[00:01:58.200 --> 00:02:00.600]  所有的活動
[00:02:00.600 --> 00:02:03.300]  當這些民事祭司和法尼塞人
[00:02:03.300 --> 00:02:05.800]  他們覺得自己在宗教的位置上
[00:02:05.800 --> 00:02:08.000]  受到耶穌基督的威脅的時候
[00:02:08.000 --> 00:02:11.000]  他們希望盡量將耶穌剷除
[00:02:11.000 --> 00:02:13.100]  剷除的意思不一定要將祂殺死
[00:02:13.100 --> 00:02:15.500]  但是至少要使祂被羞辱
[00:02:15.500 --> 00:02:16.700]  沒有人去跟隨祂
[00:02:16.700 --> 00:02:18.000]  但是很可惜的就是
[00:02:18.200 --> 00:02:22.700]  每一次當他們越要去切謀去陷害耶穌的時候
[00:02:22.700 --> 00:02:24.200]  他們的遭遇
[00:02:24.200 --> 00:02:25.700]  他們得來的結果
[00:02:25.700 --> 00:02:27.500]  反而是自己得到羞辱
[00:02:27.500 --> 00:02:29.100]  而不是耶穌得到羞辱
[00:02:29.100 --> 00:02:32.200]  並且耶穌在每一次這些挑戰裡面
[00:02:32.200 --> 00:02:34.500]  都能夠讓祂更準確地
[00:02:34.500 --> 00:02:37.200]  將神國的一些信息去傳開
[00:02:37.200 --> 00:02:39.300]  介紹給跟隨祂的人
[00:02:39.300 --> 00:02:43.600]  在十二章剛剛的第四十六節至第五十節裡面
[00:02:43.600 --> 00:02:44.800]  我們已經看到
[00:02:45.000 --> 00:02:50.300]  只有屬神的子民才能夠與主同活
[00:02:50.300 --> 00:02:53.200]  而這些屬神的子民往往是屬於
[00:02:53.200 --> 00:02:55.900]  耶穌基督的家的一份子
[00:02:55.900 --> 00:03:00.700]  而這些人往往都有同一個特性
[00:03:00.700 --> 00:03:01.900]  在靈性的上面
[00:03:01.900 --> 00:03:05.300]  就是他們會遵行天父的旨意的人
[00:03:05.300 --> 00:03:08.300]  所以在十二章第五十節裡面
[00:03:08.300 --> 00:03:09.600]  耶穌說了這句話
[00:03:09.600 --> 00:03:12.500]  凡遵行我天父旨意的一人
[00:03:12.700 --> 00:03:17.200]  就是我的弟兄姊妹和母親了
[00:03:17.200 --> 00:03:23.000]  除了這一個基本的了解之外
[00:03:23.000 --> 00:03:26.800]  我們還有在十二章的前少許裡面
[00:03:26.800 --> 00:03:28.500]  我們也有發覺到
[00:03:28.500 --> 00:03:31.400]  這班文士祭司切謀的過程當中
