
[00:00:00.000 --> 00:00:02.440]  我們在聆聽主道而先
[00:00:02.440 --> 00:00:04.520]  讓我們一起同心低頭禱告
[00:00:04.520 --> 00:00:07.760]  預備我們心思在上主的面前
[00:00:07.760 --> 00:00:09.760]  好好的領受主的說話
[00:00:09.760 --> 00:00:14.480]  父神多謝你讓我們回來
[00:00:14.480 --> 00:00:17.360]  在你的說話的根前
[00:00:17.360 --> 00:00:20.760]  去蒙受主你的教導
[00:00:20.760 --> 00:00:24.160]  藉著你的愛子耶穌基督
[00:00:24.160 --> 00:00:27.240]  祂的啟示
[00:00:27.240 --> 00:00:29.760]  祂的見證
[00:00:30.480 --> 00:00:32.480]  祂的教導
[00:00:32.480 --> 00:00:34.960]  讓我們能夠
[00:00:34.960 --> 00:00:37.960]  更加精準明白上帝你的心
[00:00:37.960 --> 00:00:42.200]  也教會我們如何在今天
[00:00:42.200 --> 00:00:46.920]  今時今日在這個彎曲勃茂的世界裡
[00:00:46.920 --> 00:00:49.920]  如何做一個稱職的基督徒
[00:00:49.920 --> 00:00:54.160]  也賦予我們有智慧
[00:00:54.160 --> 00:00:55.720]  有方向
[00:00:55.720 --> 00:00:57.600]  有基礎
[00:00:57.600 --> 00:01:00.520]  讓我們能夠了解
[00:01:00.520 --> 00:01:03.320]  應時代的發展
[00:01:03.320 --> 00:01:04.800]  準確地
[00:01:04.800 --> 00:01:08.520]  去作出一個適當的回應
[00:01:08.520 --> 00:01:10.520]  能夠使我們這個
[00:01:10.520 --> 00:01:12.520]  神子民的身份
[00:01:12.520 --> 00:01:14.520]  能夠繼續的
[00:01:14.520 --> 00:01:16.280]  確守
[00:01:16.280 --> 00:01:17.400]  並且
[00:01:17.400 --> 00:01:19.400]  好好保護祂
[00:01:19.400 --> 00:01:20.600]  求你的帶領
[00:01:20.600 --> 00:01:22.600]  因為單靠我們自己的力量
[00:01:22.600 --> 00:01:23.880]  很有限
[00:01:23.880 --> 00:01:26.880]  我們需要從你聖靈的感動
[00:01:26.880 --> 00:01:28.880]  讓我們能夠有一個
[00:01:28.880 --> 00:01:30.880]  聰明智慧
[00:01:30.880 --> 00:01:32.880]  能夠洞悉
[00:01:32.880 --> 00:01:35.880]  我們今天所身處的環境
[00:01:35.880 --> 00:01:37.880]  我們相信
[00:01:37.880 --> 00:01:38.880]  唯有這樣
[00:01:38.880 --> 00:01:40.880]  我們才能活出一個
[00:01:40.880 --> 00:01:41.880]  真正
[00:01:41.880 --> 00:01:43.880]  著著實實的
[00:01:43.880 --> 00:01:45.880]  神國子民的身份
[00:01:45.880 --> 00:01:48.880]  好告奉教主耶穌的德性的名字
[00:01:48.880 --> 00:01:50.880]  阿們
[00:01:50.880 --> 00:01:52.880]  早幾年前
[00:01:54.880 --> 00:01:56.880]  教會和法國
[00:01:56.880 --> 00:01:58.880]  那邊的巴黎教會
[00:01:58.880 --> 00:02:00.880]  大家有個商議
[00:02:00.880 --> 00:02:02.880]  有個機會讓我可以去到
[00:02:02.880 --> 00:02:04.880]  法國裡面
[00:02:04.880 --> 00:02:06.880]  跟一些弟兄姊妹有一段時間
[00:02:06.880 --> 00:02:08.880]  去牧養
[00:02:08.880 --> 00:02:09.880]  所以
[00:02:09.880 --> 00:02:11.880]  每一次去到
[00:02:11.880 --> 00:02:13.880]  法國的時候
[00:02:13.880 --> 00:02:14.880]  我記得
[00:02:14.880 --> 00:02:16.880]  其實每一天的行程都很緊湊
[00:02:16.880 --> 00:02:17.880]  因為
[00:02:17.880 --> 00:02:18.880]  每一次的行程
[00:02:18.880 --> 00:02:20.880]  只規限在九十天之內
[00:02:20.880 --> 00:02:22.880]  因為我們知道
[00:02:22.880 --> 00:02:24.880]  在歐洲裡面
[00:02:24.880 --> 00:02:26.880]  容許一個海外人士留在
