
[00:00:00.000 --> 00:00:02.500]  剛才大家所讀的那段經文
[00:00:02.500 --> 00:00:04.500]  我想大家都很熟悉
[00:00:04.500 --> 00:00:07.500]  是《馬特夫音》所記載
[00:00:07.500 --> 00:00:09.500]  所謂登山補訓
[00:00:09.500 --> 00:00:12.500]  或者現在我們說是山上補訓
[00:00:12.500 --> 00:00:15.500]  的三章聖經其中一段
[00:00:15.500 --> 00:00:18.500]  這三章聖經我希望
[00:00:18.500 --> 00:00:21.500]  大家都有機會時時去溫習
[00:00:21.500 --> 00:00:23.500]  因為每個時代每個環境
[00:00:23.500 --> 00:00:25.500]  有時有些問題
[00:00:25.500 --> 00:00:28.500]  我們未必完全體會
[00:00:29.500 --> 00:00:32.500]  很多時是有些爭論性的經文
[00:00:32.500 --> 00:00:35.500]  就是在這段裏面產生
[00:00:35.500 --> 00:00:37.500]  有人打你這邊的面
[00:00:37.500 --> 00:00:39.500]  轉過來給他那邊打
[00:00:39.500 --> 00:00:41.500]  怎樣愛仇敵等等
[00:00:41.500 --> 00:00:44.500]  所以這幾章聖經很重要
[00:00:44.500 --> 00:00:46.500]  道理也很簡單
[00:00:46.500 --> 00:00:48.500]  剛才我們讀的那段經文
[00:00:48.500 --> 00:00:50.500]  也很清楚我們說
[00:00:50.500 --> 00:00:54.500]  信耶穌的人應該有好的行為
[00:00:54.500 --> 00:00:57.500]  好像食物放些鹽
[00:00:57.500 --> 00:00:59.500]  我們吃得出來
[00:00:59.500 --> 00:01:02.500]  人家也可以看得到我們的好行為
[00:01:02.500 --> 00:01:06.500]  感覺出來的確是有好的行為
[00:01:06.500 --> 00:01:10.500]  又好像一晚天黑了
[00:01:10.500 --> 00:01:12.500]  看不到東西
[00:01:12.500 --> 00:01:14.500]  你是光的
[00:01:14.500 --> 00:01:16.500]  大家就可以看到東西
[00:01:16.500 --> 00:01:18.500]  可以看到你的好行為
[00:01:18.500 --> 00:01:20.500]  其他人看到了就很高興
[00:01:20.500 --> 00:01:22.500]  你在他們當中
[00:01:22.500 --> 00:01:24.500]  他們就將榮耀歸給神
[00:01:24.500 --> 00:01:28.500]  我們周圍有一個愛神的好人
[00:01:28.500 --> 00:01:30.500]  多好啊
[00:01:30.500 --> 00:01:33.500]  所以剛才那段經文的結論
[00:01:33.500 --> 00:01:36.500]  就是我們要做好人
[00:01:36.500 --> 00:01:38.500]  有好的行為
[00:01:38.500 --> 00:01:40.500]  也要人知道你是神的兒女
[00:01:40.500 --> 00:01:43.500]  就將榮耀歸給天父
[00:01:43.500 --> 00:01:45.500]  所以這段記載很簡單
[00:01:45.500 --> 00:01:48.500]  很清楚這個道理我們都知道
[00:01:48.500 --> 00:01:51.500]  但問題就是
[00:01:51.500 --> 00:01:54.500]  為什麼不是每一個信神的人
[00:01:54.500 --> 00:01:59.500]  每一個基督徒都產生這樣的效應呢
[00:01:59.500 --> 00:02:01.500]  甚至有些時候
[00:02:01.500 --> 00:02:03.500]  我們未信主的朋友
[00:02:03.500 --> 00:02:06.500]  聽到某一個人是基督徒的時候
[00:02:06.500 --> 00:02:09.500]  寧可說保持距離
