
[00:00:00.000 --> 00:00:08.360]  我先和大家看看今日的經文
[00:00:08.360 --> 00:00:12.000]  《士徒行傳》第十一章第十九節
[00:00:12.000 --> 00:00:16.440]  那西恩斯提反的是遭患難四散的門徒
[00:00:16.440 --> 00:00:20.920]  直走到腓尼基和居比路並安提阿
[00:00:20.920 --> 00:00:29.480]  這節聖經其實是承接在前面八章第一節的
[00:00:29.480 --> 00:00:32.680]  我們看回《士徒行傳》八章第一節說
[00:00:32.680 --> 00:00:34.080]  從這一天起
[00:00:34.080 --> 00:00:41.040]  那一天意思是指斯提反為主殉道那一天起
[00:00:41.040 --> 00:00:44.560]  自從那一天起教會大受逼迫
[00:00:44.560 --> 00:00:46.160]  除了仕徒以外
[00:00:46.160 --> 00:00:51.040]  門徒都分散在猶太和撒瑪利亞各處
[00:00:51.040 --> 00:00:55.360]  當然這是一個表達方式
[00:00:55.360 --> 00:00:58.640]  我相信不只是十二個仕徒留下
[00:00:58.640 --> 00:01:00.320]  還有其他門徒留下
[00:01:00.320 --> 00:01:04.720]  例如巴拿巴、阿拉利亞
[00:01:04.720 --> 00:01:10.280]  接待保羅的阿拉利亞
[00:01:10.280 --> 00:01:11.560]  還有其他應該是
[00:01:11.560 --> 00:01:16.560]  不過大部分其他的門徒就四散了
[00:01:16.560 --> 00:01:19.440]  四散不是隱藏了就算了
[00:01:19.440 --> 00:01:22.680]  而是他們去到不同的地方傳福音
[00:01:22.680 --> 00:01:27.200]  例如第八章十四節說
[00:01:27.200 --> 00:01:29.200]  耶路撒冷教會
[00:01:29.200 --> 00:01:32.400]  首先說第八章其實是說腓利
[00:01:32.400 --> 00:01:36.560]  首先說到執事腓利去到撒瑪利亞
[00:01:36.560 --> 00:01:39.400]  在那裡領了很多人信主
[00:01:39.400 --> 00:01:41.120]  八章十四節說
[00:01:41.120 --> 00:01:42.960]  耶路撒冷教會
[00:01:42.960 --> 00:01:43.760]  你說是武會
[00:01:43.760 --> 00:01:47.800]  聽見撒瑪利亞人領受了神的道
[00:01:47.800 --> 00:01:51.960]  就打發彼得和約翰去那裡
[00:01:51.960 --> 00:01:52.960]  去那裡做什麼?
[00:01:52.960 --> 00:01:54.400]  視察一下
[00:01:54.400 --> 00:01:58.800]  彼得和約翰在那裡看看撒瑪利亞人
[00:01:58.800 --> 00:02:01.880]  他們的信仰是不是純正
[00:02:01.880 --> 00:02:06.160]  也在那裡提供一些教導和勸勉
[00:02:06.160 --> 00:02:10.040]  第九章是說保羅
[00:02:10.040 --> 00:02:13.040]  保羅悔改歸主
[00:02:13.040 --> 00:02:18.160]  歸主之後他也馬上開始傳福音
[00:02:18.160 --> 00:02:21.880]  但是我們知道當時不是很多人接受他
[00:02:21.880 --> 00:02:28.640]  第十章是說彼得向一個白夫長哥尼劉
[00:02:28.640 --> 00:02:32.480]  和他的家人傳福音
[00:02:32.480 --> 00:02:34.560]  現在來到第十一章
