
[00:00:00.000 --> 00:00:02.000]  各位頂子妹,大家好!
[00:00:02.000 --> 00:00:05.000]  又係時間同大家一齊讀聖經啦!
[00:00:05.000 --> 00:00:10.000]  生命樹宣教網絡,做宣教工作都十幾年
[00:00:10.000 --> 00:00:15.000]  好想透過傳福音,宣教讓人認識福音
[00:00:15.000 --> 00:00:18.000]  亦都可以有更美好的靈修
[00:00:18.000 --> 00:00:22.000]  今次就係用咗聖經人物,同埋聖經故事
[00:00:22.000 --> 00:00:25.000]  做我哋嘅題目都一段時間㗎啦
[00:00:25.000 --> 00:00:29.000]  今次嘅聖經人,聖經事呢,就一路講緊摩世
[00:00:29.000 --> 00:00:32.000]  你知由創世紀講起,而家出埋埃及記啦
[00:00:32.000 --> 00:00:38.000]  阿拜罕,以撒,雅各,約瑟,而家出埋埃及記摩西
[00:00:38.000 --> 00:00:43.000]  摩西就由佢出世一直到而家就十災
[00:00:43.000 --> 00:00:45.000]  叫大意識的人離開埃及
[00:00:45.000 --> 00:00:48.000]  今次嘅題目係摩西向天生長
[00:00:48.000 --> 00:00:51.000]  嘩!呢個故事真係犀利啦
[00:00:51.000 --> 00:00:56.000]  不過呢其實話事話呢就好多人都冇留意呢件事㗎喎
[00:00:56.000 --> 00:00:59.000]  咁你就留意十災呀,好緊要呀,點呀點呀
[00:00:59.000 --> 00:01:02.000]  啲細節呢我哋好多時候讀聖經呢就冇留意到
[00:01:02.000 --> 00:01:03.000]  不過好有意思嘅
[00:01:03.000 --> 00:01:08.000]  今次呢,就摩西向天生長,有啲象呀
[00:01:08.000 --> 00:01:10.000]  你又去睇下先
[00:01:10.000 --> 00:01:14.000]  大家都記得呢一章呢,係尋日用過嘅
[00:01:14.000 --> 00:01:20.000]  喺十災之中就記載喺摩西及記七至十一章啦
[00:01:20.000 --> 00:01:24.000]  咁喺第三災呢,喺個失災
[00:01:24.000 --> 00:01:27.000]  呢啲字我哋讀早嘅,原來呢佢應該讀失嘅
[00:01:27.000 --> 00:01:29.000]  好!失災!
[00:01:29.000 --> 00:01:34.000]  咁就借試喺摩西及記嘅第八章十九節
[00:01:34.000 --> 00:01:37.000]  去到失災嘅時候呢,嘩!遍地都係失
[00:01:37.000 --> 00:01:41.000]  咁我唔知你又冇經歷過,又係畀失咬
[00:01:41.000 --> 00:01:43.000]  我呢就經歷過
[00:01:43.000 --> 00:01:46.000]  咁就特別呢,係以前細個D嘅時候啦
[00:01:46.000 --> 00:01:49.000]  都唔係好細個,十幾歲,中學生
[00:01:49.000 --> 00:01:51.000]  就喺爸爸呢開間鋪頭嘅
[00:01:51.000 --> 00:01:55.000]  有間五金鋪,有時有啲野貓捐咗入去
[00:01:55.000 --> 00:01:59.000]  嘩!留低咗好多跳蝨
