
[00:00:00.000 --> 00:00:02.000]  公主明文向弟兄姊妹提案
[00:00:02.000 --> 00:00:04.500]  公主的名 問候弟兄姊妹平安
[00:00:04.500 --> 00:00:06.000]  各位弟兄姊妹
[00:00:06.000 --> 00:00:09.500]  我和你一路都是研讀獵王記下的
[00:00:09.500 --> 00:00:11.000]  各位弟兄姊妹
[00:00:11.000 --> 00:00:14.000]  我和大家一起來研讀獵王記下
[00:00:14.000 --> 00:00:15.500]  來到獵王記下
[00:00:15.500 --> 00:00:17.500]  去到第十五章
[00:00:17.500 --> 00:00:19.500]  一路去到十七章
[00:00:19.500 --> 00:00:21.500]  來到十五章一直到十七章
[00:00:21.500 --> 00:00:24.000]  我給個題目叫做「以色列的末期」
[00:00:24.000 --> 00:00:25.500]  你見不見我的大方
[00:00:25.500 --> 00:00:29.000]  我給他一個題目叫做「以色列的末期」
[00:00:29.000 --> 00:00:31.000]  上次已經講到末期上了
[00:00:31.000 --> 00:00:32.500]  上次講到了上
[00:00:32.500 --> 00:00:34.000]  這次講末期下
[00:00:34.000 --> 00:00:36.000]  今天是下
[00:00:36.000 --> 00:00:38.500]  末期上就是在動盪的開始
[00:00:38.500 --> 00:00:40.500]  末期是動盪的開始
[00:00:40.500 --> 00:00:42.500]  現在是動盪的延續
[00:00:42.500 --> 00:00:45.500]  現在是延續
[00:00:45.500 --> 00:00:47.000]  剛才彭明姊妹幫我們讀了
[00:00:47.000 --> 00:00:50.000]  獵王記下的十五章十七到三十一節
[00:00:50.000 --> 00:00:52.000]  剛才讀了獵王記下十五章的
[00:00:52.000 --> 00:00:53.500]  十七到三十一節
[00:00:53.500 --> 00:00:55.000]  大家手上都有大方了
[00:00:55.000 --> 00:00:57.000]  大家手上有大綱
[00:00:57.000 --> 00:00:59.000]  各位聽眾朋友你好
[00:00:59.000 --> 00:01:00.000]  我們讀聖經
[00:01:00.000 --> 00:01:02.000]  為甚麼要讀獵王記呢?
[00:01:02.000 --> 00:01:04.000]  我們讀聖經
[00:01:04.000 --> 00:01:06.000]  為甚麼要讀獵王記呢?
[00:01:06.000 --> 00:01:07.000]  為甚麼不讀其他的書呢?
[00:01:07.000 --> 00:01:09.000]  為甚麼不讀其他的書卷呢?
[00:01:09.000 --> 00:01:10.000]  兩樣都要讀
[00:01:10.000 --> 00:01:12.000]  兩樣都要讀
[00:01:12.000 --> 00:01:15.000]  不過獵王記是座底
[00:01:15.000 --> 00:01:16.000]  打底
[00:01:16.000 --> 00:01:19.000]  獵王記下是最基礎的
[00:01:19.000 --> 00:01:20.000]  因為如果你沒有獵王記底
[00:01:20.000 --> 00:01:23.000]  你去看以賽亞書
[00:01:23.000 --> 00:01:25.000]  如果你沒有獵王記的基礎的話
[00:01:25.000 --> 00:01:27.000]  你去看以賽亞書呢?
[00:01:27.000 --> 00:01:29.000]  耶利米書
[00:01:29.000 --> 00:01:31.000]  以西傑書
[00:01:31.000 --> 00:01:33.000]  蘭與利書
[00:01:33.000 --> 00:01:37.000]  還有小先知十二卷書
[00:01:37.000 --> 00:01:40.000]  你不知道他們在講甚麼?
