
[00:00:00.000 --> 00:00:03.160]  當我們今天一起去看聖經的時候
[00:00:03.160 --> 00:00:08.680]  大家有聖經的請打開羅馬書第三章第一至第二十四節
[00:00:08.680 --> 00:00:11.720]  今天我們講的就是最後的判決
[00:00:11.720 --> 00:00:16.360]  在過去幾個禮拜我們一起讀羅馬書的時候
[00:00:16.360 --> 00:00:19.200]  特別講到羅馬書的一至第三章
[00:00:19.200 --> 00:00:20.440]  它在講什麼呢?
[00:00:20.440 --> 00:00:22.560]  羅馬書的作者叫做保羅
[00:00:22.560 --> 00:00:25.640]  保羅在羅馬書第一至第三章那裡
[00:00:25.640 --> 00:00:31.040]  他講明世界上每一個人都犯了罪
[00:00:31.040 --> 00:00:36.040]  然後上帝最後的決定就是
[00:00:36.040 --> 00:00:39.360]  都要面對上帝的審判
[00:00:39.360 --> 00:00:41.560]  都要面對上帝的審判
[00:00:41.560 --> 00:00:43.400]  被上帝定罪
[00:00:43.400 --> 00:00:45.520]  這個題目聽起來的時候
[00:00:45.520 --> 00:00:47.520]  真的令人覺得很不舒服
[00:00:47.520 --> 00:00:52.400]  特別各位來賓或者你來到今天講這樣的題目
[00:00:52.400 --> 00:00:55.320]  讓我們一起細心聽聖經怎麼講
[00:00:55.320 --> 00:00:57.320]  因為當我們明白了之後
[00:00:57.320 --> 00:00:59.800]  我們發覺原來這個題目的解決
[00:00:59.800 --> 00:01:04.000]  是帶給我們生命上一種很大的喜樂和安慰的
[00:01:04.000 --> 00:01:06.000]  讓我們一起去思想
[00:01:06.000 --> 00:01:07.800]  或者有人首先的問
[00:01:07.800 --> 00:01:11.240]  當我們講到上帝最後的審判
[00:01:11.240 --> 00:01:14.120]  上帝都要審判人因為人犯了罪
[00:01:14.120 --> 00:01:16.240]  為什麼上帝不大方一點呢?
[00:01:16.240 --> 00:01:17.760]  為什麼他不是說
[00:01:17.760 --> 00:01:20.480]  「警告你,你下次不要了」
[00:01:20.480 --> 00:01:23.840]  「我這次就原諒你,不要緊了,算了」
[00:01:23.840 --> 00:01:25.840]  為什麼上帝這麼偉大的神
[00:01:25.840 --> 00:01:27.360]  他不可以就這樣算呢?
[00:01:27.360 --> 00:01:28.640]  為什麼他要審判呢?
[00:01:28.640 --> 00:01:30.240]  為什麼他要定罪呢?
[00:01:30.240 --> 00:01:32.240]  為什麼是這樣呢?
[00:01:32.240 --> 00:01:35.680]  在去年2013年
[00:01:35.680 --> 00:01:38.800]  有出的電影叫做《The Emperor》
[00:01:38.800 --> 00:01:42.320]  《The Emperor》中文我不知道它有沒有譯名
[00:01:42.320 --> 00:01:44.720]  不過它的意思是講到日本的天王
[00:01:44.720 --> 00:01:45.720]  The Emperor
[00:01:45.720 --> 00:01:47.720]  是講到第二次世界大戰
[00:01:47.720 --> 00:01:50.600]  是勝利之後,日本戰敗之後
[00:01:50.600 --> 00:01:55.240]  是講到美國派了General Douglas MacArthur
[00:01:55.240 --> 00:01:57.720]  這個將軍去接管日本
[00:01:57.720 --> 00:01:59.720]  因為日本打敗仗了
[00:01:59.720 --> 00:02:05.920]  美國人進到日本去佔管這個國家
[00:02:05.920 --> 00:02:08.160]  這齣電影講到
[00:02:08.160 --> 00:02:11.320]  除了維持秩序之外
[00:02:11.320 --> 00:02:13.320]  第一件事MacArthur要做的
[00:02:13.320 --> 00:02:16.280]  就是去抓那些戰犯
[00:02:16.280 --> 00:02:20.040]  那些戰犯帶他上去法庭要審他
[00:02:20.040 --> 00:02:22.880]  這些戰犯就是日本裏面的兵
[00:02:22.880 --> 00:02:23.880]  日本裏面的人
[00:02:23.880 --> 00:02:27.560]  他們怎樣殘酷地做了這些事
[00:02:27.560 --> 00:02:29.560]  侵略中國,侵略東南亞
[00:02:29.560 --> 00:02:31.560]  珍珠港,各樣各樣的事
[00:02:31.560 --> 00:02:34.040]  其實在當日本投降之前
[00:02:34.040 --> 00:02:37.640]  日本的軍方已經在投降前幾天
[00:02:37.640 --> 00:02:40.920]  告訴了所有的軍官
[00:02:40.920 --> 00:02:43.880]  你們要換衣服,換了便服
[00:02:43.880 --> 00:02:47.960]  離開你們的軍營,運入人民當中
[00:02:47.960 --> 00:02:52.040]  你們就不會那麼容易被人去抓你們
[00:02:52.040 --> 00:02:55.080]  但當時MacArthur一個最頭痛的問題
[00:02:55.080 --> 00:02:58.120]  就是這齣電影裏面主要講到
[00:02:58.120 --> 00:03:00.440]  究竟日本的天皇
[00:03:00.440 --> 00:03:04.440]  日本有一個天皇,一個叫御皇
[00:03:04.440 --> 00:03:08.200]  究竟這個皇帝是不是戰犯呢?
[00:03:08.200 --> 00:03:10.040]  我們可不可以進入皇宮裏面
