
[00:00:00.000 --> 00:00:02.000]  鄭英姐妹早安
[00:00:02.000 --> 00:00:05.000]  很感恩又再一次在大家當中
[00:00:05.000 --> 00:00:07.000]  真的隔了很久,兩年的時間
[00:00:07.000 --> 00:00:09.000]  但是在大家當中呢
[00:00:09.000 --> 00:00:12.000]  其實真的感受到
[00:00:12.000 --> 00:00:14.000]  感受到那種難能可貴
[00:00:14.000 --> 00:00:18.000]  是大家可以彼此去面對面的傾計
[00:00:18.000 --> 00:00:20.000]  因為其實在疫情裡面
[00:00:20.000 --> 00:00:22.000]  相信你自己都會感受到
[00:00:22.000 --> 00:00:26.000]  很多的難處
[00:00:26.000 --> 00:00:28.000]  就是好像困住一樣
[00:00:28.000 --> 00:00:30.000]  特別在疫情最嚴重的那個時間
[00:00:30.000 --> 00:00:32.000]  可能大家都沒有機會
[00:00:32.000 --> 00:00:35.000]  大家再一次和很多人去面對面
[00:00:35.000 --> 00:00:38.000]  鄭英姐妹彼此一起去溝通
[00:00:38.000 --> 00:00:40.000]  我們都為了很多事情很煩
[00:00:40.000 --> 00:00:41.000]  因為什麼呢?
[00:00:41.000 --> 00:00:43.000]  可能要困在家裡
[00:00:43.000 --> 00:00:46.000]  沒有機會出去不止
[00:00:46.000 --> 00:00:48.000]  還要面對家人
[00:00:48.000 --> 00:00:51.000]  家裡要處理的大大的種種
[00:00:51.000 --> 00:00:52.000]  和沙士一樣
[00:00:52.000 --> 00:00:54.000]  可能清潔已經是一個大件事
[00:00:54.000 --> 00:00:56.000]  但是更進一步呢
[00:00:56.000 --> 00:00:58.000]  就是家人
[00:00:58.000 --> 00:01:01.000]  沒有遇到這麼長時間的相處
[00:01:01.000 --> 00:01:05.000]  所以其實對於我們每一個人都是一個挑戰
[00:01:05.000 --> 00:01:07.000]  而對於貧窮的家庭
[00:01:07.000 --> 00:01:09.000]  或者一些有困難的家庭
[00:01:09.000 --> 00:01:11.000]  其實都挑戰不小
[00:01:11.000 --> 00:01:13.000]  特別是住在一些
