
[00:00:00.000 --> 00:00:09.000]  大家好 今天能夠回來一起聽神的話 學習是非常感恩的
[00:00:09.000 --> 00:00:16.000]  特別是今天我們講的題目是背起自己的十字架
[00:00:16.000 --> 00:00:18.000]  每個信徒都很重要
[00:00:18.000 --> 00:00:20.000]  我覺得這次我預備這篇訪問
[00:00:20.000 --> 00:00:25.000]  我自己有很多自己的反省
[00:00:25.000 --> 00:00:27.000]  我覺得這份訊息很重要
[00:00:27.000 --> 00:00:33.000]  希望神一起用祂的話使我們能夠學習
[00:00:33.000 --> 00:00:36.000]  我們一起有個禱告
[00:00:36.000 --> 00:00:39.000]  天父我們感謝祢
[00:00:39.000 --> 00:00:41.000]  因為祢是首先愛我們
[00:00:41.000 --> 00:00:42.000]  為我們犧牲
[00:00:42.000 --> 00:00:45.000]  以致我們能夠走十字架的道路
[00:00:45.000 --> 00:00:48.000]  有願意的話提醒我們
[00:00:48.000 --> 00:00:51.000]  知道信徒的生命是怎樣
[00:00:51.000 --> 00:00:52.000]  我們獻上感謝
[00:00:52.000 --> 00:00:54.000]  求主祢向我們說話
[00:00:54.000 --> 00:00:56.000]  祈禱奉主耶穌基督的名
[00:00:56.000 --> 00:01:02.000]  我們經常在爭戰
[00:01:02.000 --> 00:01:05.000]  我們知道做基督徒
[00:01:05.000 --> 00:01:06.000]  我們以主為中心
[00:01:06.000 --> 00:01:09.000]  但很多時候我們都是以自我為中心
[00:01:09.000 --> 00:01:11.000]  每天都在爭鬥
[00:01:11.000 --> 00:01:13.000]  我想我和大家一樣
[00:01:13.000 --> 00:01:17.000]  在美國有一位女傳道人
[00:01:17.000 --> 00:01:20.000]  叫做Tiffany Stan
[00:01:20.000 --> 00:01:24.000]  她講過一篇文章
[00:01:24.000 --> 00:01:30.000]  講到人很容易被自我影響
[00:01:30.000 --> 00:01:33.000]  她說在日常生活中
[00:01:33.000 --> 00:01:37.000]  有時候我們會為自己的面子
[00:01:37.000 --> 00:01:40.000]  或者令自己尷尬
[00:01:40.000 --> 00:01:42.000]  說一些善意的謊話
[00:01:42.000 --> 00:01:44.000]  或者我們叫美麗的謊言
[00:01:44.000 --> 00:01:48.000]  好像覺得不要緊
[00:01:48.000 --> 00:01:52.000]  又或者我們有時候在工作中
[00:01:52.000 --> 00:01:54.000]  整隊人去工作
[00:01:54.000 --> 00:01:56.000]  我們可能會想邀功
[00:01:56.000 --> 00:01:58.000]  或者誰意見多一點
[00:01:58.000 --> 00:02:00.000]  因為你要搶
[00:02:00.000 --> 00:02:02.000]  如果第二個人比你快
[00:02:02.000 --> 00:02:04.000]  我好像會很吃虧
[00:02:04.000 --> 00:02:06.000]  這個會影響我們的晉升機會
[00:02:06.000 --> 00:02:08.000]  所以我們很多時候都會這樣想
[00:02:08.000 --> 00:02:10.000]  又或者更簡單一點
[00:02:10.000 --> 00:02:12.000]  我們去超級市場買東西
[00:02:12.000 --> 00:02:14.000]  大家我想都知道
[00:02:14.000 --> 00:02:17.000]  如果有些東西想去付錢的時候
[00:02:17.000 --> 00:02:19.000]  如果看到有位女士
[00:02:19.000 --> 00:02:20.000]  推著車子
[00:02:20.000 --> 00:02:22.000]  再滿滿的東西
[00:02:22.000 --> 00:02:23.000]  不行了
[00:02:23.000 --> 00:02:25.000]  快點爬頭
[00:02:25.000 --> 00:02:27.000]  快點可以付錢
[00:02:27.000 --> 00:02:28.000]  這樣就走人了
[00:02:28.000 --> 00:02:30.000]  如果在她後面再等
[00:02:30.000 --> 00:02:32.000]  都不知道要等多久
[00:02:32.000 --> 00:02:33.000]  問題就是
[00:02:33.000 --> 00:02:36.000]  我們很多時候都看重自己
[00:02:36.000 --> 00:02:38.000]  覺得比其他東西都大
[00:02:38.000 --> 00:02:40.000]  以致我們依靠自己
[00:02:40.000 --> 00:02:42.000]  取代了神的地位
[00:02:42.000 --> 00:02:44.000]  我們有時候覺得
[00:02:44.000 --> 00:02:46.000]  我們本身是一個被造的人
[00:02:46.000 --> 00:02:48.000]  但我們反而會覺得
[00:02:48.000 --> 00:02:50.000]  創造我們那一位
[00:02:50.000 --> 00:02:52.000]  沒有我們那麼優越
[00:02:52.000 --> 00:02:53.000]  很奇怪
[00:02:53.000 --> 00:02:57.000]  人可以那個自我去到很高
[00:02:57.000 --> 00:02:58.000]  有時候我們說
[00:02:58.000 --> 00:03:00.000]  跟隨耶穌基督
