
[00:00:00.000 --> 00:00:02.000]  我們先做一個簡單的祈禱
[00:00:02.000 --> 00:00:04.000]  天父上帝我再次來到您面前
[00:00:04.000 --> 00:00:06.000]  我們仰望您的恩典
[00:00:06.000 --> 00:00:09.000]  祈求您一令充滿我們這個會場
[00:00:09.000 --> 00:00:11.000]  充滿我們每一個人的心
[00:00:11.000 --> 00:00:14.000]  以致到我們聽到您的說話
[00:00:14.000 --> 00:00:16.000]  聽到您的聲音的時候
[00:00:16.000 --> 00:00:19.000]  我們會去回應
[00:00:19.000 --> 00:00:21.000]  我們會去聽從
[00:00:21.000 --> 00:00:24.000]  祈禱奉耶穌基督的聖名
[00:00:24.000 --> 00:00:26.000]  那麼我們說爲什麼呢
[00:00:26.000 --> 00:00:28.000]  那一刻就說完了
[00:00:28.000 --> 00:00:30.000]  當然還有很多爲什麼
[00:00:30.000 --> 00:00:32.000]  不過我們這個講道系列
[00:00:32.000 --> 00:00:34.000]  今天就是最後一次了
[00:00:34.000 --> 00:00:36.000]  最後一課裏面說什麼呢
[00:00:36.000 --> 00:00:40.000]  爲什麼信耶穌要靠信心
[00:00:40.000 --> 00:00:42.000]  我再說一次
[00:00:42.000 --> 00:00:48.000]  爲什麼信耶穌要靠信心
[00:00:48.000 --> 00:00:50.000]  不知道大家看到這個題目
[00:00:50.000 --> 00:00:52.000]  或者聽到這個題目的時候
[00:00:52.000 --> 00:00:54.000]  會不會覺得怪怪的呢
[00:00:54.000 --> 00:00:56.000]  信耶穌要靠信心
[00:00:56.000 --> 00:00:59.000]  好像有點矛盾
[00:00:59.000 --> 00:01:01.000]  但事實上
[00:01:01.000 --> 00:01:04.000]  相信和有信心
[00:01:04.000 --> 00:01:08.000]  Believe and have faith
[00:01:08.000 --> 00:01:10.000]  是兩樣不同的事
[00:01:10.000 --> 00:01:14.000]  信耶穌和信靠耶穌
[00:01:14.000 --> 00:01:17.000]  也是兩回事
[00:01:17.000 --> 00:01:19.000]  有些人知道上個星期
[00:01:19.000 --> 00:01:21.000]  我們教會的教務同工
[00:01:21.000 --> 00:01:23.000]  去休斯敦開會
[00:01:23.000 --> 00:01:27.000]  參加美加華人浸水會聯會
[00:01:27.000 --> 00:01:29.000]  雙聯會在休斯敦舉行
[00:01:29.000 --> 00:01:30.000]  所以上個星期
[00:01:30.000 --> 00:01:32.000]  完了崇拜之後第二堂
[00:01:32.000 --> 00:01:34.000]  我和師母喫飯的時間
[00:01:34.000 --> 00:01:36.000]  都skip了
[00:01:36.000 --> 00:01:38.000]  因爲怕會遲到
[00:01:38.000 --> 00:01:41.000]  快點請姐妹們車我們去機場
[00:01:41.000 --> 00:01:43.000]  我們的飛機是3點05分
[00:01:43.000 --> 00:01:44.000]  所以兩點前要到
[00:01:44.000 --> 00:01:47.000]  因爲要過安檢之類的
[00:01:47.000 --> 00:01:49.000]  至於我們去到
[00:01:49.000 --> 00:01:51.000]  飛機還沒起飛
