
[00:00:00.000 --> 00:00:03.200]  今日好想簡算一段大家非常熟悉的經文
[00:00:03.200 --> 00:00:08.000]  就是《馬太福音》第九章三十五至三十八節
[00:00:08.000 --> 00:00:11.000]  在大家的新約聖經第十三頁
[00:00:11.000 --> 00:00:15.500]  《馬太福音》第九章三十五至三十八節
[00:00:15.500 --> 00:00:19.000]  找到的時候我們一起讀出這幾節的經文
[00:00:19.000 --> 00:00:22.500]  在大家的新約聖經第十三頁
[00:00:22.500 --> 00:00:25.500]  《馬太福音》第九章三十五節
[00:00:25.500 --> 00:00:27.000]  請
[00:00:27.000 --> 00:00:30.000]  耶穌走遍各城各鄉
[00:00:30.000 --> 00:00:32.500]  在會堂裡教訓人
[00:00:32.500 --> 00:00:35.000]  宣廣天國的福音
[00:00:35.000 --> 00:00:37.500]  又醫治各樣的病情
[00:00:37.500 --> 00:00:40.000]  他看見許多的人
[00:00:40.000 --> 00:00:42.000]  就憐憫他們
[00:00:42.000 --> 00:00:44.500]  因為他們困苦流離
[00:00:44.500 --> 00:00:47.500]  如同羊沒有牧人一般
[00:00:47.500 --> 00:00:50.000]  於是對門徒說
[00:00:50.000 --> 00:00:52.000]  要收的莊家多
[00:00:52.000 --> 00:00:54.000]  作供的人少
[00:00:54.000 --> 00:00:57.500]  所以你們當求莊家的主
[00:00:57.500 --> 00:00:59.500]  打發工人出去
[00:00:59.500 --> 00:01:02.000]  收他的莊家
[00:01:02.000 --> 00:01:05.000]  上個禮拜陳牧師就帶我們展開了
[00:01:05.000 --> 00:01:09.000]  這個整全使命肅靈運動裡面的第一講
[00:01:09.000 --> 00:01:12.000]  陳牧師很清楚告訴我們
[00:01:12.000 --> 00:01:15.000]  當我們要邁向整全使命的時候
[00:01:15.000 --> 00:01:17.000]  我們有五個標記
[00:01:17.000 --> 00:01:18.000]  我們要傳福音
[00:01:18.000 --> 00:01:19.000]  我們要教導
[00:01:19.000 --> 00:01:19.500]  我們要憐憫
[00:01:19.500 --> 00:01:20.000]  我們要公義
[00:01:20.000 --> 00:01:22.000]  我們要關愛創造
[00:01:22.000 --> 00:01:24.500]  在整個五個標記裡面
[00:01:24.500 --> 00:01:27.000]  我們有三個層面
[00:01:27.000 --> 00:01:29.000]  我們要教會
[00:01:29.000 --> 00:01:30.000]  建立教會
[00:01:30.000 --> 00:01:31.000]  我們要服務社會
[00:01:31.000 --> 00:01:34.000]  我們要關愛創造
[00:01:34.000 --> 00:01:37.000]  今天我們又進入到建立教會
[00:01:37.000 --> 00:01:39.000]  當我們要建立教會的時候
[00:01:39.000 --> 00:01:41.000]  我相信神給我們的教會
[00:01:41.000 --> 00:01:44.000]  神給地上的教會有兩件事我們要做
[00:01:44.000 --> 00:01:45.000]  第一
[00:01:45.000 --> 00:01:48.000]  我們就要廣傳福音
[00:01:48.000 --> 00:01:50.500]  我們要拓展神的國度
[00:01:50.500 --> 00:01:52.000]  第二件事我相信
[00:01:52.000 --> 00:01:55.000]  神給教會就是要鞏固神的家
[00:01:55.000 --> 00:01:57.000]  所以下個禮拜我們有講到
[00:01:57.000 --> 00:01:59.000]  要按照聖經的真理
[00:01:59.000 --> 00:02:03.000]  去教導弟兄姊妹來成長
[00:02:03.000 --> 00:02:06.000]  今天很想先講
[00:02:06.000 --> 00:02:08.000]  我們要拓展神的國度
[00:02:08.000 --> 00:02:09.000]  建立教會
[00:02:09.000 --> 00:02:13.000]  上帝的子民就要傳揚福音
[00:02:13.000 --> 00:02:14.000]  弟兄姊妹
[00:02:14.000 --> 00:02:17.000]  什麼是福音?
[00:02:17.000 --> 00:02:20.500]  你認識你掌握你把握福音對你來講
[00:02:20.500 --> 00:02:23.500]  是什麼事情?
[00:02:23.500 --> 00:02:26.500]  我想給你五秒鐘
[00:02:26.500 --> 00:02:29.500]  你和你隔壁那個可能都很熟悉
[00:02:29.500 --> 00:02:30.500]  你告訴他
[00:02:30.500 --> 00:02:33.500]  你覺得福音是什麼好嗎?
[00:02:33.500 --> 00:02:36.500]  五秒鐘你告訴隔壁那個
[00:02:36.500 --> 00:02:40.500]  你的理解你的掌握
[00:02:40.500 --> 00:02:43.500]  福音是什麼呢?
[00:02:44.500 --> 00:02:48.500]  有些人沒有跟隔壁那個講
[00:02:48.500 --> 00:02:51.500]  是不是你不太知道福音是什麼?
[00:02:51.500 --> 00:02:55.500]  福音直譯就是好消息
[00:02:55.500 --> 00:02:58.500]  對你來講什麼是好消息呢?
[00:02:58.500 --> 00:03:01.500]  可能有些懷孕的媽媽
[00:03:01.500 --> 00:03:03.000]  當孩子出世的時候
[00:03:03.000 --> 00:03:06.000]  母子平安就是你的好消息
[00:03:06.000 --> 00:03:07.500]  可能有些打工仔覺得
[00:03:07.500 --> 00:03:10.000]  升職加薪就是他的好消息
[00:03:10.000 --> 00:03:12.000]  當你聽到政府宣佈
[00:03:12.000 --> 00:03:15.000]  未來越來越多小的單位會落成
[00:03:15.000 --> 00:03:18.000]  這個對你來講可能是好消息
[00:03:18.000 --> 00:03:19.000]  但作為基督徒
[00:03:19.000 --> 00:03:21.000]  什麼是我們生命裡
[00:03:21.000 --> 00:03:22.000]  人生裡覺得
[00:03:22.000 --> 00:03:25.000]  這個就是我們最好的消息
[00:03:25.000 --> 00:03:28.000]  有一個英國的宗教改革家
[00:03:28.000 --> 00:03:30.000]  聖經的譯者叫丁道義
[00:03:30.000 --> 00:03:33.000]  他就說福音就是上帝在耶穌基督裡
