
[00:00:00.000 --> 00:00:02.000]  頂姐妹 再一次向大家說
[00:00:02.000 --> 00:00:05.200]  願你們平安
[00:00:05.200 --> 00:00:06.560]  這句說話很好
[00:00:06.560 --> 00:00:13.000]  是耶穌基督復活中所說的第一句說話和門徒
[00:00:13.000 --> 00:00:16.600]  亦是特別經歷了幾千年以來
[00:00:16.600 --> 00:00:17.880]  直到如今
[00:00:17.880 --> 00:00:20.720]  在我們面對艱難困苦
[00:00:20.720 --> 00:00:22.600]  當我們心思混亂
[00:00:22.600 --> 00:00:25.040]  當我們恐懼戰驚的時候
[00:00:25.040 --> 00:00:28.920]  這句說話更加為我們帶來安慰
[00:00:28.920 --> 00:00:31.400]  帶來療癒
[00:00:31.400 --> 00:00:34.120]  頂姐妹 我們很多時候在信仰生命中
[00:00:34.120 --> 00:00:37.280]  我們會遇到一些難處
[00:00:37.280 --> 00:00:39.760]  又或者我們祈求耶穌一些好事
[00:00:39.760 --> 00:00:40.880]  祈求了很久
[00:00:40.880 --> 00:00:43.080]  都未得祂應運的時候
[00:00:43.080 --> 00:00:44.720]  很坦白問問大家
[00:00:44.720 --> 00:00:48.120]  有沒有試過對耶穌的信心有動搖呢?
[00:00:48.120 --> 00:00:49.320]  祂的同在
[00:00:49.320 --> 00:00:52.440]  對祂的同在有沒有產生懷疑呢?
[00:00:52.440 --> 00:00:53.920]  我不騙大家
[00:00:53.920 --> 00:00:54.720]  我會有
[00:00:54.720 --> 00:00:55.960]  我曾經有
[00:00:55.960 --> 00:00:57.920]  自己可以問問自己
[00:00:57.920 --> 00:01:02.280]  近日我有機會和一對祖緣夫婦分享
[00:01:02.280 --> 00:01:04.880]  他們在疫情裏面
[00:01:04.880 --> 00:01:07.760]  他們輾轉失去了兩年
[00:01:07.760 --> 00:01:09.480]  都沒有工作
[00:01:09.480 --> 00:01:12.680]  香港生活不容易
[00:01:12.680 --> 00:01:15.040]  所以開始面對一家人的支出
[00:01:15.040 --> 00:01:16.720]  非常吃力
[00:01:16.720 --> 00:01:19.240]  我們只能關心他 為他禱告
[00:01:19.240 --> 00:01:20.240]  在分享當中
[00:01:20.240 --> 00:01:22.600]  他很坦白很老實地跟我們說
[00:01:22.600 --> 00:01:25.320]  他真的有對耶穌有懷疑
[00:01:25.320 --> 00:01:27.520]  究竟耶穌有沒有和我們同在
[00:01:27.520 --> 00:01:30.640]  究竟耶穌有沒有看顧我們
[00:01:30.640 --> 00:01:34.240]  有句很震撼的對耶穌的發問
[00:01:34.240 --> 00:01:38.480]  Jesus, are you sleeping?
[00:01:38.480 --> 00:01:42.240]  是一個很實在很真實的對耶穌的發問
[00:01:42.240 --> 00:01:45.200]  很感恩這對夫婦後來的分享
[00:01:45.200 --> 00:01:48.080]  他們選擇沒有離開神
[00:01:48.080 --> 00:01:51.200]  他們選擇繼續堅持每一天去靈修
[00:01:51.200 --> 00:01:53.920]  就是因著他們靈修和神的溝通
[00:01:53.920 --> 00:01:57.400]  神不斷地用他們的話語去鼓勵他們
[00:01:57.400 --> 00:01:59.120]  神說我在這裡
[00:01:59.120 --> 00:02:00.800]  我和你一起同行
[00:02:00.800 --> 00:02:02.280]  我一起和你經歷
[00:02:02.280 --> 00:02:04.720]  在黑暗的隧道裡總有盡頭
[00:02:04.720 --> 00:02:07.200]  在隧道的盡頭就是陽光
[00:02:07.200 --> 00:02:10.760]  耶穌就是那個雲上太陽的主
[00:02:10.760 --> 00:02:16.800]  另外我們牧區有一個患癌症的姐妹
[00:02:16.800 --> 00:02:20.360]  她接受化療接受了三分之二
[00:02:20.360 --> 00:02:23.000]  但是因著癌細胞未能受到控制
[00:02:23.000 --> 00:02:26.880]  結果醫生要叫停這種化療藥
[00:02:26.880 --> 00:02:28.720]  從頭再來
[00:02:28.720 --> 00:02:33.400]  接下來的星期她就要接受另外一種化療藥
[00:02:33.400 --> 00:02:38.520]  醫生說可能是唯一有機會的解決
[00:02:38.520 --> 00:02:41.880]  而且這種化療藥可能帶來更大的副作用
[00:02:41.880 --> 00:02:45.600]  姐妹將要面對更大的挑戰
[00:02:45.600 --> 00:02:47.520]  但是姐妹很堅強
[00:02:47.520 --> 00:02:50.040]  當她在身體的狀況許可的時候
[00:02:50.040 --> 00:02:52.760]  她有發出她的代禱信
[00:02:52.760 --> 00:02:55.800]  讓弟兄姐妹一起為她祈禱
[00:02:55.800 --> 00:02:59.640]  她也很鼓勵我們弟兄姐妹去探訪她
[00:02:59.640 --> 00:03:01.320]  當我們去探望她的時候
[00:03:01.320 --> 00:03:02.640]  在她家裡和她一起的時候
[00:03:02.640 --> 00:03:06.200]  我們大聲地呼求耶穌基督的醫治
[00:03:06.200 --> 00:03:09.320]  而且當她的身體狀況許可的時候
[00:03:09.320 --> 00:03:11.680]  她更加回來教會的祈禱會
[00:03:11.680 --> 00:03:14.280]  在過去的星期三她在這裡
[00:03:14.280 --> 00:03:16.120]  之前有一個星期三
[00:03:16.120 --> 00:03:18.280]  當Pastor Ken知道她在這裡的時候
