
[00:00:00.000 --> 00:00:03.440]  今天要和大家分享的講道題目是
[00:00:03.440 --> 00:00:06.080]  聆聽神的要訣
[00:00:06.080 --> 00:00:09.200]  不知道大家會否覺得聆聽神的要訣
[00:00:09.200 --> 00:00:11.840]  聆聽神的聲音很神秘
[00:00:11.840 --> 00:00:12.720]  會嗎?
[00:00:12.720 --> 00:00:13.440]  有沒有聽過
[00:00:13.440 --> 00:00:17.800]  有沒有試過實體聽過神的一把聲音呢?
[00:00:17.800 --> 00:00:20.160]  可能大家都會覺得
[00:00:20.160 --> 00:00:21.800]  未必是會聽過
[00:00:21.800 --> 00:00:23.280]  聽神的聲音
[00:00:23.280 --> 00:00:26.640]  我們有時會覺得其實可能都是一個意念
[00:00:26.640 --> 00:00:28.640]  又或者我們見到一些發生的事
[00:00:28.640 --> 00:00:33.120]  我們就會覺得神和我們在說話
[00:00:33.120 --> 00:00:38.040]  原來聆聽神是有層次
[00:00:38.040 --> 00:00:40.320]  聽是原來有層次
[00:00:40.320 --> 00:00:41.080]  聽呢
[00:00:41.080 --> 00:00:44.480]  我想和大家用兩個英文詞說這個「聽」
[00:00:44.480 --> 00:00:46.680]  有「hear」和「listen」
[00:00:46.680 --> 00:00:49.520]  它的中文意思都是解「聽」
[00:00:49.520 --> 00:00:52.840]  「hear」其實是一個很隨意的「聽」
[00:00:52.840 --> 00:00:58.880]  比喻我聽到外面有一把聲音
[00:00:58.880 --> 00:01:02.200]  可能英文就是「I hear a voice outside」
[00:01:02.200 --> 00:01:03.960]  其實我不是很專心去聽
[00:01:03.960 --> 00:01:06.240]  它突然間響起的時候
[00:01:06.240 --> 00:01:08.160]  我就鑄在耳朵的「聽」裡
[00:01:08.160 --> 00:01:09.680]  但是「listen」的時候
[00:01:09.680 --> 00:01:13.600]  原來人是要「pay attention」
[00:01:13.600 --> 00:01:16.240]  是很留心專心去聽
[00:01:16.240 --> 00:01:18.760]  可能會想在我們中學的時候
[00:01:18.760 --> 00:01:20.720]  我們有些聽力考試的時候
[00:01:20.720 --> 00:01:23.440]  考官開始的時候開口就會說什麼
[00:01:23.440 --> 00:01:28.400]  大家孝順請「listen carefully」
[00:01:28.400 --> 00:01:32.280]  我們有時候去到一些的八月
[00:01:32.280 --> 00:01:33.200]  我們會有什麼
[00:01:33.200 --> 00:01:36.200]  港九培靈應景大會
[00:01:36.200 --> 00:01:38.680]  其實我們聆聽是很在乎
[00:01:38.680 --> 00:01:41.360]  每一個聽者的心田
[00:01:41.360 --> 00:01:44.520]  為什麼那些培靈大會這麼得著呢
[00:01:44.520 --> 00:01:46.360]  不單止那個聆聽者
[00:01:46.360 --> 00:01:49.520]  他預備一個專心聆聽的意義
[00:01:49.520 --> 00:01:52.720]  有一個柔軟的心去聆聽這篇道
[00:01:52.720 --> 00:01:55.280]  更加他必不可少的就是說
