
[00:00:00.000 --> 00:00:09.840]  講起聖樂 教會音樂不能夠抽離在崇拜的背景裏面去談論教會的聖樂
[00:00:09.840 --> 00:00:17.520]  因為崇拜裏面的音樂就是給我們去真心真意的向神回應
[00:00:17.520 --> 00:00:20.720]  同時間也可以是神向我們的啟示
[00:00:20.720 --> 00:00:28.000]  關於崇拜 我選了這段經文是今天跟大家一起看的
[00:00:28.000 --> 00:00:32.720]  《易祥亞書》六章一到八節 我給的講題是《與神共話》
[00:00:32.720 --> 00:00:36.080]  其實我想到這段經文的同時 我還有一段經文想起
[00:00:36.080 --> 00:00:41.840]  就是我們的救主耶穌親自講到關於敬拜的經文都很寶貴
[00:00:41.840 --> 00:00:47.840]  就是在《約翰福音》第四章 耶穌和井旁婦人聊天的時候
[00:00:47.840 --> 00:00:54.080]  是講關於敬拜的 因為那個婦人在對話裏面問起耶穌
[00:00:54.080 --> 00:00:59.600]  她說敬拜的地點 如果按照猶太人的傳統
[00:00:59.600 --> 00:01:04.880]  應該是在耶路撒冷 我們先去我的PowerPoint
[00:01:04.880 --> 00:01:08.800]  應該在耶路撒冷 但是按照他們撒馬利亞人的傳統
[00:01:08.800 --> 00:01:12.000]  就說是在基里森山 究竟在哪裏呢
[00:01:12.000 --> 00:01:16.480]  耶穌就回答這個女人說 你們所拜的 你們不知道
[00:01:16.480 --> 00:01:19.520]  哇 耶穌這句話真是一語中的
[00:01:19.520 --> 00:01:24.560]  中了這個婦人的盲點或者限制
[00:01:24.560 --> 00:01:29.120]  其實這個評論不單止是婦人的問題
[00:01:29.120 --> 00:01:33.120]  可能今天我們很多返教會崇拜的基督徒
[00:01:33.120 --> 00:01:38.480]  可能都犯同一個毛病 就是我們所拜的 我們不知道
[00:01:38.480 --> 00:01:41.040]  為什麼呢 因為當崇拜變成一種習慣
[00:01:41.040 --> 00:01:42.880]  我們每個星期都去返的時候
[00:01:42.880 --> 00:01:46.160]  有時候我們習慣了 我們不去問深一層
[00:01:46.160 --> 00:01:51.760]  究竟我們為什麼要這樣返 為什麼我們要這樣崇拜呢
[00:01:51.760 --> 00:01:55.760]  我們沒什麼去討論 沒什麼去教導 去檢視
[00:01:55.760 --> 00:02:01.120]  譬如可能很多人返崇拜 都是知其所以而不知其所以然
[00:02:01.120 --> 00:02:04.480]  為什麼崇拜開始的時候要宣召呢
[00:02:04.480 --> 00:02:07.040]  為什麼奉獻要放在這個環節呢
[00:02:07.040 --> 00:02:10.240]  為什麼要這樣祈禱呢 通常我們都不會問的
[00:02:10.240 --> 00:02:14.400]  這些是傳道人或者領事的主席 信徒領袖所做的事情
[00:02:14.400 --> 00:02:19.120]  也都見到有些情況 返崇拜的人可能遲到早退
[00:02:19.120 --> 00:02:21.280]  他又教得很準時間的
[00:02:21.280 --> 00:02:24.880]  總之他返回來 他不會錯過廣道時間的
[00:02:24.880 --> 00:02:27.520]  看完道他就可以走了 祝福都不用要
[00:02:27.520 --> 00:02:31.760]  其實背後都是反映他怎麼理解崇拜的呢
[00:02:31.760 --> 00:02:34.400]  是不是崇拜就是refuse to preaching
