
[00:00:00.000 --> 00:00:06.900]  今天我們講到的主題叫「門關了,主在中間」
[00:00:06.900 --> 00:00:12.500]  剛才Stanley大兄領的詩歌
[00:00:12.500 --> 00:00:16.340]  其實我一邊唱的時候就想
[00:00:16.340 --> 00:00:18.040]  其實我不用說了
[00:00:18.040 --> 00:00:22.980]  他已經透過詩歌幫我表達了我整個信息
[00:00:22.980 --> 00:00:25.320]  很感謝主
[00:00:25.320 --> 00:00:26.880]  我們沒有溝通過
[00:00:26.880 --> 00:00:30.120]  純粹是他想他的詩歌
[00:00:30.120 --> 00:00:31.320]  我想我的講道
[00:00:31.320 --> 00:00:34.720]  但是很配合我想說的
[00:00:34.720 --> 00:00:36.320]  我們很感恩
[00:00:36.320 --> 00:00:39.720]  丁姐妹,當我們講到復活的時候
[00:00:39.720 --> 00:00:42.020]  你第一時間想起什麼?
[00:00:42.020 --> 00:00:46.920]  想起有幾天假期
[00:00:46.920 --> 00:00:51.320]  想起超市的復活蛋
[00:00:51.320 --> 00:00:55.520]  想起一段很熟悉的經文
[00:00:56.920 --> 00:01:02.520]  還是想起我們每年都紀念的一個信仰事件呢?
[00:01:02.520 --> 00:01:07.620]  但是如果我們問一個更加誠實的問題就是
[00:01:07.620 --> 00:01:09.620]  復活是真的
[00:01:09.620 --> 00:01:12.120]  但是對你來說
[00:01:12.120 --> 00:01:16.320]  是歷史還是這一刻呢?
[00:01:16.320 --> 00:01:20.020]  因為我們生活裡面仍然有壓力
[00:01:20.020 --> 00:01:21.220]  仍然有焦慮
[00:01:21.220 --> 00:01:22.520]  仍然有不安
[00:01:23.520 --> 00:01:29.020]  今天很想從約翰福音二十章十九至二十三節裡面
[00:01:29.020 --> 00:01:33.720]  我們看到一群在恐懼裡面的門徒
[00:01:33.720 --> 00:01:36.020]  如何遇見這位復活主
[00:01:36.020 --> 00:01:38.920]  也讓我們問自己
[00:01:38.920 --> 00:01:43.020]  今天我們願不願意打開我們的生命
[00:01:43.020 --> 00:01:47.120]  讓復活主再次站在我們中間
[00:01:47.120 --> 00:01:48.720]  讓我們一起祈禱
[00:01:51.420 --> 00:01:55.720]  耶穌祢是那位在死裡面復活的主
[00:01:55.720 --> 00:02:01.420]  主我求祢幫助今天是我們每一位
[00:02:01.420 --> 00:02:03.920]  無論是
[00:02:03.920 --> 00:02:08.920]  站立在祢跟前的講員
[00:02:08.920 --> 00:02:11.620]  還是一群坐在這裡的會眾
[00:02:11.620 --> 00:02:16.020]  神大求祢在裡面與我們每一個人說話
[00:02:16.020 --> 00:02:18.920]  讓我們更深的去看見
[00:02:19.720 --> 00:02:23.620]  是啊,祢的復活對我們生命的意義
[00:02:23.620 --> 00:02:26.720]  主求祢幫助我們、帶領我們
[00:02:26.720 --> 00:02:28.420]  我們將這套禱告交託
[00:02:28.420 --> 00:02:30.020]  奉主名求,阿們
[00:02:30.020 --> 00:02:34.920]  我們不如一起讀一下這幾節經文
[00:02:34.920 --> 00:02:39.220]  約翰福音二十章十九至二十三節
[00:02:39.220 --> 00:02:40.220]  我們一起讀
[00:02:40.220 --> 00:02:47.620]  萬上門徒所在的地方
[00:02:47.920 --> 00:02:51.020]  因怕猶太人門都關了
[00:02:51.020 --> 00:02:55.020]  耶穌來站在當中對他們說
[00:02:55.020 --> 00:02:56.820]  願你們平安
[00:02:56.820 --> 00:02:58.520]  說了這話
[00:02:58.520 --> 00:03:02.220]  就把手和肋膀指給他們看
[00:03:02.220 --> 00:03:05.620]  門徒看見主就喜樂了
[00:03:05.620 --> 00:03:08.020]  耶穌又對他們說
[00:03:08.020 --> 00:03:09.920]  願你們平安
[00:03:09.920 --> 00:03:12.420]  父怎樣差遣了我
[00:03:12.420 --> 00:03:15.020]  我也照樣差遣你們
[00:03:15.020 --> 00:03:16.620]  說了這話
[00:03:16.920 --> 00:03:19.620]  就向他們吹一口氣說
[00:03:19.620 --> 00:03:21.620]  你們受聖靈
[00:03:21.620 --> 00:03:24.120]  你們赦免誰的罪
[00:03:24.120 --> 00:03:26.520]  誰的罪就赦免了
[00:03:26.520 --> 00:03:28.820]  你們留下誰的罪
[00:03:28.820 --> 00:03:31.220]  誰的罪就留下了
[00:03:31.220 --> 00:03:32.620]  好,謝謝
[00:03:32.620 --> 00:03:35.720]  在第十九節他提到
[00:03:35.720 --> 00:03:38.220]  二十章
[00:03:38.220 --> 00:03:40.620]  其實在第十九節他提到
[00:03:40.620 --> 00:03:42.120]  那日晚上
[00:03:42.120 --> 00:03:45.420]  這個「那日」是指什麼時候
[00:03:45.620 --> 00:03:47.020]  其實我們可以回到
[00:03:47.020 --> 00:03:48.620]  二十章第一節
[00:03:48.620 --> 00:03:49.320]  就是
[00:03:49.320 --> 00:03:53.920]  門徒已經聽過耶穌復活的消息
[00:03:53.920 --> 00:03:56.420]  那個「那日」晚上
[00:03:56.420 --> 00:03:59.220]  其實是指耶穌死後三天
[00:03:59.220 --> 00:04:00.120]  即是星期日
[00:04:00.120 --> 00:04:02.520]  即是祂復活那一天
[00:04:02.520 --> 00:04:04.520]  到了十九節
[00:04:04.520 --> 00:04:06.720]  約翰特別說「那日」晚上
[00:04:06.720 --> 00:04:08.620]  其實是指同一天
[00:04:08.620 --> 00:04:10.620]  復活已經發生了
[00:04:10.620 --> 00:04:12.220]  而來到晚上
[00:04:12.220 --> 00:04:14.620]  門徒仍然是關著門
[00:04:15.120 --> 00:04:17.320]  其實在一至十八節裡面
[00:04:17.320 --> 00:04:19.620]  有門徒知道耶穌復活
[00:04:19.620 --> 00:04:22.720]  在墳墓裡面不見了
[00:04:22.720 --> 00:04:27.720]  也有婦女知道耶穌復活了
[00:04:27.720 --> 00:04:30.620]  但是來到第十九節
[00:04:30.620 --> 00:04:33.420]  門徒仍然是把門關上
[00:04:33.420 --> 00:04:34.620]  經文說
[00:04:34.620 --> 00:04:38.120]  因為怕猶太人門都關了
[00:04:38.120 --> 00:04:40.920]  這個說話很短
[00:04:40.920 --> 00:04:42.720]  但是充滿著張力
[00:04:43.520 --> 00:04:47.020]  我們可以看看門徒的生命狀態
[00:04:47.020 --> 00:04:50.520]  門徒當時不是一個普通的休息
[00:04:50.520 --> 00:04:53.920]  他們內心是一個封閉的狀態
[00:04:53.920 --> 00:04:57.520]  外在的環境有真實的威脅
[00:04:57.520 --> 00:05:00.720]  耶穌剛剛被釘完十字架
[00:05:00.720 --> 00:05:02.620]  三天前才被釘完十字架
[00:05:02.620 --> 00:05:05.120]  宗教領袖敵視耶穌
[00:05:05.120 --> 00:05:06.920]  門徒自然會想
[00:05:06.920 --> 00:05:09.720]  下一個會不會就是我呢
[00:05:09.720 --> 00:05:12.420]  這種恐懼不是幻想
[00:05:12.420 --> 00:05:14.320]  而是很現實
[00:05:14.320 --> 00:05:17.920]  裡面他們有深層的恐懼
[00:05:17.920 --> 00:05:20.020]  他們不單止是怕人
[00:05:20.020 --> 00:05:22.220]  更加是怕未來
