
[00:00:00.000 --> 00:00:03.600]  好多年前我的皮膚有些問題
[00:00:03.600 --> 00:00:10.800]  我那時有些類似腺或者可以叫濕疹的問題
[00:00:10.800 --> 00:00:14.600]  就很麻煩 因為你怎樣弄它都好
[00:00:14.600 --> 00:00:20.400]  它都會紅腫 然後腐爛 就非常之麻煩
[00:00:20.400 --> 00:00:26.200]  我已經嘗試去找醫生 甚至去看一些專科
[00:00:26.200 --> 00:00:29.600]  但發覺去到政府專科 通常都會做什麼呢
[00:00:29.600 --> 00:00:33.200]  無論哪個醫生都好 都會給你大牙膏般大的藥膏
[00:00:33.200 --> 00:00:35.800]  給就給三四支 塗你幾年都塗不完
[00:00:35.800 --> 00:00:43.000]  然後要拿去塗 那些藥膏又黑又難聞
[00:00:43.000 --> 00:00:47.000]  塗完塗到皮膚很骯髒 都不要緊
[00:00:47.000 --> 00:00:50.200]  塗幾乎都沒有用 通常這些藥膏是什麼
[00:00:50.200 --> 00:00:54.200]  像雷克遜一樣 塗一塗 處理一下外面的東西
[00:00:54.200 --> 00:01:00.800]  好煩惱 有一次我和一對做中醫的基督徒夫婦飲茶
[00:01:00.800 --> 00:01:05.400]  跟她談這個問題 她就立即在茶樓幫我看診
[00:01:05.400 --> 00:01:12.000]  幫你看看 伸條舌出來看看 然後讓我把脈
[00:01:12.000 --> 00:01:15.400]  一路旁邊就蝦餃燒賣 她就把脈
[00:01:15.400 --> 00:01:24.600]  我朋友就很認真 她說好熱 好熱 好熱
[00:01:24.600 --> 00:01:29.200]  我說你很熱嗎 不行 那要怎麼辦
[00:01:29.200 --> 00:01:34.200]  我說不用怕 很容易 你拿些竹蔗茅根水喝喝就行
[00:01:34.200 --> 00:01:38.600]  心想我這麼懶 飯都不煮 竹蔗茅根水
[00:01:38.600 --> 00:01:47.200]  那天晚上吃完飯 我就在樓下的涼茶店喝一杯去濕茶
[00:01:47.200 --> 00:01:52.600]  濕熱嘛 無妨 喝了一個禮拜 兩個禮拜 三個禮拜
[00:01:52.600 --> 00:01:55.800]  不斷喝了幾個月 發覺真的
[00:01:55.800 --> 00:01:59.400]  我不用藥膏 慢慢喝那些去濕茶
[00:01:59.400 --> 00:02:04.600]  我的濕疹真的沒有事 完全康復 這麼神奇
[00:02:04.600 --> 00:02:10.400]  於是我就愛上去濕茶 帶了甜品 每晚吃完飯走過涼茶店就整杯
[00:02:10.400 --> 00:02:13.800]  去到那個地步 那個賣涼茶的姐姐認得我
[00:02:13.800 --> 00:02:18.000]  那我有一天又要去濕茶了 姐姐很認真看著我
[00:02:18.000 --> 00:02:23.000]  她說先生 去濕茶不可以天天喝的
[00:02:23.000 --> 00:02:27.400]  去濕茶一個禮拜喝一杯 最多兩杯就很涼的
[00:02:27.400 --> 00:02:32.200]  我說不是啊 喝完好啊 正啊
[00:02:32.200 --> 00:02:35.800]  這件事就讓我發覺 原來有些問題
[00:02:35.800 --> 00:02:40.400]  你不斷去處理外面 茶葉掩飾都處理不了的
[00:02:40.400 --> 00:02:44.200]  直至到要處理裡面的根源問題
[00:02:44.200 --> 00:02:48.800]  外面的情況就自然會改善的
[00:02:48.800 --> 00:02:52.200]  耶穌正正就在這裡針對著法利塞人民事
[00:02:52.200 --> 00:02:55.800]  對律法的了解錯誤 去告訴我們知道
[00:02:55.800 --> 00:03:00.400]  我從裡面去改變 才能夠行出
[00:03:00.400 --> 00:03:04.400]  神對門徒進天國的義那一種的標準
[00:03:04.400 --> 00:03:07.600]  我們一起去看聖經 尤其是第20節
[00:03:07.600 --> 00:03:09.600]  第20節這裡說 我告訴你們
[00:03:09.600 --> 00:03:11.800]  你們的義若不勝於民事
[00:03:11.800 --> 00:03:16.000]  法利塞人的義 斷不能進天國
[00:03:16.000 --> 00:03:18.200]  讀到這裡的時候發覺很大件事
[00:03:18.200 --> 00:03:21.400]  法利塞人和民事對律法的要求很高
[00:03:21.400 --> 00:03:23.000]  很嚴厲遵守律法
[00:03:23.000 --> 00:03:24.600]  但是耶穌說這樣不夠
[00:03:24.600 --> 00:03:28.200]  要越過他們才能夠進天國的義
[00:03:28.200 --> 00:03:31.800]  如果他們理解錯了 我們就會對這段經文發覺
[00:03:31.800 --> 00:03:36.400]  耶穌要走一些更加比舊約律法更嚴謹的條例
[00:03:36.400 --> 00:03:38.400]  於是我信了耶穌很緊張
[00:03:38.400 --> 00:03:40.000]  我要很嚴很嚴
[00:03:40.000 --> 00:03:41.800]  但是一會兒我解釋的時候
[00:03:41.800 --> 00:03:44.400]  耶穌不是這樣的意思
[00:03:44.400 --> 00:03:47.000]  耶穌知道當時這幫我們叫做法利塞人
[00:03:47.000 --> 00:03:49.200]  法利塞人的人他們對律法的理解
[00:03:49.200 --> 00:03:50.400]  這幫人是什麼呢
[00:03:50.400 --> 00:03:54.200]  這幫人是自以色列去亡國秘魯的原因
[00:03:54.200 --> 00:03:56.800]  是因為他們犯了神的律法去拜偶像
[00:03:56.800 --> 00:03:59.600]  而且很多社會上的不義都沒有處理
[00:03:59.600 --> 00:04:04.000]  神就去令他們因為這樣而被罰
[00:04:04.000 --> 00:04:05.200]  沒有了自己的國家
[00:04:05.200 --> 00:04:07.600]  甚至是亡國秘魯
[00:04:07.600 --> 00:04:10.600]  於是回歸之後我們發覺我們要遵行神的律法
