
[00:00:00.000 --> 00:00:03.200]  今天的題目是「請關心兒童」
[00:00:03.200 --> 00:00:09.000]  很感謝大家給予我這個機會分享
[00:00:09.000 --> 00:00:09.800]  我也很感謝
[00:00:09.800 --> 00:00:13.600]  因為其實我之前來過這裡讀神學的時候
[00:00:13.600 --> 00:00:14.480]  來到這裡實習的
[00:00:14.480 --> 00:00:17.120]  這張照片是2016年
[00:00:17.120 --> 00:00:19.200]  如果沒有記錯應該是年底的時候
[00:00:19.200 --> 00:00:23.000]  下著雨一起去禮園門渡假村吃宵夜
[00:00:23.000 --> 00:00:24.720]  穿著雨衣、搭著雨傘
[00:00:24.720 --> 00:00:25.800]  但是後面有些火
[00:00:25.800 --> 00:00:27.800]  我很記得很難忘
[00:00:28.400 --> 00:00:30.800]  跟著就有洗禮班
[00:00:30.800 --> 00:00:32.600]  跟著就有參加
[00:00:32.600 --> 00:00:37.000]  最開心就是一起照顧當時的兒童
[00:00:37.000 --> 00:00:40.200]  今天兒童主日很重要
[00:00:40.200 --> 00:00:43.800]  因為原來神是很關心
[00:00:43.800 --> 00:00:45.800]  在我們中間的兒童的
[00:00:45.800 --> 00:00:47.200]  很關心我們中間的兒童
[00:00:47.200 --> 00:00:49.000]  所以我們去敬拜
[00:00:49.000 --> 00:00:51.400]  我們都一同去學習
[00:00:51.400 --> 00:00:53.800]  怎樣去關心這班兒童
[00:00:53.800 --> 00:00:58.000]  今天我用的聖經是用和合本修訂版的
[00:00:58.000 --> 00:01:00.800]  可能跟你們用的有一點不同
[00:01:00.800 --> 00:01:02.600]  但是請大家見諒
[00:01:02.600 --> 00:01:04.400]  試試看多一個版本
[00:01:04.400 --> 00:01:07.600]  在馬達福音19章14節那裡
[00:01:07.600 --> 00:01:08.800]  耶穌就說
[00:01:08.800 --> 00:01:12.000]  要讓小朋友來我這裡
[00:01:12.000 --> 00:01:13.200]  不要阻礙他們
[00:01:13.200 --> 00:01:17.200]  因為天國就是這些人
[00:01:17.200 --> 00:01:19.400]  原來兒童有一個特質
[00:01:19.400 --> 00:01:22.000]  就是天國裡面的人的特質
[00:01:22.000 --> 00:01:23.600]  跟小朋友一樣
[00:01:23.600 --> 00:01:25.400]  可能就是這麼單純
[00:01:25.400 --> 00:01:26.800]  這麼有信心
[00:01:26.800 --> 00:01:28.400]  這麼依靠神
[00:01:28.400 --> 00:01:31.200]  但是很可惜
[00:01:31.200 --> 00:01:33.800]  在我傳道的生涯裡面
[00:01:33.800 --> 00:01:36.000]  不是很多時間
[00:01:36.000 --> 00:01:37.600]  我是100年畢業
[00:01:37.600 --> 00:01:40.000]  但是有機會去過不同的教會
[00:01:40.000 --> 00:01:45.000]  發覺他們的兒童都不是真的這麼多
