
[00:00:00.000 --> 00:00:03.160]  今日訊息嘅經文嚟自創世記十八章
[00:00:03.160 --> 00:00:07.680]  創世記十八章有三十三節嘅經文
[00:00:07.680 --> 00:00:10.240]  係我哋今日選讀三個嘅片段
[00:00:10.240 --> 00:00:12.040]  分別係一至十節
[00:00:12.040 --> 00:00:16.380]  16至17節同埋20至26節
[00:00:16.380 --> 00:00:18.180]  第一個嘅
[00:00:18.180 --> 00:00:23.800]  段落係創世記十八章一至十節我請弟兄姊妹幫我讀出好唔好呀
[00:00:23.800 --> 00:00:25.080]  一至十節
[00:00:25.080 --> 00:00:26.620]  預備起
[00:00:30.720 --> 00:00:32.760]  兩下不得好面見著
[00:01:00.200 --> 00:01:06.340]  我再問你一件事你唔可以加減心力以後過次去你唔可以記住好嘅寫作嘅文你當面寫下個字就照你書嘅行法
[00:01:30.000 --> 00:01:32.560]  我哋有跑到入群裡
[00:02:00.200 --> 00:02:02.000]  生人就從那裡起行向所多瑪觀看
[00:02:02.000 --> 00:02:04.000]  阿伯拉罕也與他門同行
[00:02:04.000 --> 00:02:06.000]  要送他門一尊
[00:02:06.000 --> 00:02:08.000]  與他門同行
[00:02:08.000 --> 00:02:10.000]  要送他門一尊
[00:02:10.000 --> 00:02:12.000]  生人就從那裡起行
[00:02:12.000 --> 00:02:14.000]  與他門同行
[00:02:14.000 --> 00:02:16.000]  生人就從那裡起行
[00:02:16.000 --> 00:02:18.000]  與他門同行
[00:02:18.000 --> 00:02:20.000]  生人就從那裡起行
[00:02:20.000 --> 00:02:22.000]  與他門同行
[00:02:22.000 --> 00:02:24.000]  生人就從那裡起行
[00:02:24.000 --> 00:02:26.000]  與他門同行
[00:02:26.000 --> 00:02:28.000]  與他門同行
[00:02:28.000 --> 00:02:30.000]  要送他門一尊
[00:02:30.000 --> 00:02:32.000]  又話說
[00:02:32.000 --> 00:02:34.000]  我所要做的事
[00:02:34.000 --> 00:02:36.000]  豈可瞞著阿伯拉罕呢
[00:02:36.000 --> 00:02:38.000]  跟住係二十至二十六節
[00:02:38.000 --> 00:02:40.000]  請聽我讀出
[00:02:40.000 --> 00:02:42.000]  又話說
[00:02:42.000 --> 00:02:44.000]  所多瑪和柯摩拉的罪惡甚重
[00:02:44.000 --> 00:02:46.000]  聲聞於我
[00:02:46.000 --> 00:02:48.000]  我現在要下去
[00:02:48.000 --> 00:02:50.000]  察看他門所行的
[00:02:50.000 --> 00:02:54.000]  果然盡像那伯到我耳中的聲音一樣嗎
[00:02:54.000 --> 00:02:56.000]  若是不言
[00:02:56.000 --> 00:02:58.000]  我也必知道
[00:02:58.000 --> 00:03:00.000]  二人轉身離開那裡
[00:03:00.000 --> 00:03:02.000]  向所多瑪去
[00:03:02.000 --> 00:03:04.000]  但阿伯拉罕仍舊
[00:03:04.000 --> 00:03:06.000]  站在耶和華面前
[00:03:06.000 --> 00:03:08.000]  阿伯拉罕近前來說
[00:03:08.000 --> 00:03:10.000]  無論善惡
[00:03:10.000 --> 00:03:12.000]  你都要剿滅嗎
[00:03:12.000 --> 00:03:14.000]  假若那城裡
[00:03:14.000 --> 00:03:16.000]  有五十個二人
[00:03:16.000 --> 00:03:18.000]  你還剿滅那地方嗎
[00:03:18.000 --> 00:03:20.000]  不為城裡這五十個二人
[00:03:20.000 --> 00:03:22.000]  要恕其中的人嗎
[00:03:22.000 --> 00:03:24.000]  將二人與惡人同殺
[00:03:24.000 --> 00:03:26.000]  將二人與惡人
[00:03:26.000 --> 00:03:28.000]  一樣看待
