
[00:00:00.000 --> 00:00:01.320]  我們起來禱告
[00:00:01.320 --> 00:00:03.620]  親愛的主,我們再次來謝謝祢
[00:00:03.620 --> 00:00:06.960]  主,讓祢的話成為我們耳孔的力量
[00:00:06.960 --> 00:00:08.880]  主,我們就飽足
[00:00:08.880 --> 00:00:11.920]  因此我懇求祢聖靈在這當中來工作
[00:00:11.920 --> 00:00:13.520]  啟示我們的心
[00:00:13.520 --> 00:00:16.420]  謝謝主,也讓我們在彼此相愛的當中
[00:00:16.420 --> 00:00:17.800]  我們來敬拜祢
[00:00:17.800 --> 00:00:20.000]  奉耶穌基督的名禱告
[00:00:20.000 --> 00:00:21.000]  Amen
[00:00:21.000 --> 00:00:25.900]  這段經文是
[00:00:25.900 --> 00:00:27.400]  在亞瑪基
[00:00:28.100 --> 00:00:30.960]  這個先知,他特別針對
[00:00:30.960 --> 00:00:34.040]  以色列人的祭司們來說的一句話
[00:00:34.040 --> 00:00:35.080]  一段話
[00:00:35.080 --> 00:00:38.540]  你會發現前面呢,都是提到這些祭司們
[00:00:38.540 --> 00:00:41.740]  他們是得罪上帝,他們不該聽上帝的話
[00:00:41.740 --> 00:00:44.600]  雖然他們成為先知,所以神特別呢
[00:00:44.600 --> 00:00:47.500]  對他們有一些提醒,甚至前面有責罰
[00:00:47.500 --> 00:00:50.340]  但在這裡頭,他提到的一件事是說
[00:00:50.340 --> 00:00:51.600]  你要記得
[00:00:51.600 --> 00:00:54.700]  你們這些有職分的人是
[00:00:54.700 --> 00:00:57.720]  曾經神跟你立過約的
[00:00:59.000 --> 00:01:01.500]  這個就幫助我們來思想
[00:01:01.500 --> 00:01:04.960]  我們怎麼樣來回應上帝在我們生命當中的引導
[00:01:04.960 --> 00:01:08.300]  所以第一個我們要透過第四節我們來思想
[00:01:08.300 --> 00:01:09.300]  就是
[00:01:09.300 --> 00:01:12.200]  立約的對象跟期限
[00:01:12.200 --> 00:01:16.300]  立約的對象是誰呢?這裡就提到的是立位
[00:01:16.300 --> 00:01:19.760]  所以我們知道立位人是服侍上帝的人
[00:01:19.760 --> 00:01:22.760]  他們是代替以色列人的投身子
[00:01:22.760 --> 00:01:25.000]  每個以色列支派所有的長子
[00:01:25.000 --> 00:01:28.000]  他們代替他們來敬拜上帝
[00:01:28.000 --> 00:01:31.460]  來侍奉上帝,在會幕裡面,在聖殿當中
[00:01:31.460 --> 00:01:34.000]  特別當中更有一些人是亞倫
[00:01:34.000 --> 00:01:37.060]  支派的後裔,被揀選成為祭司
[00:01:37.060 --> 00:01:40.800]  他們可以進到聖所裡面,進到聖所裡面來服侍
[00:01:40.800 --> 00:01:43.300]  所以這個總總的來告訴我們
[00:01:43.300 --> 00:01:46.500]  就是這一群人呢,都是要服侍上帝的人
[00:01:46.500 --> 00:01:50.300]  剛才在新約的時代,神已經給我們一個恩典
[00:01:50.300 --> 00:01:53.600]  不是他們可以服侍上帝,其實他們是代替
[00:01:53.600 --> 00:01:56.100]  以色列投身的人來服侍上帝
[00:01:56.100 --> 00:01:59.100]  不然全部都湧到會幕裡面擠不進去
[00:01:59.100 --> 00:02:03.100]  所以其實所有的以色列百姓
[00:02:03.100 --> 00:02:05.600]  其實都要侍奉上帝
[00:02:05.600 --> 00:02:07.600]  各位讀出埃及經你就會發現
[00:02:07.600 --> 00:02:11.100]  他說這群百姓是要到曠野來侍奉我
[00:02:11.100 --> 00:02:14.100]  所以是所有的人都要敬拜他,侍奉他
