
[00:00:00.000 --> 00:00:03.680]  正話所讀嘅經文係舊約嘅一段經文
[00:00:03.680 --> 00:00:05.560]  獵王記下嘅第六章
[00:00:05.560 --> 00:00:10.880]  係一段比較少嚟講道用嘅經文
[00:00:10.880 --> 00:00:12.920]  有冇人聽過呢段嘅經文
[00:00:12.920 --> 00:00:13.920]  睇過
[00:00:13.920 --> 00:00:15.320]  冇理由㗎喎
[00:00:15.320 --> 00:00:17.520]  大家聽過人講道
[00:00:17.520 --> 00:00:19.520]  咁即係全部都係第一次
[00:00:19.520 --> 00:00:21.520]  咁要講得慢啲啦
[00:00:21.520 --> 00:00:23.760]  其實唔複雜嘅
[00:00:23.760 --> 00:00:25.760]  呢段經文嘅歷史嘅時間呢
[00:00:25.760 --> 00:00:28.120]  就係喺大約係主前九百年
[00:00:28.120 --> 00:00:30.600]  即係距離而家差唔多三千年啦
[00:00:30.600 --> 00:00:32.840]  嗰個事件呢就係發生喺呢
[00:00:32.840 --> 00:00:34.840]  以利沙先知嗰個年代
[00:00:34.840 --> 00:00:36.840]  啊
[00:00:36.840 --> 00:00:39.840]  以利沙先知嗰個名呢有意思嘅
[00:00:39.840 --> 00:00:42.320]  就係上帝嘅拯救或者呢係
[00:00:42.320 --> 00:00:44.680]  上帝呢係救恩嘅上帝
[00:00:44.680 --> 00:00:48.040]  咁當時嘅歷史嘅處境係點樣呢
[00:00:48.040 --> 00:00:49.240]  就係以色列
[00:00:49.240 --> 00:00:49.880]  啊
[00:00:49.880 --> 00:00:51.880]  即係北角以色列呢
[00:00:51.880 --> 00:00:55.840]  佢就受呢個佢北面嘅阿蘭國
[00:00:55.840 --> 00:00:57.360]  即係今日嘅敘利亞
[00:00:57.360 --> 00:00:59.160]  啊佢哋接壤嘅
[00:00:59.160 --> 00:01:01.160]  咁咪敘利亞強大呢就
[00:01:01.160 --> 00:01:03.840]  即係向外邊去伸展啦
[00:01:03.840 --> 00:01:06.600]  以色列呢就夾響呢個埃及同埋敘利亞
[00:01:06.600 --> 00:01:08.600]  兩個嘅強國中間嘅
[00:01:08.600 --> 00:01:10.600]  再上啲呢就有波斯
[00:01:10.600 --> 00:01:12.600]  即係依家係伊朗呀即係
[00:01:12.600 --> 00:01:14.600]  啊伊拉克嗰啲地方
[00:01:14.600 --> 00:01:16.600]  咁所以呢佢哋都係好
[00:01:16.600 --> 00:01:18.160]  左右都受壓嘅
[00:01:18.160 --> 00:01:20.160]  咁當時呢就係
[00:01:20.160 --> 00:01:22.160]  頻頻都有戰爭㗎喇即係呢
[00:01:22.160 --> 00:01:24.160]  時常呢都係即係打落嚟
[00:01:24.160 --> 00:01:28.680]  咁樣成個獵王記上呢都係有若干嘅地方呢係記載到呢
[00:01:28.680 --> 00:01:33.520]  佢哋係一種戰爭嘅災難嘅處境裏面
[00:01:33.520 --> 00:01:36.800]  亦都有啲時候呢係出現呢一個嘅旱災
[00:01:36.800 --> 00:01:38.800]  即係饑荒嘅時候
[00:01:38.800 --> 00:01:43.560]  咁我哋讀獵王記上呢就會有一個印象嘅
[00:01:43.560 --> 00:01:47.840]  就係呢嗰個嘅記述呢係唔係好連貫嘅
[00:01:47.840 --> 00:01:51.040]  即係唔係好似我哋寫歷史咁樣樣呢係記低咁樣
