
[00:00:00.000 --> 00:00:02.800]  今天是一個特別的主日
[00:00:02.800 --> 00:00:06.900]  因為我們今天有一個主題就是關懷自閉症
[00:00:06.900 --> 00:00:08.900]  一會兒我講到之後
[00:00:08.900 --> 00:00:14.200]  就會有努力士中心的同工異工來分享
[00:00:14.200 --> 00:00:17.900]  也有我們開心組的分享
[00:00:17.900 --> 00:00:21.700]  所以今天相當多的項目
[00:00:21.700 --> 00:00:27.300]  也希望大家看到我們主一份的心意
[00:00:27.300 --> 00:00:31.000]  當我思想要講什麼的時候
[00:00:31.000 --> 00:00:34.400]  其實我都配合一個關懷自閉症
[00:00:34.400 --> 00:00:38.000]  選了一段經文《馬克福音》第五章
[00:00:38.000 --> 00:00:39.600]  大家可以掀開
[00:00:39.600 --> 00:00:44.000]  經文是第五章的二十一節到四十三節
[00:00:44.000 --> 00:00:46.200]  也是不短的經文
[00:00:46.200 --> 00:00:49.200]  所以我們讀完這段經文之後
[00:00:49.200 --> 00:00:50.600]  就不需要講道了
[00:00:50.600 --> 00:00:53.600]  直接交給努力士同工分享
[00:00:53.600 --> 00:00:57.900]  所以我也假設大家回去有做功課
[00:00:57.900 --> 00:00:59.100]  看過這段經文
[00:00:59.100 --> 00:01:02.100]  因為我們事先已經給大家了
[00:01:02.100 --> 00:01:05.300]  大家可以掀開這個聖經《馬克福音》
[00:01:05.300 --> 00:01:06.700]  一路講道的時候
[00:01:06.700 --> 00:01:09.700]  大家可以留意裡面我們的經文
[00:01:09.700 --> 00:01:12.900]  我們人都有不同的經歷
[00:01:12.900 --> 00:01:15.700]  我相信可能在你的生命裡面
[00:01:15.700 --> 00:01:17.500]  在我的生命裡面也有
[00:01:17.500 --> 00:01:21.700]  有時好像感覺到落入一個狀況
[00:01:21.700 --> 00:01:25.200]  就是面對一些事情
[00:01:25.200 --> 00:01:27.300]  我們見不到希望
[00:01:27.300 --> 00:01:29.500]  看不到出路
[00:01:29.500 --> 00:01:33.900]  我們聽一些自閉症家長分享的時候
[00:01:33.900 --> 00:01:34.700]  他們分享到
[00:01:34.700 --> 00:01:40.600]  當他知道自己的兒女是一個自閉症的小朋友的時候
[00:01:40.600 --> 00:01:44.200]  他們感覺到好像沒有希望
[00:01:44.200 --> 00:01:48.200]  有時人生裡面都有一些事情
[00:01:48.200 --> 00:01:50.500]  或者當我們聽到一個消息
[00:01:50.500 --> 00:01:53.500]  我們的身體出現了一個毛病
[00:01:53.500 --> 00:01:58.300]  而那個毛病是你掙扎了一段時間
[00:01:58.300 --> 00:02:00.800]  你仍然揮之不去
[00:02:00.800 --> 00:02:02.500]  治不好的
[00:02:02.500 --> 00:02:06.300]  有時是面對一些事情
[00:02:06.300 --> 00:02:08.800]  你覺得你出盡辦法
[00:02:08.800 --> 00:02:10.800]  都不能夠扭轉的
[00:02:10.800 --> 00:02:16.700]  這件事情好像真的沒什麼盼望去做好
[00:02:16.700 --> 00:02:19.300]  有時我們見到一些人際關係
[00:02:19.300 --> 00:02:21.800]  也都沒有曙光
[00:02:21.800 --> 00:02:23.600]  找不到出路
[00:02:23.600 --> 00:02:28.000]  人生都有一些令你很絕望的事情
[00:02:28.000 --> 00:02:32.700]  今天要看的馬可夫音第五章二十一到四十三節
[00:02:32.700 --> 00:02:36.700]  就記載了兩件的事件
[00:02:36.700 --> 00:02:39.900]  反映出有兩個人的需要
[00:02:39.900 --> 00:02:42.600]  為什麼要講兩個的事件呢
[00:02:42.600 --> 00:02:46.100]  因為這兩件的事在馬可夫音的記載裡面
