
[00:00:00.000 --> 00:00:04.840]  弟兄姊妹好,我們一起先有個禱告吧
[00:00:04.840 --> 00:00:07.340]  天父,我們也感謝祢讓我們一起有聚會
[00:00:07.340 --> 00:00:09.540]  一起聽到祢的話語
[00:00:09.540 --> 00:00:13.660]  求主使用祢,讓我們學習
[00:00:13.660 --> 00:00:16.260]  怎樣做一個福音傳遞者
[00:00:16.260 --> 00:00:21.460]  我們這樣祈禱奉主耶穌基督的名,阿門
[00:00:21.460 --> 00:00:26.740]  Elizabeth Elias 以前是一個宣教士
[00:00:26.740 --> 00:00:33.860]  她後來在美國不同的地方寫作,做一些講員
[00:00:33.860 --> 00:00:39.500]  有一次她去到一個地方,預備將要去
[00:00:39.500 --> 00:00:42.540]  一個婦女聚會的地方,很大型的聚會
[00:00:42.540 --> 00:00:47.040]  她在那裡預備講稿
[00:00:47.040 --> 00:00:53.000]  突然間發覺她家裏剛剛裝置了一些電腦的新軟件
[00:00:53.000 --> 00:00:59.300]  本來很想快些,效率些,但怎料突然間壞了
[00:00:59.300 --> 00:01:05.300]  Elizabeth Elias 這次糟糕了,快要要去港島了
[00:01:05.300 --> 00:01:10.940]  但好像那些材料突然間拿不到出來,很緊張
[00:01:10.940 --> 00:01:14.640]  在這個時間有很多麻煩的事情發生
[00:01:14.640 --> 00:01:18.640]  Elizabeth Elias 的媽媽身體又不舒服
[00:01:18.640 --> 00:01:21.240]  孫子快要出生了
[00:01:21.240 --> 00:01:25.180]  還有她自己的牙齒又想掉下來
[00:01:25.180 --> 00:01:28.140]  弄得有很多的問題
[00:01:28.140 --> 00:01:31.140]  她突然間整個人很亂
[00:01:31.140 --> 00:01:34.340]  突然間在她心裏想了一句話
[00:01:34.340 --> 00:01:37.060]  耶穌基督為我死而復活
[00:01:37.060 --> 00:01:38.700]  祂會再來
[00:01:38.700 --> 00:01:42.420]  還有祂為我預備了一個永恆的基業
[00:01:42.420 --> 00:01:44.420]  是不扭壞、不衰殘的
[00:01:44.420 --> 00:01:48.180]  又為我預備了一個不能動搖的城
[00:01:48.180 --> 00:01:51.100]  希伯來書、彼得前書這些經文
[00:01:51.100 --> 00:01:53.580]  他說這些就是福音
[00:01:53.580 --> 00:01:57.420]  為什麼我好像把這些東西遺忘了
