
[00:00:00.000 --> 00:00:06.220]  《撒姆爾記》上17章45到49節由我來念
[00:00:06.220 --> 00:00:07.500]  大衛對菲利斯人說
[00:00:07.500 --> 00:00:10.000]  你來攻擊我是靠著刀槍和銅騎
[00:00:10.000 --> 00:00:13.000]  我來攻擊你是靠著萬軍之耶和華的名
[00:00:13.000 --> 00:00:17.100]  就是你所怒罵帶領以色列軍隊的神
[00:00:17.100 --> 00:00:19.000]  今日耶和華必將你交在我手裡
[00:00:19.000 --> 00:00:20.400]  我必殺你斬你的頭
[00:00:20.400 --> 00:00:23.200]  又將菲利斯軍兵的屍首給空中的飛鳥
[00:00:23.200 --> 00:00:24.800]  遞上了野獸吃
[00:00:24.800 --> 00:00:27.800]  使普天下人都知道以色列中有神
[00:00:27.800 --> 00:00:30.600]  又使這眾人知道耶和華使人得勝
[00:00:30.600 --> 00:00:32.200]  不是用刀用槍
[00:00:32.200 --> 00:00:35.000]  因為征戰勝敗全在乎耶和華
[00:00:35.000 --> 00:00:37.600]  他必將你們交在我們手裡
[00:00:37.600 --> 00:00:39.700]  菲利斯人起身迎著大衛前來
[00:00:39.700 --> 00:00:43.500]  大衛急忙迎著菲利斯人往戰場跑去
[00:00:43.500 --> 00:00:46.400]  大衛用手從狼中掏出一塊石子來
[00:00:46.400 --> 00:00:49.500]  用雞犬甩去打中菲利斯人的額
[00:00:49.500 --> 00:00:50.800]  石子進入額內
[00:00:50.800 --> 00:00:53.400]  他就撲倒面伏於地
[00:00:53.400 --> 00:00:56.300]  我們就讀到這裡
[00:00:56.300 --> 00:00:58.300]  大衛和戈利亞的故事
[00:00:58.300 --> 00:01:02.000]  是我們基督徒耳熟能詳的故事
[00:01:02.000 --> 00:01:04.600]  大衛當時只不過是一個
[00:01:04.600 --> 00:01:07.400]  不為人知的一個青少年
[00:01:07.400 --> 00:01:10.400]  甚至可能還不到打仗的年齡
[00:01:10.400 --> 00:01:13.200]  竟然能夠用一顆石子
[00:01:13.200 --> 00:01:16.800]  能夠擊敗當時的巨人戈利亞
[00:01:16.800 --> 00:01:17.900]  這是直到如今
[00:01:17.900 --> 00:01:21.300]  我們都津津樂道的一個故事
[00:01:21.300 --> 00:01:24.700]  為什麼我們喜歡這個故事呢
[00:01:24.700 --> 00:01:26.900]  因為其實在我們人生當中
[00:01:26.900 --> 00:01:29.600]  我們也不是同樣面對
[00:01:29.600 --> 00:01:31.600]  在不同的關口當中
[00:01:31.600 --> 00:01:34.100]  生命當中的巨人嗎
[00:01:34.100 --> 00:01:35.600]  有時候在身體上
[00:01:35.600 --> 00:01:37.000]  有時候在家庭
[00:01:37.000 --> 00:01:38.400]  有時候在工作
[00:01:38.400 --> 00:01:40.600]  有時候在服飾上
[00:01:40.600 --> 00:01:44.200]  常常我們生命當中的巨人一個一個
[00:01:44.200 --> 00:01:48.600]  而且是層出不窮地來到我們生命當中
[00:01:48.600 --> 00:01:51.400]  多少時候當我們面對這些生命的關口
[00:01:51.400 --> 00:01:53.000]  面對生命的巨人的時候
[00:01:53.000 --> 00:01:56.900]  我們也覺得我們沒有足夠的能力
[00:01:56.900 --> 00:01:59.800]  能夠戰勝我們生命中的巨人
[00:01:59.800 --> 00:02:01.700]  我們何等渴望
[00:02:01.700 --> 00:02:04.600]  大衛戰勝戈利亞的故事
[00:02:04.600 --> 00:02:07.100]  能夠重演在我們生活當中
