
[00:00:00.000 --> 00:00:11.520]  今日我講的題目是《十全十美》的家庭
[00:00:11.520 --> 00:00:19.380]  保守你的婚姻
[00:00:19.380 --> 00:00:26.200]  經文所講的題目是《性慾符號和界限》
[00:00:26.200 --> 00:00:34.800]  剛才我們讀過《十誡》
[00:00:34.800 --> 00:00:38.080]  你知道嗎?今日這條界不可姦淫
[00:00:38.080 --> 00:00:42.480]  其實是不可以抽離《十誡》的其他界來講的
[00:00:42.480 --> 00:00:45.280]  你知道嗎?今日這個《十誡》不可兼盈
[00:00:45.280 --> 00:00:49.440]  是不能抽離,從《十誡》抽離和其他的界名集來講的
[00:00:49.440 --> 00:00:53.520]  你看到這十誡,如果將它們五分開
[00:00:53.520 --> 00:01:01.300]  這條界剛剛是和第二界記邪的上帝對照的
[00:01:01.300 --> 00:01:04.240]  如果把《十誡》五五分的話
[00:01:04.240 --> 00:01:08.940]  這個不可兼盈剛剛是好似和祭邪的上帝對應的
[00:01:08.940 --> 00:01:14.080]  先知說那些背道神的子民犯了姦淫
[00:01:14.080 --> 00:01:18.940]  聖經說,先知說那些背道神的子民犯了姦淫
[00:01:18.940 --> 00:01:20.240]  特別是荷西亞書
[00:01:20.240 --> 00:01:21.880]  特別是荷西亞書
[00:01:21.880 --> 00:01:22.980]  屬靈的姦淫
[00:01:22.980 --> 00:01:24.200]  是屬靈的姦淫
[00:01:24.200 --> 00:01:25.400]  所以是對照的
[00:01:25.400 --> 00:01:27.900]  所以是對照的
[00:01:27.900 --> 00:01:32.200]  好了,我們也要和主耶穌所說的
[00:01:32.200 --> 00:01:39.900]  在山上補訓輪到姦淫的經文一起配合去諮詳的
[00:01:39.900 --> 00:01:42.400]  我們也要和主耶穌在登山寶訓上講
[00:01:42.400 --> 00:01:44.480]  不可兼盈的這個主題一起來學習
[00:01:44.480 --> 00:01:47.480]  大家有沒有聽過七宗罪?
[00:01:47.480 --> 00:01:49.400]  大家有沒有聽過七宗罪?
[00:01:49.400 --> 00:01:53.100]  其實七宗罪是講錯了,應該是七罪宗
[00:01:53.100 --> 00:01:56.800]  其實七宗罪是講錯了,其實是七罪宗
[00:01:56.800 --> 00:02:02.300]  因為它原意是指七個最根本的罪
