
[00:00:00.000 --> 00:00:04.040]  各位挺姊妹平安神,今天要向你講說話
[00:00:04.040 --> 00:00:09.040]  我認識兩位姊妹,她們都在等她們的孫子出生
[00:00:09.040 --> 00:00:13.200]  有一個孫子早了一個月才出來
[00:00:13.200 --> 00:00:18.440]  結果早產,需要放在氧氣箱裡
[00:00:18.440 --> 00:00:24.600]  另一個姊妹的孫子遲了幾個星期才出來
[00:00:24.600 --> 00:00:28.800]  原來嬰兒出生也不是我們可以控制的
[00:00:28.800 --> 00:00:33.200]  一切都在天父的掌管當中
[00:00:33.200 --> 00:00:37.400]  有些人說我的人生到底為了什麼呢?
[00:00:37.400 --> 00:00:40.400]  為什麼神會帶我來紐西蘭?
[00:00:40.400 --> 00:00:42.800]  我活著有什麼意義呢?
[00:00:42.800 --> 00:00:45.800]  我想這些都是一個很好的問題
[00:00:45.800 --> 00:00:48.200]  很值得我們去思想
[00:00:48.200 --> 00:00:56.200]  最近神就將這篇139篇聖經放在我的心裡
[00:00:56.200 --> 00:00:59.000]  特別是最後那幾節
[00:00:59.000 --> 00:01:01.400]  我想讀一讀給大家聽
[00:01:01.400 --> 00:01:09.000]  就是詩篇139篇由13一路到16節
[00:01:09.000 --> 00:01:15.000]  聖經說:我的肺腑是你所做的
[00:01:15.000 --> 00:01:20.400]  我在母腹當中,你已經父庇我
[00:01:20.400 --> 00:01:23.600]  就是說我們在媽媽的肚腹裡面的時候
[00:01:23.600 --> 00:01:30.600]  神已經在安顧、掌管著、帶領著我們
[00:01:30.600 --> 00:01:33.200]  祂說我要稱謝你
[00:01:33.200 --> 00:01:37.000]  因為我受造是很奇妙的
[00:01:37.000 --> 00:01:40.000]  你的作為是奇妙的
[00:01:40.000 --> 00:01:43.200]  這是我深深知道的
[00:01:43.200 --> 00:01:45.600]  當你見到一個嬰兒出生
[00:01:45.600 --> 00:01:47.400]  你去探望他的時候
[00:01:47.400 --> 00:01:50.000]  見到他五官整齊
[00:01:50.000 --> 00:01:52.200]  所有的器官都在
[00:01:52.200 --> 00:01:54.800]  有時候嬰兒在那裡笑
[00:01:54.800 --> 00:01:56.800]  哄得你很開心
[00:01:56.800 --> 00:02:00.600]  原來這是神奇妙的作為
[00:02:00.600 --> 00:02:02.600]  當你見到一個嬰兒的時候
[00:02:02.600 --> 00:02:05.400]  你就會稱造我們這位神
[00:02:05.400 --> 00:02:07.800]  因為祂是造物主
[00:02:07.800 --> 00:02:09.800]  祂創造我們
[00:02:09.800 --> 00:02:12.400]  然後第15節說
[00:02:12.400 --> 00:02:16.200]  你在暗中受造
[00:02:16.200 --> 00:02:19.200]  我的肺腑
[00:02:19.200 --> 00:02:24.200]  我的一切都是你所預備的
[00:02:24.200 --> 00:02:31.000]  那時我的形體尚未成型的體質
[00:02:31.000 --> 00:02:33.000]  其實你已經知道
[00:02:33.000 --> 00:02:35.800]  甚至我們還沒有形成出來
[00:02:35.800 --> 00:02:37.200]  還沒有創造出來
[00:02:37.200 --> 00:02:39.400]  其實你已經知道了
[00:02:39.400 --> 00:02:42.000]  我未成型的體質
[00:02:42.000 --> 00:02:45.800]  你的眼早已看見了
[00:02:45.800 --> 00:02:48.200]  你所定的日子
[00:02:48.200 --> 00:02:51.400]  我尚未到一天
[00:02:51.400 --> 00:02:55.600]  你都寫在你的冊上
[00:02:55.600 --> 00:02:56.800]  因為我們真的不知道
[00:02:56.800 --> 00:02:59.800]  我們在這個地上會活多久
[00:02:59.800 --> 00:03:01.800]  原來神知道的
[00:03:01.800 --> 00:03:03.800]  神在適當的時候
[00:03:03.800 --> 00:03:06.600]  祂就會叫我們來到這個地上
[00:03:06.600 --> 00:03:08.600]  神在適當的時候
[00:03:08.600 --> 00:03:11.000]  就召我們回到天下
[00:03:11.000 --> 00:03:12.400]  我們人生的長短
[00:03:12.400 --> 00:03:13.600]  我們要走的路
[00:03:13.600 --> 00:03:16.000]  全部在神的手中
[00:03:16.000 --> 00:03:18.000]  多麼的奇妙
[00:03:18.000 --> 00:03:20.600]  所以求天父幫助我們
[00:03:20.600 --> 00:03:22.000]  有這個認知
[00:03:22.000 --> 00:03:24.600]  讓這幾節聖經藏在我們裡面
[00:03:24.600 --> 00:03:25.600]  我們對神說
[00:03:25.600 --> 00:03:27.400]  神啊,祢真是好
[00:03:27.400 --> 00:03:29.600]  我一切祢都知道
[00:03:29.600 --> 00:03:31.600]  有時聖經裡面說
[00:03:31.600 --> 00:03:34.600]  連我們的頭髮神都數過
[00:03:34.600 --> 00:03:36.000]  有時我說笑
[00:03:36.000 --> 00:03:37.600]  神如果要數我的頭髮
[00:03:37.600 --> 00:03:40.000]  很容易數,因為很少
[00:03:40.000 --> 00:03:43.000]  有些姊妹的頭髮很長的
