
[00:00:00.000 --> 00:00:04.800]  主一段的聖經在馬太福音第28章第5到第6節
[00:00:04.800 --> 00:00:08.100]  這裏說天使對婦女說不要害怕
[00:00:08.100 --> 00:00:11.440]  我知道你們是尋找那定十字架的耶穌
[00:00:11.440 --> 00:00:12.740]  第6節
[00:00:12.740 --> 00:00:14.540]  祂不在這裏
[00:00:14.540 --> 00:00:17.980]  照祂所說的已經復活了
[00:00:17.980 --> 00:00:21.540]  你們來看安放主的地方
[00:00:21.540 --> 00:00:22.940]  我們就讀到這裏
[00:00:22.940 --> 00:00:24.880]  今天是復活節
[00:00:24.880 --> 00:00:27.740]  首先在這裏恭賀大家復活節
[00:00:27.740 --> 00:00:30.440]  非常非常非常快樂
[00:00:30.440 --> 00:00:31.440]  Hallelujah
[00:00:31.440 --> 00:00:35.540]  給你旁邊人揮個手
[00:00:35.540 --> 00:00:36.300]  復活節快樂
[00:00:36.300 --> 00:00:37.240]  跟他說Come on
[00:00:37.240 --> 00:00:41.940]  兩千多年前
[00:00:41.940 --> 00:00:47.740]  天使向那些到墳墓去尋找耶穌的婦女說
[00:00:47.740 --> 00:00:50.740]  祂不在這裏
[00:00:50.740 --> 00:00:55.680]  照祂所說的已經復活了
[00:00:57.240 --> 00:01:03.980]  就從這一句話開始展開了基督教教會的歷史
[00:01:03.980 --> 00:01:11.280]  因爲主的復活是我們整個基督教信仰不可少的支柱
[00:01:11.280 --> 00:01:17.280]  主的復活證明了耶穌基督果然是神的兒子
[00:01:17.280 --> 00:01:26.740]  主的復活證明了耶穌基督祂已經勝過一切黑暗罪惡的權勢
[00:01:27.680 --> 00:01:34.080]  主的復活更證明了祂爲我們人類開了一條又新又活的道路
[00:01:34.080 --> 00:01:37.980]  這樣我們可以不再活在罪惡的匣子當中
[00:01:37.980 --> 00:01:42.580]  在基督裏面我們能得到從神而來的新生命
[00:01:42.580 --> 00:01:43.980]  Amen
[00:01:43.980 --> 00:01:47.980]  主的復活是我們信仰的核心
[00:01:47.980 --> 00:01:52.880]  也是我們基督徒得勝生活的一個關鍵
[00:01:52.880 --> 00:01:57.540]  所以難怪保羅在格林多前書第十五章第十四節
[00:01:57.540 --> 00:02:00.280]  他說若基督沒有復活
[00:02:00.280 --> 00:02:02.340]  我們所傳的便是什麼?
[00:02:02.340 --> 00:02:03.780]  枉然的
[00:02:03.780 --> 00:02:07.340]  那你們所信的也是枉然的
[00:02:07.340 --> 00:02:11.480]  今天我們看見很多時候許許多多的基督徒
[00:02:11.480 --> 00:02:17.340]  之所以在信仰的道路上好像軟弱無力
[00:02:17.340 --> 00:02:21.680]  就是因爲不明白主復活的真理
[00:02:21.680 --> 00:02:25.520]  主復活所帶給我們的恩典
[00:02:25.520 --> 00:02:29.080]  多少時候我們把復活節的真理只當作一種信仰的知識
[00:02:29.080 --> 00:02:30.620]  大家說說聽聽
[00:02:30.620 --> 00:02:36.340]  我們並不覺得主的復活與我們的生活有什麼密切的關係
[00:02:36.340 --> 00:02:38.340]  但事實上主的復活
[00:02:38.340 --> 00:02:43.820]  是我們基督徒得蒙神恩典跟祝福的關鍵
[00:02:43.820 --> 00:02:46.480]  所以今天早上要跟大家分享
[00:02:46.480 --> 00:02:50.220]  主復活的七重祝福
[00:02:50.220 --> 00:02:53.180]  平常我只講三點
[00:02:53.180 --> 00:02:57.120]  今天復活節多一點
[00:02:57.120 --> 00:02:59.980]  神的祝福七點
[00:02:59.980 --> 00:03:01.880]  第一個
[00:03:01.880 --> 00:03:05.940]  主的復活帶給我們得救的確據
[00:03:05.940 --> 00:03:07.280]  各位同學說來
[00:03:07.280 --> 00:03:11.540]  主復活帶給我們得救的確據
[00:03:11.540 --> 00:03:13.680]  羅馬書第五章第十節
[00:03:13.680 --> 00:03:15.720]  因爲我們做仇敵的時候
[00:03:15.720 --> 00:03:19.480]  且藉着兒子的死得與神和好
[00:03:19.480 --> 00:03:20.680]  既以和好
[00:03:20.680 --> 00:03:24.740]  就更要因他的生得救
[00:03:24.740 --> 00:03:26.240]  作爲基督徒
[00:03:26.240 --> 00:03:28.580]  你一定要有個確信
[00:03:28.580 --> 00:03:30.040]  就是在基督裏面
[00:03:30.040 --> 00:03:32.880]  你是一個得救的人
[00:03:32.880 --> 00:03:35.440]  也許你說牧師我這麼軟弱
[00:03:35.440 --> 00:03:37.640]  而且常常在罪惡當中
[00:03:37.640 --> 00:03:40.080]  我怎麼可能得救呢
[00:03:40.080 --> 00:03:42.980]  這節經文告訴我們兩件事情
[00:03:42.980 --> 00:03:44.140]  第一個
[00:03:44.140 --> 00:03:46.920]  我們藉着神的兒子的死
[00:03:46.920 --> 00:03:49.340]  我們得與神和好
[00:03:49.340 --> 00:03:51.940]  因爲本來我們是活在罪惡過犯當中
[00:03:51.940 --> 00:03:54.080]  與神是隔絕的
[00:03:54.080 --> 00:03:57.640]  但因爲神的兒子耶穌基督來到這個世界上
[00:03:57.640 --> 00:04:00.840]  爲我們的罪被釘在十字架上
[00:04:00.840 --> 00:04:02.380]  代替很重要
[00:04:02.380 --> 00:04:07.380]  代替我們承受神對罪惡一切的刑罰
[00:04:07.380 --> 00:04:09.480]  這是爲什麼我們在受難節的時候
[00:04:09.480 --> 00:04:11.040]  我們一定讀這段經文
[00:04:11.040 --> 00:04:14.980]  在以色列書第五十三章第四到第五節這裏說
[00:04:14.980 --> 00:04:17.580]  他誠然擔當我們的憂患
[00:04:17.580 --> 00:04:19.340]  揹負我們的痛苦
[00:04:19.340 --> 00:04:23.280]  我們卻以爲他受責罰被神擊打苦待了
[00:04:23.280 --> 00:04:24.220]  第五節
[00:04:24.220 --> 00:04:26.740]  哪知他爲我們的過犯受害
[00:04:26.740 --> 00:04:28.540]  爲我們的罪孽壓傷
[00:04:28.540 --> 00:04:31.320]  因他所受的刑罰我們得平安
[00:04:31.320 --> 00:04:35.240]  因他所受的鞭傷我們得醫治
[00:04:35.240 --> 00:04:40.580]  這裏講到耶穌是爲了我們來到這個世界上
[00:04:40.580 --> 00:04:42.580]  請問誰是我們
[00:04:42.580 --> 00:04:44.740]  就是你跟我嘛不是嗎
[00:04:44.740 --> 00:04:50.080]  接着你需要憑信心來看見耶穌在十字架上所揹負的
