
[00:00:00.000 --> 00:00:06.000]  今晚原來就是一個新的講道的系列的第一個講道
[00:00:06.000 --> 00:00:09.000]  大家應該都知道是甚麼名字
[00:00:09.000 --> 00:00:10.000]  新的系列
[00:00:10.000 --> 00:00:14.000]  他們不知道嗎
[00:00:14.000 --> 00:00:16.000]  原來要我介紹
[00:00:16.000 --> 00:00:18.000]  麻煩Powerpaw出第一版
[00:00:18.000 --> 00:00:21.000]  就是"Because I am Holy"
[00:00:21.000 --> 00:00:25.000]  當然這裡說"Because I am Holy"不是說我自己
[00:00:25.000 --> 00:00:27.000]  他在說"I am"的意思是什麼
[00:00:27.000 --> 00:00:29.000]  "Because God is Holy"
[00:00:29.000 --> 00:00:30.000]  因為神的聖潔
[00:00:30.000 --> 00:00:34.000]  所以我們有一連串有幾次的講道
[00:00:34.000 --> 00:00:36.000]  就講到那個聖潔
[00:00:36.000 --> 00:00:38.000]  從神祂的屬性
[00:00:38.000 --> 00:00:40.000]  祂的聖潔去想
[00:00:40.000 --> 00:00:42.000]  今天跟我們的生命有什麼關係呢
[00:00:42.000 --> 00:00:44.000]  當教會一直在說
[00:00:44.000 --> 00:00:46.000]  我們要興起發光的時候
[00:00:46.000 --> 00:00:49.000]  聖潔與我何干呢
[00:00:49.000 --> 00:00:52.000]  不知道大家一說起聖潔的時候
[00:00:52.000 --> 00:00:55.000]  你會想起什麼顏色
[00:00:55.000 --> 00:00:56.000]  白色
[00:00:56.000 --> 00:00:57.000]  為什麼沒有人想起透明的
[00:00:57.000 --> 00:00:58.000]  我也不知道
[00:00:58.000 --> 00:01:00.000]  但是我在聖主這麼多年
[00:01:00.000 --> 00:01:02.000]  確實有這樣的
[00:01:02.000 --> 00:01:05.000]  我記得我小時候開始回教會
[00:01:05.000 --> 00:01:06.000]  那時候的傳道人
[00:01:06.000 --> 00:01:08.000]  一說起聖潔的時候
[00:01:08.000 --> 00:01:11.000]  總是用一樣東西去做一個比喻
[00:01:11.000 --> 00:01:12.000]  是什麼呢
[00:01:12.000 --> 00:01:13.000]  白襯衫
[00:01:13.000 --> 00:01:16.000]  就說聖潔就好像一件白色
[00:01:16.000 --> 00:01:18.000]  就像姐妹穿著很潔白的衣服那樣
[00:01:18.000 --> 00:01:20.000]  哎呀 吃飯不覺意
[00:01:20.000 --> 00:01:23.000]  彈了一個咖哩汁在衣服上的時候
[00:01:23.000 --> 00:01:25.000]  有一點污點都不是潔白的
[00:01:25.000 --> 00:01:28.000]  我很多時候就是這樣去形容聖潔
[00:01:28.000 --> 00:01:31.000]  就好像說潔白毫無瑕疵
[00:01:31.000 --> 00:01:33.000]  於是有些人會想
[00:01:33.000 --> 00:01:36.000]  我怎麼形容基督徒的聖潔呢
[00:01:36.000 --> 00:01:38.000]  就是完全無瑕疵
[00:01:38.000 --> 00:01:39.000]  就是說
[00:01:39.000 --> 00:01:40.000]  做事
[00:01:40.000 --> 00:01:41.000]  你的行為舉止
[00:01:41.000 --> 00:01:44.000]  不可以做了一些得罪神的事情
[00:01:44.000 --> 00:01:47.000]  甚至乎不單止你的外顯性的行為
[00:01:47.000 --> 00:01:50.000]  我們的內心都不可以想起那些壞事
[00:01:50.000 --> 00:01:52.000]  如果你一想起一點點
