
[00:00:00.000 --> 00:00:06.160]  讓我們在聽上帝話語之前一起祈禱
[00:00:06.160 --> 00:00:10.160]  差海天父,我們感謝讚美禰
[00:00:10.160 --> 00:00:12.160]  提日主,禰的恩典
[00:00:12.160 --> 00:00:16.160]  正如剛纔珈其在祈禱的裏面說
[00:00:16.160 --> 00:00:18.160]  就算我們在呼吸裏面
[00:00:18.160 --> 00:00:21.160]  我們都能夠去體會到上帝禰的恩典
[00:00:21.160 --> 00:00:24.160]  提日主,禰的恩典是何等的美好
[00:00:24.160 --> 00:00:28.160]  所以主也盼望我們不單止去賞禰的恩典
[00:00:28.160 --> 00:00:34.160]  也讓我們在生命裏面流露出上帝禰的恩典在我們裏面
[00:00:34.160 --> 00:00:37.160]  所以主也恩奸,無論是聽的還是說的
[00:00:37.160 --> 00:00:41.160]  願上帝禰的話語都對我們生命帶來提醒
[00:00:41.160 --> 00:00:45.160]  願我們都能夠同症上帝禰的恩典
[00:00:45.160 --> 00:00:50.160]  禱告是奉靠主耶穌基督得聖明治祈求,阿們
[00:00:50.160 --> 00:00:54.160]  今天的題子是「靈性的品味」
[00:00:54.160 --> 00:00:57.160]  一說起品味,你會想起什麼呢?
[00:00:57.160 --> 00:01:00.160]  「品味」這個詞好像挺抽象的
[00:01:00.160 --> 00:01:03.160]  好像沒有什麼既定的標準
[00:01:03.160 --> 00:01:08.160]  有詞典指出「品」就是品尚
[00:01:08.160 --> 00:01:10.160]  「味」就是味道
[00:01:10.160 --> 00:01:13.160]  合起來就是品尚、味道的意思
[00:01:13.160 --> 00:01:16.160]  就好像一杯茶
[00:01:16.160 --> 00:01:20.160]  有些人拿起一杯茶,然後咕嚕咕嚕地喝完
[00:01:20.160 --> 00:01:22.160]  不要說品味
[00:01:22.160 --> 00:01:25.160]  連那杯茶本身是什麼茶葉、什麼味道
[00:01:25.160 --> 00:01:27.160]  可能他都不會知道
[00:01:27.160 --> 00:01:29.160]  但是另一種人
[00:01:29.160 --> 00:01:32.160]  他們會慢慢地衝一壺茶
[00:01:32.160 --> 00:01:37.160]  讓那些茶葉在熱水的浸泡下慢慢地剪開
[00:01:37.160 --> 00:01:41.160]  這一陣子的茶味在整個房間裏面充滿
[00:01:41.160 --> 00:01:45.160]  然後他慢慢地拿起這杯茶
[00:01:45.160 --> 00:01:47.160]  先聞一聞
[00:01:47.160 --> 00:01:49.160]  再慢慢地品尚
[00:01:49.160 --> 00:01:55.160]  讓茶的順滑由舌尖慢慢地流入喉嚨
[00:01:55.160 --> 00:01:59.160]  而茶的甘香繼續在喉嚨裏爬行
[00:01:59.160 --> 00:02:03.160]  再讓這個回甘味不斷地在口中充滿
[00:02:03.160 --> 00:02:06.160]  這些就是品尚、品味
[00:02:06.160 --> 00:02:11.160]  所以品味是對細節的辨別和配搭
[00:02:11.160 --> 00:02:17.160]  而隱身的就是對事物具有高度的品評和鑑別能力
[00:02:17.160 --> 00:02:23.160]  就是判斷什麼是美、好和對的觸覺和能力
[00:02:23.160 --> 00:02:26.160]  而龍應臺他更加說
[00:02:26.160 --> 00:02:29.160]  品味是生活的藝術
[00:02:29.160 --> 00:02:32.160]  品味是發自內心的興趣
[00:02:32.160 --> 00:02:36.160]  對那個興趣有一種審美的能力和觸覺
[00:02:36.160 --> 00:02:39.160]  再內化成一個人的氣質
[00:02:39.160 --> 00:02:43.160]  而又投射到生活的層面裏面
[00:02:43.160 --> 00:02:48.160]  所以不同的人可能對他有興趣的領域
[00:02:48.160 --> 00:02:52.160]  都可以很有品味有品評和鑑別能力
[00:02:52.160 --> 00:02:58.160]  譬如咖啡、酒甚至是花
[00:02:58.160 --> 00:03:00.160]  又或者是音樂
[00:03:00.160 --> 00:03:02.160]  有關音樂我曾經試過
[00:03:02.160 --> 00:03:04.160]  我有一個朋友
[00:03:04.160 --> 00:03:09.160]  他就是管弦樂團那邊的小號
