
[00:00:00.000 --> 00:00:08.520]  今天我們會看看從針研給我們一些什麼提醒如何克服一些阻礙我們成功的一些障礙
[00:00:08.520 --> 00:00:13.480]  第一個障礙是什麼呢 第一個障礙就叫做缺乏動力
[00:00:13.480 --> 00:00:23.120]  有時我們不是很想上班 我前一陣子看一個我很喜歡的心理學家叫Jordan Peterson
[00:00:23.120 --> 00:00:31.160]  在被訪問的時候 他特別講到他都有人生的自己的針研 他說他的針研是這樣的
[00:00:31.160 --> 00:00:38.160]  當他觀察人生的時候他發覺這個歷史是不斷循環的 歷史是怎麼循環呢
[00:00:38.160 --> 00:00:44.080]  他用英文說這個是tough time create tough people
[00:00:44.080 --> 00:00:53.280]  他說tough people create good time good time create weak people weak people create tough time
[00:00:53.280 --> 00:01:01.200]  一個很艱苦的歲月就養育出一羣艱苦內勞的人 很tough的人
[00:01:01.200 --> 00:01:10.160]  這羣tough的人一起就創造了一個盛世 盛世之下就出現了很weak的人
[00:01:10.160 --> 00:01:15.920]  大家知不知道我們現在活在盛世 we are having a great time
[00:01:15.920 --> 00:01:20.120]  compare一百年前我們現在經濟各方面都很好
[00:01:20.120 --> 00:01:26.240]  所以現在的小孩纔可以afford到畢業之後有個gap year
[00:01:26.240 --> 00:01:31.200]  我們上一代和我們這一代都沒有gap year 沒有這個觀念
[00:01:31.200 --> 00:01:37.160]  我們所謂畢業完的gap year的意思就是如果你找不到工作
[00:01:37.160 --> 00:01:40.920]  你只需要gap到打份工都和我做一年這個叫gap year
[00:01:40.920 --> 00:01:43.120]  我們的gap year是不同的
[00:01:43.120 --> 00:01:49.320]  現在的人不是 現在的人是全民可以不上班 可以是不斷地換工
[00:01:49.320 --> 00:01:52.760]  我們不可以 我們那一代至少不可以
[00:01:52.760 --> 00:01:57.640]  Jordan Peterson就說通常是這樣的 一個盛世就create一些不想上班的人
[00:01:57.640 --> 00:02:02.520]  不想上班的人越來越多的時候就變成一個tough time
[00:02:02.520 --> 00:02:04.480]  又變成環境很惡劣
[00:02:04.480 --> 00:02:09.240]  環境惡劣又製造了另外一批非常tough的人
[00:02:09.240 --> 00:02:11.160]  我們現在是good time
[00:02:11.160 --> 00:02:13.360]  我們下一代可能也是good time
[00:02:13.360 --> 00:02:15.680]  他們再下一代有可能也是good time
[00:02:15.680 --> 00:02:17.960]  不過到我們曾孫那一代呢
[00:02:17.960 --> 00:02:19.520]  good luck
[00:02:19.520 --> 00:02:21.920]  我們一起create一個tough time
[00:02:21.920 --> 00:02:23.440]  tough people
[00:02:23.440 --> 00:02:26.840]  所以缺乏工作的動力呢
[00:02:26.840 --> 00:02:30.640]  在good time的時候 特別是盛世的時候
[00:02:30.640 --> 00:02:34.280]  我們需要找到一個到底爲什麼要工作呢
[00:02:34.280 --> 00:02:37.360]  是不是如果我不缺錢 我真的可以
[00:02:37.360 --> 00:02:39.120]  他叫做耿老是吧
[00:02:39.120 --> 00:02:41.760]  我真的可以不需要花太多時間工作
[00:02:41.760 --> 00:02:43.800]  我就可以足夠喫東西住
[00:02:43.800 --> 00:02:46.040]  那到底做事是什麼意思呢
[00:02:46.040 --> 00:02:48.720]  針尼路德
[00:02:48.720 --> 00:02:50.400]  裏頭是這麼說的 他說
[00:02:50.400 --> 00:02:51.960]  懶惰的人
[00:02:51.960 --> 00:02:56.040]  所羅門說 如果你是懶的 你不想動 缺乏動力 不想工作
[00:02:56.040 --> 00:02:59.360]  他說你就看看螞蟻怎麼生活
[00:02:59.360 --> 00:03:01.720]  看螞蟻怎麼生活 他說觀察大自然
[00:03:01.720 --> 00:03:03.440]  向他們學習
[00:03:03.440 --> 00:03:07.200]  他說 他們沒有領袖
[00:03:07.200 --> 00:03:10.360]  沒有長官 沒有統治者
[00:03:10.360 --> 00:03:14.280]  可視他們在夏天呢 就儲備糧食
[00:03:14.280 --> 00:03:16.360]  就準備過冬
[00:03:16.360 --> 00:03:19.320]  準備過冬
[00:03:19.320 --> 00:03:22.280]  那螞蟻我們要學些什麼呢
[00:03:22.280 --> 00:03:25.440]  我們學螞蟻呢 其實不單止是學螞蟻一些
[00:03:25.440 --> 00:03:26.760]  當然他們很勤力啦
[00:03:26.760 --> 00:03:30.200]  他們很勤力 就是在夏天就準備好了 很勤力
[00:03:30.200 --> 00:03:32.520]  然後過冬他們就有足夠的糧食
[00:03:32.520 --> 00:03:36.680]  但真正針研所學的是什麼 其實是學這些東西
[00:03:36.680 --> 00:03:40.400]  他說他們在努力的情況下是因爲什麼
[00:03:40.400 --> 00:03:43.080]  是沒有領袖 沒有長官 沒有統治者
[00:03:43.080 --> 00:03:47.160]  但他們仍然很努力地在這裏工作
[00:03:47.160 --> 00:03:49.040]  這個纔是最難的
[00:03:49.040 --> 00:03:51.360]  很多時候我們很努力工作
[00:03:51.360 --> 00:03:55.200]  其實我們會在deadline的時候交貨
[00:03:55.200 --> 00:03:57.600]  是因爲在什麼情況之下
[00:03:57.600 --> 00:04:01.560]  是有老闆有director盯着之下
[00:04:01.560 --> 00:04:05.080]  director設定了一個deadline說明天就交貨了
[00:04:05.080 --> 00:04:09.440]  有director有老闆有這些長官
[00:04:09.440 --> 00:04:12.200]  在這樣的情況下我們可能會交到貨
[00:04:12.200 --> 00:04:14.360]  我們都肯做些東西出來
[00:04:14.360 --> 00:04:15.720]  但螞蟻
[00:04:15.720 --> 00:04:19.240]  所羅門說你學一學他們有一點很厲害的地方
[00:04:19.240 --> 00:04:21.880]  他們可以做到沒有領袖
