
[00:00:00.000 --> 00:00:04.960]  好,我們今天要講的是《文素記》
[00:00:04.960 --> 00:00:07.040]  是我們講座裏面的第四個講座
[00:00:07.040 --> 00:00:11.280]  就如剛才我說,我們總共應該有20至22個講座
[00:00:11.280 --> 00:00:14.560]  可以去到2020年的中旬
[00:00:14.560 --> 00:00:18.760]  我們和你平時去聽其他的舊約講座不一樣
[00:00:18.760 --> 00:00:23.240]  因為我們想看的是整本聖經的圖畫
[00:00:23.240 --> 00:00:25.520]  當你去看整本聖經的時候
[00:00:25.520 --> 00:00:28.480]  你去看到舊約的故事,其實都是影子
[00:00:28.480 --> 00:00:33.120]  它不是一個直接我們可以應用到在我們生命中的故事
[00:00:33.120 --> 00:00:37.200]  而是舊約和新約是有一個截然的不同
[00:00:37.200 --> 00:00:39.840]  舊約好像一個樹的樹根
[00:00:39.840 --> 00:00:43.680]  新約是樹上面的枝幹
[00:00:43.680 --> 00:00:46.560]  沒有了樹根是不會有枝幹
[00:00:46.560 --> 00:00:49.200]  但是既然我們現在活在上面
[00:00:49.200 --> 00:00:52.000]  我們沒有理由回到舊約裏面
[00:00:52.000 --> 00:00:56.640]  回到以前那裏去找我們的應用
[00:00:56.640 --> 00:00:59.920]  另一個角度,在舊約裏面所有的東西
[00:00:59.920 --> 00:01:02.560]  指向舊恩的一些影子
[00:01:02.560 --> 00:01:05.520]  在舊約有的是如月節的羔羊
[00:01:05.520 --> 00:01:09.440]  但是在新約我們再不會看著羔羊而得救
[00:01:09.440 --> 00:01:13.200]  我們正在看的是主耶穌基督上帝的羔羊
[00:01:13.200 --> 00:01:16.480]  為我們受死復活而得救
[00:01:16.480 --> 00:01:17.600]  今天是一樣的
[00:01:17.600 --> 00:01:21.200]  因為今天你去看文素記,它會講什麼呢?
[00:01:21.200 --> 00:01:24.720]  它會講以色列人出埃及,然後去加拿大
[00:01:24.720 --> 00:01:27.520]  如果你直接應用在我們身上那是怎樣呢?
[00:01:27.520 --> 00:01:30.480]  每個人都要去耶路撒冷朝聖
[00:01:30.480 --> 00:01:31.280]  是不是?
[00:01:31.280 --> 00:01:35.680]  是不是我們每個人一生之內都要去加拿大一次呢?
[00:01:35.680 --> 00:01:36.880]  當然不是
[00:01:36.880 --> 00:01:38.400]  我們不是回教徒
[00:01:38.400 --> 00:01:41.920]  我知道現在香港也有很多人流行去聖地
[00:01:41.920 --> 00:01:44.560]  但是如果你沒有錢就不用強行來
[00:01:44.560 --> 00:01:47.520]  因為我們不是回教徒,我們不用去的
[00:01:47.520 --> 00:01:48.960]  從這樣的角度來講
[00:01:48.960 --> 00:01:52.080]  你已經馬上知道文素記不是一本我們讀完之後
[00:01:52.080 --> 00:01:53.840]  應用在我們自己的生命裏面
[00:01:53.840 --> 00:01:58.400]  因為文素記不是教你怎樣進入迦南去朝聖
[00:01:58.400 --> 00:02:01.520]  文素記是在講另一個層次的東西
[00:02:01.520 --> 00:02:04.480]  因為它是一個影子指向一個實體
