
[00:00:00.000 --> 00:00:07.000]  最近城中的話題很熱烈的 特別我們做家長很關心的 大家都知道了
[00:00:07.000 --> 00:00:17.000]  就是安省政府推行這個性教育新的過程
[00:00:17.000 --> 00:00:25.000]  無論你是贊成也好 是不贊成也好
[00:00:25.000 --> 00:00:31.000]  無論你贊成與否 都會特別關心
[00:00:31.000 --> 00:00:37.000]  很多基督徒表達了很多不同的看法
[00:00:37.000 --> 00:00:45.000]  我們教會都用了場地邀請了一些家長
[00:00:45.000 --> 00:00:50.000]  一些政府官員來對這件事情的看法 一些分享會
[00:00:50.000 --> 00:00:58.000]  我們教會也特別做了一個場地邀請了一些家長和政府官員來有這麼一個分享會
[00:00:58.000 --> 00:01:05.000]  在下面就是丹灘一些示威抗議 示威抗議可能頂尖會都去過了
[00:01:05.000 --> 00:01:10.000]  在市中心有一些抗議在可能地區裡面都有可能去過
[00:01:10.000 --> 00:01:16.000]  不過有人都比較悲觀覺得這個教育過程勢必是會推行的
[00:01:16.000 --> 00:01:20.000]  大家可能比較悲觀覺得這個教育過程勢必是會推行的
[00:01:20.000 --> 00:01:22.000]  那可能你作為家長的話 怎麼辦呢?
[00:01:22.000 --> 00:01:24.000]  作為家長怎麼辦呢?
[00:01:24.000 --> 00:01:28.000]  記得很多年前 當加拿大推行這個同性婚姻的時候
[00:01:28.000 --> 00:01:32.000]  當我很多年前在加拿大推行同性婚姻的時候
[00:01:32.000 --> 00:01:33.000]  我弟兄姊妹說怎麼辦?
[00:01:33.000 --> 00:01:35.000]  弟兄姊妹說怎麼辦?
[00:01:35.000 --> 00:01:41.000]  我想當時我給弟兄姊妹的答案和今天這個性教育的課程的答案都是一樣
[00:01:41.000 --> 00:01:44.000]  我當年給弟兄姊妹的答案
[00:01:44.000 --> 00:01:48.000]  我今天推行這個性教育課程
[00:01:48.000 --> 00:01:50.000]  我的答案也是一樣
[00:01:50.000 --> 00:01:52.000]  無論結果如何
[00:01:52.000 --> 00:01:54.000]  無論結果如何
[00:01:54.000 --> 00:01:58.000]  不要把你的子女教育問題 無論各方面都好
[00:01:58.000 --> 00:02:00.000]  都交給政府
[00:02:00.000 --> 00:02:04.000]  不能把你的子女教育問題全部交給政府
[00:02:04.000 --> 00:02:05.000]  交給學校
[00:02:05.000 --> 00:02:06.000]  交給學校
[00:02:06.000 --> 00:02:07.000]  交給教會
[00:02:07.000 --> 00:02:08.000]  交給教會
[00:02:08.000 --> 00:02:11.000]  我們需要基督徒的家庭教育
[00:02:11.000 --> 00:02:14.000]  我們需要基督徒的家庭教育
[00:02:14.000 --> 00:02:16.000]  用什麼方法呢?
[00:02:16.000 --> 00:02:17.000]  用什麼方法呢?
[00:02:17.000 --> 00:02:18.000]  用正確的方法
[00:02:18.000 --> 00:02:19.000]  用正確的方法
[00:02:19.000 --> 00:02:20.000]  用聖經的方法
[00:02:20.000 --> 00:02:21.000]  用聖經的方法
[00:02:21.000 --> 00:02:22.000]  用教育的方法
[00:02:22.000 --> 00:02:23.000]  用教育的方法
