
[00:00:00.000 --> 00:00:06.440]  那今天我的題目也就像我們在週報上所打的教會是什麼
[00:00:06.440 --> 00:00:10.700]  當我在準備的時候我第一個想到就是說
[00:00:10.700 --> 00:00:14.400]  教會這個名稱越來越普遍化
[00:00:14.400 --> 00:00:18.300]  教會這個名稱在美國越來越普遍化之後
[00:00:18.300 --> 00:00:24.000]  可能很多時候我們受到我們的環境文化的影響
[00:00:24.000 --> 00:00:28.900]  可能我們就對教會這個專有名詞
[00:00:28.900 --> 00:00:35.500]  就會慢慢的跟原來的意思就有分別
[00:00:35.500 --> 00:00:39.500]  那對我來說是一個很深刻的印象
[00:00:39.500 --> 00:00:45.100]  好多年以前給我一個很深刻的印象
[00:00:45.100 --> 00:00:48.900]  這深刻的印象是什麼呢
[00:00:48.900 --> 00:00:54.300]  在Downtown這個Riverside跟X街
[00:00:54.300 --> 00:01:00.700]  就是福滿樓那個附近就Target附近
[00:01:00.700 --> 00:01:06.100]  有一個佛教的會館在那裡
[00:01:06.100 --> 00:01:09.500]  那它外面打的是什麼呢
[00:01:09.500 --> 00:01:12.900]  Buddhist Church
[00:01:12.900 --> 00:01:16.000]  所以我們可以看到在美國的文化
[00:01:16.000 --> 00:01:19.900]  任何有關宗教方面的活動團體
[00:01:19.900 --> 00:01:22.100]  它就掛上一個Church
[00:01:22.100 --> 00:01:27.600]  佛教圖也用Church這個名稱
[00:01:27.600 --> 00:01:33.100]  因為我看了之後對我來說是一個很大的震撼
[00:01:33.100 --> 00:01:38.000]  或是一些異端他們也是教會
[00:01:38.000 --> 00:01:41.800]  那今天我們就要回到這段經文
[00:01:41.800 --> 00:01:43.100]  教會是什麼
[00:01:43.100 --> 00:01:45.500]  所以我就把這個前言
[00:01:45.500 --> 00:01:47.500]  我打上的時候我是說
[00:01:47.500 --> 00:01:53.300]  教會的專有名詞在美國的文化裡已經普遍化
[00:01:53.300 --> 00:01:57.100]  連佛教團體也用這個名稱
[00:01:57.100 --> 00:01:59.800]  那我們就要回到這個字
