
[00:00:00.000 --> 00:00:03.960]  好 每一次我們復活節
[00:00:03.960 --> 00:00:06.640]  哇 節目很多 很精彩
[00:00:06.640 --> 00:00:10.200]  好像這個 到了最後的時候就發現
[00:00:10.200 --> 00:00:13.760]  大概只有剩下15分鐘可以講到了
[00:00:13.760 --> 00:00:15.440]  所以你們大家耳朵要快
[00:00:15.440 --> 00:00:17.760]  快快的聽 我也快快的講
[00:00:17.760 --> 00:00:21.160]  但是最重要的不是只是一個形式
[00:00:21.160 --> 00:00:23.440]  我們知道說耶穌基督復活
[00:00:23.440 --> 00:00:27.760]  一年當中你只有這一次在慶祝復活節
[00:00:27.760 --> 00:00:32.140]  但是這一年的一次卻不是代表說它不重要
[00:00:32.140 --> 00:00:34.940]  聖經裡面告訴我們說復活節的重要性
[00:00:34.940 --> 00:00:36.560]  從哪裡可以看出來呢
[00:00:36.560 --> 00:00:38.240]  聖經裡面告訴我們說
[00:00:38.240 --> 00:00:43.400]  這個裡面保羅使徒們他們傳講的信息呢
[00:00:43.400 --> 00:00:49.560]  主要的信息的內容就是耶穌基督復活了
[00:00:49.560 --> 00:00:53.600]  復活在整個保羅的這個哥林多前書15章裡面
[00:00:53.600 --> 00:00:55.060]  它整章都在講
[00:00:55.060 --> 00:00:58.000]  我們今天的內容因為經文太多
[00:00:58.000 --> 00:01:02.000]  那麼所以主席說我們這個乾脆經文也不練了
[00:01:02.000 --> 00:01:04.800]  其實實在是很想讓你們練
[00:01:04.800 --> 00:01:07.800]  但是練完可能五分鐘也就過去了
[00:01:07.800 --> 00:01:10.160]  那沒關係 你們回去的時候好好練
[00:01:10.160 --> 00:01:12.300]  哥林多前書15章
[00:01:12.300 --> 00:01:17.300]  整章都在講到什麼 講到復活
[00:01:17.300 --> 00:01:22.260]  新約一共有148節的經文講到復活
[00:01:22.260 --> 00:01:26.700]  單單哥林多前書就有19次講到復活
[00:01:26.700 --> 00:01:29.640]  所以復活比我們
[00:01:29.640 --> 00:01:31.940]  其實我們常常這個聖誕節
[00:01:31.940 --> 00:01:33.840]  大家很快樂在那邊祭奠對不對
[00:01:33.840 --> 00:01:37.160]  但是復活節其實是更重要
[00:01:37.160 --> 00:01:38.200]  更重要
[00:01:38.200 --> 00:01:41.240]  在今天這個全世界到處都是動盪不安
[00:01:41.240 --> 00:01:41.960]  是不是
[00:01:41.960 --> 00:01:44.960]  這個俄烏戰爭還有以哈戰爭
[00:01:44.960 --> 00:01:47.040]  這些都還沒有結束
[00:01:47.040 --> 00:01:49.400]  死了不知道多少的人
[00:01:49.400 --> 00:01:51.440]  我們今天在這邊慶祝復活節
[00:01:51.440 --> 00:01:53.400]  全世界很多的地方
[00:01:53.400 --> 00:01:55.960]  其實他們根本都沒有安寧
[00:01:55.960 --> 00:02:00.840]  他們根本沒有辦法去想到這些東西
