
[00:00:00.000 --> 00:00:01.640]  研讀《以弗所書》
[00:00:01.640 --> 00:00:03.560]  今天我去到第五講
[00:00:03.560 --> 00:00:08.120]  跟大家研究《以弗所書》
[00:00:08.120 --> 00:00:12.200]  其實今天的講道指引是四章十七節到五章二十一節
[00:00:12.200 --> 00:00:13.320]  很多節經文
[00:00:13.320 --> 00:00:15.840]  我想跟大家專注在幾節
[00:00:15.840 --> 00:00:18.520]  四章二十到二十四節
[00:00:18.520 --> 00:00:21.360]  這段經文的重點就是
[00:00:21.360 --> 00:00:24.920]  人認識了耶穌基督之後
[00:00:24.920 --> 00:00:31.160]  舊生命和基督的新生命之間的分別在哪一個地方
[00:00:31.160 --> 00:00:34.200]  這是一個很重要的課題
[00:00:34.200 --> 00:00:37.800]  特別是正在考慮受浸
[00:00:37.800 --> 00:00:40.840]  要加入成為教會成員的人來說
[00:00:40.840 --> 00:00:44.960]  復活節主日我們會有一個浸禮
[00:00:44.960 --> 00:00:46.920]  所以如果大家還在考慮的時候
[00:00:46.920 --> 00:00:48.480]  今天留心聽
[00:00:48.480 --> 00:00:50.680]  可能心裏有這個問題
[00:00:50.680 --> 00:00:52.880]  我來教會已經一段時間了
[00:00:52.880 --> 00:00:55.760]  已經決志成為一個基督徒
[00:00:55.760 --> 00:00:59.760]  但是我怎樣知道我是準備好去受浸呢
[00:00:59.760 --> 00:01:03.600]  可能你在另一個教會已經受浸
[00:01:03.600 --> 00:01:05.600]  受了水禮成為會員
[00:01:05.600 --> 00:01:10.000]  正在考慮要來參加我們會點教會
[00:01:10.000 --> 00:01:12.760]  這個也是一個重要的課題
[00:01:12.760 --> 00:01:15.240]  尤其是今天準備參加101
[00:01:15.240 --> 00:01:17.000]  你今天現在都聽到了
[00:01:17.000 --> 00:01:21.120]  因為任何人想成為我們會友的時候
[00:01:21.120 --> 00:01:23.360]  你都要明白我們有一個課程
[00:01:23.360 --> 00:01:26.800]  這個其中有解釋給你聽我們有些要求
[00:01:26.800 --> 00:01:28.840]  如果大家想成為會友
[00:01:28.840 --> 00:01:30.280]  應該問的問題就是
[00:01:30.280 --> 00:01:32.880]  我們的核心信仰是什麼
[00:01:32.880 --> 00:01:35.240]  會點核心信仰其實很簡單
[00:01:35.240 --> 00:01:39.280]  我們是一間美男浸信會的教會
[00:01:39.280 --> 00:01:42.600]  是宗教改革傳統當中方牌的教會
[00:01:42.600 --> 00:01:43.880]  因為這個緣故
[00:01:43.880 --> 00:01:47.560]  我們對我們的會員是有一定的期望的
[00:01:47.560 --> 00:01:52.280]  至少會員是一個重生得救的信徒
[00:01:52.280 --> 00:01:54.080]  有新生命的樣式
[00:01:54.080 --> 00:01:56.800]  但是這個新生命的本質是什麼呢
[00:01:56.800 --> 00:01:57.960]  我們都要講清楚
[00:01:57.960 --> 00:02:02.080]  我們希望在新生命見到的本質的分別是什麼
[00:02:02.080 --> 00:02:04.920]  第三就是為什麼這個題目是重要呢
[00:02:04.920 --> 00:02:09.080]  對於在教會裡面有教導有領袖工作的人
[00:02:09.080 --> 00:02:12.280]  無論其實你在家庭裡面做家長
[00:02:12.280 --> 00:02:14.040]  都有教導兒女的責任
[00:02:14.040 --> 00:02:16.840]  這個也是一個重要的課題
[00:02:16.840 --> 00:02:20.720]  因為你要為主耶穌基督培養他的門徒
[00:02:20.720 --> 00:02:22.880]  你有培養門徒的責任
[00:02:22.880 --> 00:02:25.360]  你專注的首要任務應該是什麼呢
[00:02:25.360 --> 00:02:28.000]  你可以教他們很多東西
[00:02:28.000 --> 00:02:33.200]  但是不可以缺少要教他們的是什麼呢
[00:02:33.200 --> 00:02:37.720]  今天我想跟大家分享一個答案
[00:02:37.720 --> 00:02:41.920]  在基督裡面新生命最基本的特質
[00:02:41.920 --> 00:02:45.960]  這個新人最重要的一個分別就是
[00:02:45.960 --> 00:02:49.080]  他是一個真理的戀人
[00:02:49.080 --> 00:02:51.480]  Truth lover
[00:02:51.480 --> 00:02:52.640]  真理的戀人
[00:02:52.640 --> 00:02:55.520]  愛真理 熱愛真理
[00:02:55.520 --> 00:03:00.040]  主持婚禮的時候我們結合一對新人
[00:03:00.040 --> 00:03:02.000]  按照聖經的解釋
[00:03:02.000 --> 00:03:04.320]  基督是真理的本體
[00:03:04.320 --> 00:03:05.920]  是真理本身
[00:03:05.920 --> 00:03:09.160]  而教會是他的新婦 新娘
[00:03:09.160 --> 00:03:13.600]  所以真正的教會必然是熱愛真理
[00:03:13.600 --> 00:03:17.360]  因此教會每一個成員作為聖徒
[00:03:17.360 --> 00:03:20.920]  作為信徒最基本的特質
[00:03:20.920 --> 00:03:24.360]  就是他必須是一個真理的戀人
[00:03:24.360 --> 00:03:26.520]  經文有幾節
[00:03:26.520 --> 00:03:30.040]  我們整段裡面解釋了五節
[00:03:30.040 --> 00:03:31.960]  五節經文二十到二十四節
[00:03:31.960 --> 00:03:34.560]  清楚地解釋這一點
[00:03:34.560 --> 00:03:36.560]  新人和舊人最大的分別就是
