
[00:00:00.000 --> 00:00:04.920]  今天我們要繼續講我們《聖經可信媽》系列
[00:00:04.920 --> 00:00:06.840]  而是最後一個信息
[00:00:06.840 --> 00:00:09.680]  也是我最喜歡的一個信息
[00:00:09.680 --> 00:00:15.180]  就是講到聖經和科學究竟有無矛盾
[00:00:15.180 --> 00:00:20.600]  我們首先看看有兩位出名的科學家他們怎麼說
[00:00:20.600 --> 00:00:24.400]  一個是天文學家叫做Sir William Herschel
[00:00:24.400 --> 00:00:27.680]  他說科學的領域發展得越廣泛
[00:00:27.680 --> 00:00:32.280]  就越能夠證明原來是有一位全能者
[00:00:32.280 --> 00:00:34.040]  見到他的智慧
[00:00:34.040 --> 00:00:35.880]  見到他的創造性
[00:00:35.880 --> 00:00:39.880]  永遠在這個世界當中
[00:00:39.880 --> 00:00:45.320]  你說這個Sir William Herschel應該是很久以前的人
[00:00:45.320 --> 00:00:48.520]  我們不妨看看近期的科學家
[00:00:48.520 --> 00:00:54.520]  是NASA Goddard的太空研究所前所長
[00:00:54.520 --> 00:00:56.800]  他叫做Robert Jastrow
[00:00:56.800 --> 00:00:59.960]  他說現在我們見到天文學的證據
[00:00:59.960 --> 00:01:05.720]  支持聖經的記載是有關世界起源的觀點
[00:01:05.720 --> 00:01:09.800]  他說正如在《創世紀》所記載
[00:01:09.800 --> 00:01:16.680]  天文學所發現的和聖經所講的基本要素一致
[00:01:16.680 --> 00:01:19.200]  完全不符合進化論
[00:01:19.200 --> 00:01:26.880]  他說如果問是誰將這一切的物質能源放入這個宇宙
[00:01:26.880 --> 00:01:30.880]  科學是不能夠解釋
[00:01:30.880 --> 00:01:35.960]  他接着說如果一個科學家是用他的理性來生活
[00:01:35.960 --> 00:01:40.560]  他就好像在這兒攀登一座無知的山一樣
[00:01:40.560 --> 00:01:43.400]  他其實是一場噩夢
[00:01:43.400 --> 00:01:46.680]  當他就快要征服最高的山峯
[00:01:46.680 --> 00:01:50.440]  將自己的身體拖過最後的一塊岩石
[00:01:50.440 --> 00:01:54.200]  在岩石的後面他發覺原來有一班神學家
[00:01:54.200 --> 00:01:58.360]  已經被他早幾個世紀到達這個山峯
[00:01:58.360 --> 00:02:01.240]  並且在那裏迎接自己
[00:02:01.240 --> 00:02:05.080]  他的意思就是科學找到這麼多新的發現
[00:02:05.080 --> 00:02:10.560]  其實聖經一早告訴你這個世界是怎麼來的
[00:02:10.560 --> 00:02:13.760]  有件事我要指出的就是很多人會認爲
[00:02:13.760 --> 00:02:17.400]  這個Robert Gestalt是一個基督徒
[00:02:17.400 --> 00:02:19.320]  他不是一個基督徒
[00:02:19.320 --> 00:02:21.280]  他是一個Agnostic
[00:02:21.280 --> 00:02:22.960]  他是一個非基督徒
[00:02:22.960 --> 00:02:28.800]  他尚且看到在宇宙的背後有一位創造者
[00:02:28.800 --> 00:02:34.480]  有一位智能的設計家在背後
