
[00:00:00.000 --> 00:00:05.000]  大家好,今天是主復活的日子
[00:00:05.000 --> 00:00:09.000]  我們紀念耶穌基督在今日的復活
[00:00:09.000 --> 00:00:11.000]  我想和大家看一段聖經
[00:00:11.000 --> 00:00:15.000]  記載在《路加福音》第廿四章十三至三十五節
[00:00:15.000 --> 00:00:20.000]  講述耶穌基督復活之後顯現給一對門徒來看
[00:00:20.000 --> 00:00:23.000]  但當時的門徒其實不是很清楚
[00:00:23.000 --> 00:00:25.000]  我們就想看這件事跡
[00:00:25.000 --> 00:00:27.000]  我們先看第一部分的段落
[00:00:27.000 --> 00:00:31.000]  由十八節至二十四節
[00:00:31.000 --> 00:00:36.000]  第十四節講述他們彼此在議論最近發生的事情
[00:00:36.000 --> 00:00:40.000]  即是這兩個人在裡面說一些事情
[00:00:40.000 --> 00:00:42.000]  什麼事呢?有兩件事
[00:00:42.000 --> 00:00:45.000]  第一件事是十八節至二十一節
[00:00:45.000 --> 00:00:49.000]  講述耶穌基督被釘死的一件事
[00:00:49.000 --> 00:00:52.000]  當時耶穌出現的時候
[00:00:52.000 --> 00:00:53.000]  他們都不認得耶穌
[00:00:53.000 --> 00:00:55.000]  耶穌問他們發生什麼事
[00:00:55.000 --> 00:00:57.000]  他們就問他:你都不知道嗎?
[00:00:57.000 --> 00:01:00.000]  這幾天發生了一件很大的事情
[00:01:00.000 --> 00:01:02.000]  什麼事呢?耶穌就問
[00:01:02.000 --> 00:01:04.000]  關於拿撒勒人耶穌
[00:01:04.000 --> 00:01:05.000]  他們試過才知道
[00:01:05.000 --> 00:01:09.000]  不過被祭司長和官府釘死了
[00:01:09.000 --> 00:01:11.000]  為什麼你不知道?
[00:01:11.000 --> 00:01:12.000]  應該知道的
[00:01:12.000 --> 00:01:15.000]  就像今天林鄭月娥當選了做特首
[00:01:15.000 --> 00:01:16.000]  未來特首
[00:01:16.000 --> 00:01:17.000]  應該大家都知道的
[00:01:17.000 --> 00:01:18.000]  你不知道的
[00:01:18.000 --> 00:01:20.000]  一定不是住在這裡的人
[00:01:20.000 --> 00:01:22.000]  就有這樣的反應在裡面
[00:01:22.000 --> 00:01:24.000]  講完這件事之後
[00:01:24.000 --> 00:01:26.000]  還有第二件事令她感到困惑
[00:01:26.000 --> 00:01:29.000]  就是在二十二節至二十四節
[00:01:29.000 --> 00:01:31.000]  就是我們中間有幾個婦女
[00:01:31.000 --> 00:01:34.000]  即是她感受素母
[00:01:34.000 --> 00:01:35.000]  拜祭她的時候
[00:01:35.000 --> 00:01:37.000]  發現不見了耶穌的身體
[00:01:37.000 --> 00:01:38.000]  不知道他們說
[00:01:38.000 --> 00:01:39.000]  天使出現
[00:01:39.000 --> 00:01:41.000]  說祂復活了
[00:01:41.000 --> 00:01:44.000]  這件事就傳到現在
[00:01:44.000 --> 00:01:46.000]  他們很奇怪
[00:01:46.000 --> 00:01:49.000]  原來這兩個門徒在談兩件事
[00:01:49.000 --> 00:01:50.000]  就是關於耶穌被釘的事
[00:01:50.000 --> 00:01:53.000]  第二件事就是耶穌基督被復活了
[00:01:53.000 --> 00:01:55.000]  但是婦女傳開來的事情
[00:01:55.000 --> 00:01:58.000]  這兩件事在談論當中
[00:01:58.000 --> 00:02:00.000]  但聖經形容這樣說
[00:02:00.000 --> 00:02:02.000]  第十五和第十六節
[00:02:02.000 --> 00:02:08.000]  就說
[00:02:08.000 --> 00:02:10.000]  第十五第十六節就是這樣說
[00:02:10.000 --> 00:02:13.000]  他們的眼睛迷糊了
[00:02:13.000 --> 00:02:14.000]  認不出耶穌
[00:02:14.000 --> 00:02:15.000]  其實耶穌基督復活了
[00:02:15.000 --> 00:02:16.000]  是和他們一起走的
[00:02:16.000 --> 00:02:19.000]  不過他們在談論關於耶穌的事
[00:02:19.000 --> 00:02:21.000]  你實在不知道耶穌在身邊
[00:02:21.000 --> 00:02:22.000]  可能很奇怪
[00:02:22.000 --> 00:02:25.000]  為什麼認不出耶穌呢?
[00:02:25.000 --> 00:02:27.000]  估計是兩方面的原因
[00:02:27.000 --> 00:02:29.000]  一方面是客觀一點的原因
[00:02:29.000 --> 00:02:30.000]  客觀一點的原因就是
[00:02:30.000 --> 00:02:32.000]  耶穌的面貌應該變了
[00:02:32.000 --> 00:02:34.000]  認不出祂
[00:02:34.000 --> 00:02:36.000]  的確有人根據
[00:02:36.000 --> 00:02:40.000]  《肥納比書》三章的有一節這樣說
[00:02:40.000 --> 00:02:42.000]  其中有一節這樣說
[00:02:42.000 --> 00:02:43.000]  將來復活的身體
[00:02:43.000 --> 00:02:44.000]  耶穌基督復活之後
[00:02:44.000 --> 00:02:48.000]  將我們卑賤的身體改變形狀
[00:02:48.000 --> 00:02:51.000]  和祂自己榮耀的身體相似
[00:02:51.000 --> 00:02:53.000]  然後復活了的身體
[00:02:53.000 --> 00:02:55.000]  變成一個榮耀的身體
[00:02:55.000 --> 00:02:57.000]  如果在《哥林多前書》這樣說
[00:02:57.000 --> 00:02:58.000]  我們身體榮耀身體
[00:02:58.000 --> 00:02:59.000]  強壯的身體
[00:02:59.000 --> 00:03:00.000]  不扭壞的身體
[00:03:00.000 --> 00:03:02.000]  是一個很不同的身體
[00:03:02.000 --> 00:03:04.000]  所以耶穌基督可能復活了的時候
[00:03:04.000 --> 00:03:06.000]  身體有些變化了
[00:03:06.000 --> 00:03:09.000]  所以在身邊的兩個門徒
[00:03:09.000 --> 00:03:12.000]  一時間就認不出祂了
[00:03:12.000 --> 00:03:14.000]  但是補充多一點
[00:03:14.000 --> 00:03:15.000]  雖然身體改變了
[00:03:15.000 --> 00:03:16.000]  又不是完全改變了
[00:03:16.000 --> 00:03:19.000]  祂還有些跡象我們認得出祂
[00:03:19.000 --> 00:03:23.000]  因為當《天文福音》20章24至28次
[00:03:23.000 --> 00:03:25.000]  有一個門徒多瑪
[00:03:25.000 --> 00:03:26.000]  耶穌在告祂的時候
[00:03:26.000 --> 00:03:30.000]  祂懷疑除非耶穌親自顯現給我看
[00:03:30.000 --> 00:03:33.000]  我的手指觸摸祂的肋旁
[00:03:33.000 --> 00:03:34.000]  祂的釘傷的地方的時候
[00:03:34.000 --> 00:03:37.000]  我才相信祂真的復活了
