
[00:00:00.000 --> 00:00:07.560]  今天要跟大家分享這段經文
[00:00:07.560 --> 00:00:14.600]  馬太記載耶穌在人生中的一個片段
[00:00:14.600 --> 00:00:18.260]  以及祂所說的一些話
[00:00:18.260 --> 00:00:21.260]  為甚麼要分享這段經文呢?
[00:00:21.260 --> 00:00:26.280]  因為剛才吳牧師也說過
[00:00:26.280 --> 00:00:35.360]  我和我太太在2021年
[00:00:35.360 --> 00:00:38.960]  我那時候已經退休了
[00:00:38.960 --> 00:00:43.520]  其實我2018年就叫做第二次退休
[00:00:43.520 --> 00:00:46.000]  那時候我70歲
[00:00:46.000 --> 00:00:51.200]  但接著2018和2019年
[00:00:51.200 --> 00:00:59.760]  神很好,讓我們有機會去到國內接觸家庭的教會
[00:00:59.760 --> 00:01:01.880]  也有很多體會
[00:01:01.880 --> 00:01:07.000]  這次大家知道2020年就開始甚麼?
[00:01:07.000 --> 00:01:08.840]  新冠肺炎
[00:01:08.840 --> 00:01:12.200]  一切都停頓下來
[00:01:12.200 --> 00:01:16.240]  但是在2021年的時候
[00:01:16.240 --> 00:01:18.760]  其實應該不止那段時間
[00:01:18.760 --> 00:01:22.360]  因為有個宣教士在柬埔寨宣教士
[00:01:22.360 --> 00:01:23.640]  他有感動
[00:01:23.640 --> 00:01:29.120]  他說他要開一間小型的神學院
[00:01:29.120 --> 00:01:34.960]  訓練華人的宣教士在東南亞
[00:01:34.960 --> 00:01:37.640]  其實他幾年前跟我提過
[00:01:37.640 --> 00:01:40.440]  他請我去幫他
[00:01:40.440 --> 00:01:42.280]  因為我做過校長
[00:01:42.280 --> 00:01:46.960]  所以應該知道那間學校如何運作
[00:01:46.960 --> 00:01:48.960]  他說他做宣教士
[00:01:48.960 --> 00:01:51.520]  他完全不知道這些東西
[00:01:51.520 --> 00:01:53.680]  剛才我拒絕他
[00:01:53.680 --> 00:01:55.960]  不過到2021年
[00:01:55.960 --> 00:01:57.160]  我都不知道為甚麼
[00:01:57.160 --> 00:01:59.400]  神說你要去了
[00:01:59.400 --> 00:02:01.520]  我和太太答應了
[00:02:01.520 --> 00:02:04.840]  本來應該2021年9月就去
[00:02:04.840 --> 00:02:07.480]  但是因為疫情那時候還沒完
[00:02:07.480 --> 00:02:10.800]  第一年我都在網上幫他
[00:02:10.800 --> 00:02:16.920]  到2022年的8月我們才過去
[00:02:16.920 --> 00:02:20.320]  大約在中間走來走去
[00:02:20.320 --> 00:02:26.080]  有一年的時間就在柬埔寨
[00:02:26.080 --> 00:02:30.520]  那一年的時間給我們人生很多的體會
