
[00:00:00.000 --> 00:00:04.400]  各位大嬸姊妹,午安,此內平安
[00:00:04.400 --> 00:00:06.800]  今天跟大家分享這段經文
[00:00:06.800 --> 00:00:11.720]  相信大家也不會陌生
[00:00:11.720 --> 00:00:14.920]  只不過在這大半年的光景
[00:00:14.920 --> 00:00:18.280]  大約有八個月的時間
[00:00:18.280 --> 00:00:20.920]  面對著新冠肺炎疫情
[00:00:20.920 --> 00:00:24.600]  以及生死威脅的時候
[00:00:24.600 --> 00:00:28.400]  世界都變得不再一樣
[00:00:28.400 --> 00:00:31.880]  到現在我們好像還未搞得清楚
[00:00:31.880 --> 00:00:34.840]  究竟是發生什麼事
[00:00:34.840 --> 00:00:39.920]  每一天政府發放確診的數字
[00:00:39.920 --> 00:00:44.200]  但是也有未知源頭的數目
[00:00:44.200 --> 00:00:46.080]  以及在社交媒體
[00:00:46.080 --> 00:00:48.800]  大家互相傳訊
[00:00:48.800 --> 00:00:52.480]  確診者他們去過的什麼地方
[00:00:52.480 --> 00:00:57.280]  大廈、餐廳、街市等等
[00:00:57.280 --> 00:01:00.880]  的確也會令我們很緊張
[00:01:00.880 --> 00:01:02.400]  限聚令呢?
[00:01:02.400 --> 00:01:06.040]  限聚令雖然不是一個追殺令
[00:01:06.040 --> 00:01:08.240]  但是執法人員
[00:01:08.240 --> 00:01:13.680]  他們也會在街頭執法、巡查
[00:01:13.680 --> 00:01:15.880]  對於違例者來說
[00:01:15.880 --> 00:01:18.480]  也好像追殺令一樣
[00:01:18.480 --> 00:01:22.400]  因為隨時也會收到一些告票
[00:01:22.400 --> 00:01:27.960]  過往我們都視為理所當然的日常生活
[00:01:27.960 --> 00:01:32.560]  就連平日跟家人相聚的時間
[00:01:32.560 --> 00:01:34.480]  或者有飯局
[00:01:34.480 --> 00:01:36.880]  去茶樓飲茶
[00:01:36.880 --> 00:01:39.400]  去街市買菜
[00:01:39.400 --> 00:01:42.640]  帶小朋友去公園玩
[00:01:42.640 --> 00:01:47.360]  這些生活當中很平常不過的事情
[00:01:47.360 --> 00:01:49.720]  但是在今時今日
[00:01:49.720 --> 00:01:55.520]  竟然會變得很罕有、很珍貴
[00:01:55.520 --> 00:01:59.000]  就算要去探望你的至親
[00:01:59.000 --> 00:02:01.040]  甚至你自己
[00:02:01.040 --> 00:02:02.760]  你也沒有辦法肯定
[00:02:02.760 --> 00:02:05.760]  你是否一個帶菌者
[00:02:05.760 --> 00:02:10.600]  所以這些活動結果都要暫停
[00:02:10.600 --> 00:02:14.320]  以免被病毒感染
[00:02:14.320 --> 00:02:16.680]  我們也沒有想過
[00:02:16.680 --> 00:02:19.760]  過往會帶我們可以飛上天空
[00:02:19.760 --> 00:02:23.320]  去體驗世界的航空公司
[00:02:23.320 --> 00:02:25.920]  都會面臨破產
[00:02:25.920 --> 00:02:30.240]  或者有些都會是瀕臨破產的邊緣
[00:02:30.240 --> 00:02:32.080]  放眼世界
[00:02:32.080 --> 00:02:37.360]  中美關係的緊張局面如箭在弦
[00:02:37.360 --> 00:02:41.640]  彷彿世界大戰是一觸即發
[00:02:41.640 --> 00:02:45.400]  無論你是有多大的年紀
[00:02:45.400 --> 00:02:48.520]  相信我們都從未經歷過
[00:02:48.520 --> 00:02:51.760]  一個人心惶惶
[00:02:51.760 --> 00:02:55.240]  不知所措的世界
[00:02:55.240 --> 00:02:57.320]  在現在的生活
[00:02:57.320 --> 00:03:00.480]  面對好像前無去路
