
[00:00:00.000 --> 00:00:02.000]  好 各位姐妹們早晨
[00:00:02.000 --> 00:00:06.640]  感謝主 今天再和大家思想一個題目
[00:00:06.640 --> 00:00:09.760]  「深存盼望」是我們今年的年題
[00:00:09.760 --> 00:00:13.240]  所以我繼續用《秘德前書》第一章的下半部
[00:00:13.240 --> 00:00:14.760]  十三節 二十五節
[00:00:14.760 --> 00:00:19.160]  去思想我們如何由盼望到彼此相愛
[00:00:19.160 --> 00:00:23.160]  當今天剛才我們Winston 卓士和我們領詩的時候
[00:00:23.160 --> 00:00:26.000]  他說今天世代 我們看這個世界
[00:00:26.000 --> 00:00:29.040]  都好像是很混亂
[00:00:29.040 --> 00:00:31.400]  我們很容易都被很多東西迷失
[00:00:31.400 --> 00:00:33.200]  或者看不清楚
[00:00:33.200 --> 00:00:36.440]  或者說香港在這個星期裡
[00:00:36.440 --> 00:00:38.920]  最影響我們的是什麼呢
[00:00:38.920 --> 00:00:41.960]  可能就是這兩個字 二和三
[00:00:41.960 --> 00:00:45.360]  我們可能都被很多東西影響我們的心情
[00:00:45.360 --> 00:00:48.680]  可能給我們香港一個正面的影響
[00:00:48.680 --> 00:00:50.280]  或者有負面的影響
[00:00:50.280 --> 00:00:52.600]  每個人都有不同的看法
[00:00:52.600 --> 00:00:56.440]  但是在今天 當我們坐在崇拜的當中
[00:00:56.440 --> 00:00:58.720]  我們思想繼承的話語
[00:00:58.720 --> 00:01:03.280]  讓神的話語是覆蓋我們眼前的一切
[00:01:03.280 --> 00:01:05.440]  我們不是將我們的焦點
[00:01:05.440 --> 00:01:10.320]  聚焦在今天或者在幻變的時代
[00:01:10.320 --> 00:01:12.160]  而是將我們的焦點
[00:01:12.160 --> 00:01:14.080]  焦聚在神的話語
[00:01:14.080 --> 00:01:18.040]  以及將來上帝要給我們的天國
[00:01:18.040 --> 00:01:19.480]  給我們的盼望
[00:01:19.480 --> 00:01:21.880]  這個是很希望在《秘德前書》裡面
[00:01:21.880 --> 00:01:25.040]  能夠帶給大家的一個領袖
[00:01:25.040 --> 00:01:27.280]  重溫在上個月
[00:01:27.280 --> 00:01:29.440]  剛剛在一月第一個星期
[00:01:29.440 --> 00:01:31.680]  跟大家講了活潑的盼望
[00:01:31.680 --> 00:01:35.000]  當中一個重點想帶出的就是
[00:01:35.000 --> 00:01:37.040]  《秘德前書》的受眾
[00:01:37.040 --> 00:01:44.120]  是一班散居於土耳其一帶的猶太基督徒
[00:01:44.120 --> 00:01:46.400]  他們是二等公民
[00:01:46.400 --> 00:01:49.280]  他們面對著信仰的逼迫
[00:01:49.280 --> 00:01:53.560]  面對著在政治經濟上的一個邊緣的群體
[00:01:53.560 --> 00:01:56.280]  他們是一班寄居客
[00:01:56.280 --> 00:02:00.520]  但是《秘德前書》提醒了這班信徒
[00:02:00.520 --> 00:02:05.080]  他們每一個都是蒙天父所揀選的
[00:02:05.080 --> 00:02:07.240]  上帝所愛的兒女
[00:02:07.240 --> 00:02:10.160]  他們每一個都被聖靈
[00:02:10.160 --> 00:02:14.280]  充滿承聖的一個聖徒
[00:02:14.280 --> 00:02:16.760]  他們更加是蒙耶穌基督的血
[00:02:16.760 --> 00:02:21.000]  所灑、納約成為上帝子民的群體
[00:02:21.000 --> 00:02:22.840]  這個揀選
[00:02:22.840 --> 00:02:28.600]  是從創世熱先到永遠不變的上帝兒女的身份
[00:02:28.600 --> 00:02:31.240]  我們所盼望的是在天國裡面
[00:02:31.240 --> 00:02:32.520]  一個永恆的基業
[00:02:32.520 --> 00:02:37.600]  是不會擾壞、不會變質的一個終極的救恩
[00:02:37.600 --> 00:02:41.400]  藉著這個盼望、被揀選的身份
[00:02:41.400 --> 00:02:45.280]  我們知道現在所面對的苦難是一個試煉
[00:02:45.280 --> 00:02:46.880]  而是一個榮耀的罪曲
[00:02:46.880 --> 00:02:51.040]  我們相信將來我們會一起在永恆的天國裡面
[00:02:51.040 --> 00:02:53.160]  得著上帝的獎賞
[00:02:53.160 --> 00:02:54.520]  就在這個基礎底下
[00:02:54.520 --> 00:02:57.200]  我們進入一章的下半部
[00:02:57.200 --> 00:02:58.840]  《彼得前書》第二講
[00:02:58.840 --> 00:03:01.800]  我們繼續連結於今年教會的連題
[00:03:01.800 --> 00:03:04.800]  「深存盼望,以心建家」
[00:03:04.800 --> 00:03:06.200]  我們再看《彼得前書》的時候
[00:03:06.200 --> 00:03:07.520]  我們將會看見
[00:03:07.520 --> 00:03:10.760]  在後半部第二章的時候
[00:03:10.760 --> 00:03:13.040]  彼得想帶出的就是
[00:03:13.040 --> 00:03:18.800]  「因看見你們的好行為,而在監察的日子,歸榮要給神」
[00:03:18.800 --> 00:03:21.680]  我們將會看見當我們有了盼望的時候
[00:03:21.680 --> 00:03:24.600]  我們怎樣能夠在我們地上活出一份
[00:03:24.600 --> 00:03:29.520]  有盼望的基督徒不同的品格和行為
[00:03:29.520 --> 00:03:32.760]  以致讓世人都能夠將榮耀歸給父神
[00:03:32.760 --> 00:03:34.080]  進入這個講到這裡
[00:03:34.080 --> 00:03:36.160]  我們先有一個祈禱
[00:03:36.160 --> 00:03:37.960]  七月天父求你幫助我們
[00:03:37.960 --> 00:03:40.320]  打開我們屬靈的耳朵
[00:03:40.320 --> 00:03:42.480]  能夠聆聽你的話語
[00:03:42.480 --> 00:03:44.000]  打開我們的腦袋
[00:03:44.000 --> 00:03:48.680]  能夠思想明白你的僕人所宣講的道
[00:03:48.680 --> 00:03:51.400]  又讓我們能夠用心去領受
[00:03:51.400 --> 00:03:53.800]  以致我們用行動去活出來
[00:03:53.800 --> 00:03:56.240]  以成為一個聽到行動的人
