
[00:00:00.000 --> 00:00:03.800]  謝謝大家聽到伊廷子會的分享
[00:00:03.800 --> 00:00:09.280]  我覺得很多片段都浮在心頭
[00:00:09.280 --> 00:00:12.680]  因為剛才說到2020年3月的時候
[00:00:12.680 --> 00:00:14.480]  我才入職到冥恩堂
[00:00:14.480 --> 00:00:17.200]  一直聽著祂
[00:00:17.200 --> 00:00:19.400]  或者見證著祂一個生命的歷程
[00:00:19.400 --> 00:00:22.400]  如何走過祂這個復原的路
[00:00:22.400 --> 00:00:25.400]  很感受到的事情就是
[00:00:25.400 --> 00:00:30.320]  上帝在他心靈當中的份量是很重的
[00:00:30.320 --> 00:00:32.600]  那個恩典是很大的
[00:00:32.600 --> 00:00:36.800]  頭頭去說的那件事就是
[00:00:36.800 --> 00:00:38.240]  上帝給了他一個應許
[00:00:38.240 --> 00:00:41.360]  就是上帝要挖養他
[00:00:41.360 --> 00:00:43.880]  其實這個應許不是只給他一個
[00:00:43.880 --> 00:00:45.960]  是給我們每一個人
[00:00:45.960 --> 00:00:47.320]  我們人生當中
[00:00:47.320 --> 00:00:49.240]  可能我們挖多挖少
[00:00:49.240 --> 00:00:52.760]  我們都會經過不同的步伐
[00:00:52.760 --> 00:00:56.200]  其實上帝都給了我們很多禮物
[00:00:56.200 --> 00:00:58.840]  有些禮物我們是很欣然接受的
[00:00:58.840 --> 00:00:59.640]  我們知道
[00:00:59.640 --> 00:01:03.000]  或者我們回來教會都會說那些叫恩典
[00:01:03.000 --> 00:01:05.680]  就是那些我們很喜歡的東西
[00:01:05.680 --> 00:01:06.400]  我們就會說
[00:01:06.400 --> 00:01:07.600]  上帝祢給我一份禮物
[00:01:07.600 --> 00:01:09.280]  我覺得很開心
[00:01:09.280 --> 00:01:11.320]  或者我們有些時候
[00:01:11.320 --> 00:01:13.280]  有些弟兄姐妹回教會久了
[00:01:13.280 --> 00:01:14.760]  我們都開始要問
[00:01:14.760 --> 00:01:16.680]  上帝祢給了什麼恩賜
[00:01:16.680 --> 00:01:19.080]  我可以侍奉祂呢?
[00:01:19.080 --> 00:01:20.880]  因此我們很多時候都說
[00:01:20.880 --> 00:01:23.120]  其實上帝給我們一份禮物
[00:01:23.120 --> 00:01:24.720]  但是很多時候
[00:01:24.720 --> 00:01:27.600]  一份禮物可能不是用一個
[00:01:27.600 --> 00:01:32.280]  我們很能夠接受得到的形式去出現
[00:01:32.280 --> 00:01:34.880]  正正就例如剛才Ethan姐妹所說的
[00:01:34.880 --> 00:01:38.160]  他這個患癌的經歷
[00:01:38.160 --> 00:01:39.280]  當我去聽
[00:01:39.280 --> 00:01:43.480]  或者去邀請他去講他的見證的時候
[00:01:43.480 --> 00:01:44.920]  我不斷地在想
[00:01:44.920 --> 00:01:47.400]  其實我們人生當中有很多的禮物
[00:01:47.400 --> 00:01:49.640]  是經大過喜的
[00:01:49.640 --> 00:01:52.280]  有些路我們走的時候
[00:01:52.280 --> 00:01:54.040]  我們不想這樣去走
[00:01:54.040 --> 00:01:56.720]  但是上帝這樣帶我們去走
[00:01:56.720 --> 00:01:59.800]  我就想起聖經裡面的一個人物
[00:01:59.800 --> 00:02:01.520]  其實也很類似
[00:02:01.520 --> 00:02:03.440]  提起這個人物的意思
[00:02:03.440 --> 00:02:04.720]  我們也要多謝Ethan
[00:02:04.720 --> 00:02:06.200]  我昨天跟他聊天的時候
[00:02:06.200 --> 00:02:09.280]  他跟我說了一個人物的故事
[00:02:09.280 --> 00:02:11.520]  有一個作家叫做西西
[00:02:11.520 --> 00:02:15.680]  他就將他患乳癌的經歷
[00:02:15.680 --> 00:02:16.720]  寫了一本書
[00:02:16.720 --> 00:02:19.160]  他在1989年患癌
[00:02:19.160 --> 00:02:22.720]  1999年就寫了一本書叫《哀悼乳房》
[00:02:22.720 --> 00:02:27.720]  這本書他講的一個經歷是什麼呢?
[00:02:27.720 --> 00:02:29.560]  他推進去手術室
[00:02:29.560 --> 00:02:31.800]  去切除乳房的時候
[00:02:31.800 --> 00:02:35.160]  他旁邊那個是產房
[00:02:35.160 --> 00:02:36.280]  他想到的
