
[00:00:00.000 --> 00:00:04.000]  創世紀第一章第一節
[00:00:04.000 --> 00:00:08.000]  我們一翻到以後我們一起來讀一下
[00:00:08.000 --> 00:00:12.000]  起初神創造天地
[00:00:12.000 --> 00:00:15.000]  我們就讀這一節一共是七個字
[00:00:15.000 --> 00:00:18.000]  起初神創造天地
[00:00:18.000 --> 00:00:20.000]  然後我們來到啟示錄
[00:00:20.000 --> 00:00:25.000]  二十一章第一節
[00:00:25.000 --> 00:00:27.000]  我們一起來
[00:00:27.000 --> 00:00:30.000]  我有看見一個興天興地
[00:00:30.000 --> 00:00:34.000]  因為先天的天地已經過去了
[00:00:34.000 --> 00:00:36.000]  還也不再有了
[00:00:36.000 --> 00:00:39.000]  我們就先讀這兩節聖經
[00:00:39.000 --> 00:00:43.000]  其餘的聖經我們再講到哪
[00:00:43.000 --> 00:00:45.000]  再來讀到哪
[00:00:45.000 --> 00:00:49.000]  這兩節聖經可以說是聖經的
[00:00:49.000 --> 00:00:52.000]  一開始就有這一節
[00:00:52.000 --> 00:00:54.000]  神起初創造天地
[00:00:54.000 --> 00:00:58.000]  天地到最後到啟示錄
[00:00:58.000 --> 00:01:02.000]  就講到將來在神的計劃裡頭
[00:01:02.000 --> 00:01:05.000]  有一個興天興地
[00:01:05.000 --> 00:01:07.000]  為什麼本來起初
[00:01:07.000 --> 00:01:09.000]  是不是神起初創造天地
[00:01:09.000 --> 00:01:11.000]  不太完美了
[00:01:11.000 --> 00:01:13.000]  所以才有個新的呢
[00:01:13.000 --> 00:01:15.000]  這不是的
[00:01:15.000 --> 00:01:18.000]  就是因為神創造天地以後
[00:01:18.000 --> 00:01:20.000]  也創造了人
[00:01:20.000 --> 00:01:23.000]  所以這個人敗壞以後
[00:01:23.000 --> 00:01:26.000]  這個天地就受到壞壞了
[00:01:26.000 --> 00:01:28.000]  所以神在最後
[00:01:28.000 --> 00:01:32.000]  祂的計劃救贖的計劃成全的時候
[00:01:32.000 --> 00:01:36.000]  祂就要引進一個興天興地
[00:01:36.000 --> 00:01:40.000]  那麼興天興地就是一個永恆的
[00:01:40.000 --> 00:01:42.000]  永恆的
