
[00:00:00.000 --> 00:00:02.880]  孫迅博士說「聖餐的意義
[00:00:02.880 --> 00:00:04.880]  不單止是紀念
[00:00:04.880 --> 00:00:06.880]  而是表達一個真理
[00:00:06.880 --> 00:00:09.680]  我們分享一個生命
[00:00:09.680 --> 00:00:13.280]  我們接受一個交通而來的力量
[00:00:13.280 --> 00:00:15.280]  康健和祝福
[00:00:15.280 --> 00:00:18.280]  我們吃一些事是真實的
[00:00:18.280 --> 00:00:19.280]  觸摸到的
[00:00:19.280 --> 00:00:20.480]  滿足的
[00:00:20.480 --> 00:00:24.480]  以及拯救靈魂的聖餐」
[00:00:24.480 --> 00:00:27.080]  鄧志文在這個疫情當中
[00:00:27.080 --> 00:00:29.680]  彷彿很多東西都停擺
[00:00:29.680 --> 00:00:30.800]  暫緩
[00:00:30.800 --> 00:00:32.800]  延期
[00:00:32.800 --> 00:00:34.080]  有人說得好
[00:00:34.080 --> 00:00:36.080]  這是一個千載難逢的機會
[00:00:36.080 --> 00:00:38.080]  讓我們檢視自己
[00:00:38.080 --> 00:00:39.880]  檢視信仰
[00:00:39.880 --> 00:00:42.480]  檢視我們慣常所做的
[00:00:42.480 --> 00:00:47.480]  有哪些其實不是必須的呢?
[00:00:47.480 --> 00:00:51.080]  至於沒辦法去舉行聖餐都已經兩個月
[00:00:51.080 --> 00:00:53.280]  我不知道你想到些甚麼
[00:00:53.280 --> 00:00:55.680]  是否開始掛念
[00:00:55.680 --> 00:00:58.480]  還是都差不多
[00:00:58.480 --> 00:01:01.880]  感覺可有可無呢?
[00:01:01.880 --> 00:01:06.080]  今天讓我們從主所設立的聖餐
[00:01:06.080 --> 00:01:09.680]  到哥倫多教會一個出了問題的聖餐
[00:01:09.680 --> 00:01:10.680]  在這二者當中
[00:01:10.680 --> 00:01:14.880]  我們再次檢視聖餐和我們自己的關係
[00:01:14.880 --> 00:01:19.880]  我們再次把這段時間獻上禱告
[00:01:19.880 --> 00:01:20.880]  主啊
[00:01:20.880 --> 00:01:23.080]  當我們打開祢的聖經
[00:01:23.080 --> 00:01:25.280]  翻開祢的話語
