
[00:00:00.000 --> 00:00:03.180]  在大概九十年代末期
[00:00:03.180 --> 00:00:05.080]  當時美國有牧師
[00:00:05.080 --> 00:00:07.080]  發起了一個祈禱運動
[00:00:07.080 --> 00:00:09.900]  有個機構去不同的教會當中
[00:00:09.900 --> 00:00:11.400]  去教祈禱
[00:00:11.400 --> 00:00:13.640]  他的課程的名字叫做
[00:00:13.640 --> 00:00:15.800]  「改變世界的祈禱」
[00:00:15.800 --> 00:00:18.660]  因此很多不同的道士
[00:00:18.660 --> 00:00:20.500]  他的童工
[00:00:20.500 --> 00:00:22.680]  就會去到不同的教會當中
[00:00:22.680 --> 00:00:27.080]  去幫不同的教會做這個祈禱的課程
[00:00:27.080 --> 00:00:29.400]  這個課程的特點就是
[00:00:29.400 --> 00:00:33.040]  要每個參加者都要有一個祈禱書
[00:00:33.040 --> 00:00:35.400]  或者手冊、筆記本
[00:00:35.400 --> 00:00:38.680]  讓他能夠學習到祈禱的功課
[00:00:38.680 --> 00:00:42.260]  這一次有一個道士叫做Paul
[00:00:42.260 --> 00:00:44.960]  他又被機構差遣了
[00:00:44.960 --> 00:00:46.880]  去到美國南部
[00:00:46.880 --> 00:00:50.680]  阿肯薩斯州一個小鎮的教會當中
[00:00:50.680 --> 00:00:52.680]  去教祈禱的課程
[00:00:52.680 --> 00:00:54.680]  祈禱的課程是一年三晚
[00:00:54.680 --> 00:00:58.640]  星期五晚、星期六晚、星期日晚一年三晚
[00:00:58.640 --> 00:01:01.900]  他就一早預備好一切所需要的
[00:01:01.900 --> 00:01:05.560]  星期五上午八點鐘就到了一個小鎮
[00:01:05.560 --> 00:01:07.420]  找一個牧師和他聊天
[00:01:07.420 --> 00:01:09.660]  我預了早點來和他聊聊天
[00:01:09.660 --> 00:01:12.160]  看看有什麼要預備
[00:01:12.160 --> 00:01:14.320]  牧師和Paul說
[00:01:14.320 --> 00:01:16.000]  「感謝主啊
[00:01:16.000 --> 00:01:20.240]  我們教會有一半會衆報名參加祈禱會」
[00:01:20.240 --> 00:01:21.400]  Paul問他
[00:01:21.400 --> 00:01:22.680]  「即是多少人啊?」
[00:01:22.680 --> 00:01:24.800]  「三、四百人左右啦」
[00:01:24.800 --> 00:01:26.360]  是感恩的
[00:01:26.360 --> 00:01:29.920]  教會是回禱告會學祈禱
[00:01:29.920 --> 00:01:31.520]  有三十多人去學
[00:01:31.520 --> 00:01:33.600]  但是Paul就糟糕了
[00:01:33.600 --> 00:01:35.680]  他預備了的書
[00:01:35.680 --> 00:01:37.520]  只有大概七十多本
[00:01:37.520 --> 00:01:39.080]  差了幾百本
[00:01:39.080 --> 00:01:39.920]  「那怎麼辦呢?」
[00:01:39.920 --> 00:01:41.000]  他就和牧師說
[00:01:41.000 --> 00:01:42.800]  「那怎麼辦?不夠書啊」
[00:01:42.800 --> 00:01:43.520]  牧師說
[00:01:43.520 --> 00:01:44.720]  「你教祈禱嘛
[00:01:44.720 --> 00:01:45.560]  你祈禱吧
[00:01:45.560 --> 00:01:47.360]  讓神幫你吧」
[00:01:47.360 --> 00:01:48.560]  Paul就被迫
[00:01:48.560 --> 00:01:49.560]  「難道不祈禱嗎?
[00:01:49.560 --> 00:01:51.440]  我教祈禱就叫祈禱吧」
[00:01:51.440 --> 00:01:54.640]  就去到一個房間當中跪下祈禱
[00:01:54.640 --> 00:01:56.440]  「祈禱 祈禱 祈禱 祈禱 祈禱 祈禱」
[00:01:56.440 --> 00:01:57.800]  又跪又唱詩
[00:01:57.800 --> 00:01:58.920]  又安靜等候
[00:01:58.920 --> 00:02:01.760]  又爭戰粉榜等等
[00:02:01.760 --> 00:02:03.160]  「那怎麼辦呢?」
[00:02:03.160 --> 00:02:06.200]  去到大概十二點鐘
[00:02:06.200 --> 00:02:07.640]  他就感動
[00:02:07.640 --> 00:02:09.920]  就叫他離開教會
[00:02:09.920 --> 00:02:12.320]  就開車出城
[00:02:12.320 --> 00:02:13.760]  他不知道是什麼事
[00:02:13.760 --> 00:02:16.080]  也不太肯定是否神叫他
[00:02:16.080 --> 00:02:16.960]  「大家試試吧
[00:02:16.960 --> 00:02:18.680]  也無計可施了」
[00:02:18.680 --> 00:02:20.680]  就開車離開教會
[00:02:20.680 --> 00:02:23.200]  去了一個城市
[00:02:23.200 --> 00:02:25.680]  去到醒來之後下一步怎麼辦呢?
[00:02:25.680 --> 00:02:27.040]  就問神
[00:02:27.040 --> 00:02:28.600]  神就感動他
[00:02:28.600 --> 00:02:30.920]  「去麥記吧 麥當勞吧」
[00:02:30.920 --> 00:02:32.600]  「沒聽錯吧 麥記?」
[00:02:32.600 --> 00:02:36.800]  「去吧 反正也沒有別的方法」
[00:02:36.800 --> 00:02:37.800]  去到麥記
[00:02:37.800 --> 00:02:39.200]  他就坐下
[00:02:39.200 --> 00:02:40.400]  「那怎麼辦呢?」
[00:02:40.400 --> 00:02:41.440]  就問神
[00:02:41.440 --> 00:02:44.320]  「買漢堡包 買咖啡 買薯條呢?」
[00:02:44.320 --> 00:02:46.520]  「是否要怎麼辦呢?」
[00:02:46.520 --> 00:02:48.360]  他在等待的時候
[00:02:48.360 --> 00:02:49.480]  突然間
[00:02:49.480 --> 00:02:50.720]  外面有人叫他
[00:02:50.720 --> 00:02:52.440]  「爹地」
[00:02:52.440 --> 00:02:55.240]  看見有個女兒在後面
[00:02:55.240 --> 00:02:56.040]  女兒問他
[00:02:56.040 --> 00:02:57.080]  「爸爸 什麼事啊?
[00:02:57.080 --> 00:02:58.840]  叼走了你?」
[00:02:58.840 --> 00:03:00.800]  他將自己的需要
[00:03:00.800 --> 00:03:02.080]  想教這個課程
[00:03:02.080 --> 00:03:03.320]  但不夠書
[00:03:03.320 --> 00:03:04.560]  對女兒說
[00:03:04.560 --> 00:03:05.560]  女兒說
[00:03:05.560 --> 00:03:06.640]  「不用怕
[00:03:06.640 --> 00:03:07.880]  我車在外面
[00:03:07.880 --> 00:03:09.400]  整個車尾箱
[00:03:09.400 --> 00:03:10.360]  都有你的書
[00:03:10.360 --> 00:03:12.280]  足夠你今天所用的」
[00:03:12.280 --> 00:03:14.360]  Paul就很驚嘔
[00:03:14.360 --> 00:03:15.880]  突然有這麼奇怪的叼
[00:03:15.880 --> 00:03:17.640]  發生什麼事?
[00:03:17.640 --> 00:03:18.760]  女兒對他說
[00:03:18.760 --> 00:03:22.680]  原來女兒在附近的大學讀書
[00:03:22.680 --> 00:03:24.000]  剛上學期
[00:03:24.000 --> 00:03:26.080]  就參加了同樣的課程
[00:03:26.080 --> 00:03:30.000]  導師預備了太多的土狗書
[00:03:30.000 --> 00:03:31.600]  多過所需要用的
[00:03:31.600 --> 00:03:34.360]  因此就對女兒說
[00:03:34.360 --> 00:03:35.040]  「不如這樣吧
[00:03:35.040 --> 00:03:35.920]  完了之後
[00:03:35.920 --> 00:03:38.520]  你將書帶回家
[00:03:38.520 --> 00:03:40.400]  等你爸爸用吧」
[00:03:40.400 --> 00:03:41.720]  因爲知道Paul
[00:03:41.720 --> 00:03:43.160]  也是課程的導師
[00:03:43.160 --> 00:03:47.880]  因此她說整個車都是祈禱書
[00:03:47.880 --> 00:03:50.720]  女兒有一個室友
[00:03:50.720 --> 00:03:52.760]  跟她住在同一個鄉下
[00:03:52.760 --> 00:03:55.640]  因此就對女兒說
[00:03:55.640 --> 00:03:57.120]  「不如坐順風車
[00:03:57.120 --> 00:03:59.560]  跟着你的車回家吧」
[00:03:59.560 --> 00:04:01.520]  因爲她要早點回家
[00:04:01.520 --> 00:04:02.440]  預備婚禮
[00:04:02.440 --> 00:04:05.200]  因此想早點離開學校
[00:04:05.200 --> 00:04:06.680]  碰巧
[00:04:06.680 --> 00:04:08.400]  在前一晚的時候
[00:04:08.400 --> 00:04:09.640]  她另一個同學
[00:04:09.640 --> 00:04:13.720]  不夠錢回她的家鄉
[00:04:13.720 --> 00:04:14.760]  回她的城
[00:04:14.760 --> 00:04:16.520]  就問她們兩個
