
[00:00:00.000 --> 00:00:02.420]  領子妹主來平安
[00:00:02.420 --> 00:00:05.780]  我很高興再一次有上帝恩典
[00:00:05.780 --> 00:00:10.360]  讓我在講台上和大家分享上帝的說話
[00:00:10.360 --> 00:00:12.980]  之前也說過
[00:00:12.980 --> 00:00:14.980]  當我們看聖經的時候
[00:00:14.980 --> 00:00:17.560]  無論看新約也好 舊約也好
[00:00:17.560 --> 00:00:20.060]  我們都要問自己一個問題
[00:00:20.060 --> 00:00:22.760]  就是上帝在和我們說什麼話
[00:00:22.760 --> 00:00:27.020]  特別是上帝今天在這樣的環境當中
[00:00:27.020 --> 00:00:31.680]  在我這樣的環境 在英國的環境
[00:00:31.680 --> 00:00:35.280]  在教會的環境當中在和我們說什麼話
[00:00:35.280 --> 00:00:37.920]  當我準備這個約書亞記的時候
[00:00:37.920 --> 00:00:44.200]  就正值我們教會去到第31年
[00:00:44.200 --> 00:00:47.040]  這個10月11月都是我們堂慶月
[00:00:47.040 --> 00:00:49.040]  接下來我們有堂慶
[00:00:49.040 --> 00:00:52.540]  我們11月尾有會友大會
[00:00:52.540 --> 00:00:55.640]  今年也是執事會換屆的時候
[00:00:55.640 --> 00:00:57.640]  有一個新的景象
[00:00:57.640 --> 00:01:00.460]  可能有一個新的意象 新的方向也說不定
[00:01:00.460 --> 00:01:02.880]  也是上帝要和我們說的話
[00:01:02.880 --> 00:01:07.460]  就好像昔日以色列人他們去了一個新的地方一樣
[00:01:07.460 --> 00:01:09.460]  去了一個迦南地
[00:01:09.460 --> 00:01:13.160]  究竟是有一個新的領袖
[00:01:13.160 --> 00:01:15.160]  摩西百年歸老
[00:01:15.160 --> 00:01:17.720]  現在有一個約書帶領他們
[00:01:17.720 --> 00:01:20.300]  去到一個陌生的地方
[00:01:20.300 --> 00:01:24.380]  究竟他們將來的路程會是怎樣呢?
[00:01:24.380 --> 00:01:27.080]  所以昔日上帝和以色列人說的話
[00:01:27.080 --> 00:01:30.320]  也是今天上帝和我們說的話
[00:01:30.320 --> 00:01:35.300]  大家看約書亞記就知道它主要是說打仗
[00:01:35.300 --> 00:01:38.900]  頭半是說打仗 後半是說分地
[00:01:38.900 --> 00:01:41.220]  是說征戰
[00:01:41.220 --> 00:01:49.020]  上次也說過這不是只是用刀和槍去霸地科的一種征戰
[00:01:49.020 --> 00:01:52.720]  背後有一個更深的屬靈的意思在裡面
[00:01:52.720 --> 00:01:54.280]  就是一個所謂屬靈的戰爭
[00:01:54.280 --> 00:01:57.060]  這個也是和我們今天有關的
[00:01:57.060 --> 00:02:00.780]  因為我們說打仗有時候也會問自己關我什麼事
[00:02:00.780 --> 00:02:04.680]  今天英國可以說是很太平
[00:02:04.680 --> 00:02:06.120]  暫時也很太平
[00:02:06.120 --> 00:02:09.440]  世界各地有其他的戰爭
[00:02:09.440 --> 00:02:13.680]  但是似乎影響不了我們
[00:02:13.680 --> 00:02:16.980]  但是所謂戰場這個征戰
[00:02:16.980 --> 00:02:22.000]  其實在我們人生當中我們是不斷會經歷到的
[00:02:22.000 --> 00:02:25.360]  有一句話就是人生如戰場 大家都知道
[00:02:25.360 --> 00:02:28.980]  其實我們一生人就是在打仗
[00:02:28.980 --> 00:02:31.780]  我們從小就入學
[00:02:31.780 --> 00:02:34.920]  我們父母就是打仗
[00:02:34.920 --> 00:02:43.060]  我們父母就是一早就為我們去一些有名氣的幼稚園排隊
[00:02:43.060 --> 00:02:45.600]  排通宵去拿報名表
[00:02:45.600 --> 00:02:48.840]  要爭一張報名表回來
[00:02:48.840 --> 00:02:54.120]  每一天父母打仗就是要叫小朋友起床上學
[00:02:54.120 --> 00:02:56.240]  這個也是一個打仗
[00:02:56.240 --> 00:02:59.020]  我們去我們的家庭 我們的工作
[00:02:59.020 --> 00:03:01.400]  我們每一天在這個世俗的地方
[00:03:01.400 --> 00:03:05.320]  我們遇到很多不信任的人
[00:03:05.320 --> 00:03:07.000]  他們所構造的環境
[00:03:07.000 --> 00:03:09.720]  英國或者甚至其他很多地方
[00:03:09.720 --> 00:03:12.120]  越來越世俗化的環境
[00:03:12.120 --> 00:03:14.440]  我們怎麼能夠站立得穩呢
[00:03:14.440 --> 00:03:17.720]  這個也是一個屬靈的戰爭
[00:03:17.720 --> 00:03:23.000]  其實嬰兒出生就已經是一個打仗
[00:03:23.000 --> 00:03:27.700]  以前我讀書的時候也做過婦產科一段時間
[00:03:27.700 --> 00:03:30.080]  也接生過很多嬰兒
[00:03:30.080 --> 00:03:33.080]  是非常奇妙的 他們來到這個世界
[00:03:33.080 --> 00:03:38.400]  但有一個很大的感受就是他們來到這個世界是不開心的
[00:03:38.400 --> 00:03:40.160]  是真的不開心
[00:03:40.160 --> 00:03:42.920]  如果你說那些可愛否福的
[00:03:42.920 --> 00:03:44.640]  根本他們還沒有準備好
[00:03:44.640 --> 00:03:47.680]  他們還在睡覺 不知道裡面有多舒服
[00:03:47.680 --> 00:03:50.600]  在媽咪的肚子裡 風平浪靜
[00:03:50.600 --> 00:03:55.240]  飯來張口那種 都不用掙扎的
[00:03:55.240 --> 00:03:58.680]  但是突然間你帶到這個世界
[00:03:58.680 --> 00:04:00.840]  一陣風吹過來
[00:04:00.840 --> 00:04:05.760]  十個八個醫生護士學生圍著你 你不怕嗎
[00:04:05.760 --> 00:04:09.080]  所以嬰兒出生就來到這個戰場
[00:04:09.080 --> 00:04:10.920]  每個人都是哭的
[00:04:10.920 --> 00:04:12.840]  我沒有見過一個笑著出來的
[00:04:12.840 --> 00:04:15.920]  笑著出來的可能是怪嬰 我沒有見過
[00:04:15.920 --> 00:04:18.480]  其實就是這樣
[00:04:18.480 --> 00:04:22.280]  純產的那些更加是 他們是掙扎著出來的
