
[00:00:00.000 --> 00:00:05.000]  做這個曲的作者,編那個詩歌的
[00:00:05.000 --> 00:00:09.000]  他說我看到一個城,一個榮耀的城
[00:00:09.000 --> 00:00:14.000]  Holy City,一個聖潔的城
[00:00:14.000 --> 00:00:18.000]  裏面充滿光芒
[00:00:18.000 --> 00:00:22.000]  他也講到當耶穌進到這個城裏面的時候
[00:00:22.000 --> 00:00:24.000]  很多人歡迎他
[00:00:24.000 --> 00:00:31.000]  很多人將自己的最好的衣服鋪在地上歡迎他
[00:00:31.000 --> 00:00:33.000]  他看到這個城
[00:00:33.000 --> 00:00:37.000]  但是一個圖畫也轉變了在他的思想裏面
[00:00:37.000 --> 00:00:39.000]  在他做夢的時候
[00:00:39.000 --> 00:00:42.000]  他也看到這個城曾經是歡樂的
[00:00:42.000 --> 00:00:44.000]  曾經有炫技的
[00:00:44.000 --> 00:00:46.000]  曾經是很光輝的
[00:00:46.000 --> 00:00:49.000]  不過他說他也看到一個城
[00:00:49.000 --> 00:00:53.000]  這個城變成小孩的歌聲沒有
[00:00:53.000 --> 00:00:56.000]  沒有人跳舞,沒有人吹吹笛
[00:00:56.000 --> 00:00:58.000]  沒有人在哪裏高興
[00:00:58.000 --> 00:01:01.000]  那個城是一個deserted的
[00:01:01.000 --> 00:01:07.000]  一個被毀滅的一個城
[00:01:07.000 --> 00:01:14.000]  然後他第三個圖畫是看到另外一個城
[00:01:14.000 --> 00:01:17.000]  是剛纔大家等一下也會看的
[00:01:17.000 --> 00:01:20.000]  那個城是怎麼一個城
[00:01:20.000 --> 00:01:23.000]  那個城是看到新耶路撒冷
[00:01:23.000 --> 00:01:25.000]  New Jerusalem
[00:01:25.000 --> 00:01:27.000]  是耶穌回來的時候
[00:01:27.000 --> 00:01:34.000]  他要帶同一個新的耶路撒冷回到這個世界裏面
[00:01:34.000 --> 00:01:38.000]  而且更新這個大地
[00:01:38.000 --> 00:01:41.000]  最近我就是看新聞
[00:01:41.000 --> 00:01:44.000]  我就發現有一個研究
[00:01:44.000 --> 00:01:46.000]  那個研究是說
[00:01:46.000 --> 00:01:51.000]  你知不知道全世界最適合人居住的國家
[00:01:51.000 --> 00:01:53.000]  不是城市了這一次
[00:01:53.000 --> 00:01:55.000]  國家是哪一個國家
[00:01:55.000 --> 00:02:00.000]  以前我們知道他們有十大的城市
[00:02:00.000 --> 00:02:03.000]  The most livable city in the world
[00:02:03.000 --> 00:02:06.000]  很多時候Melbourne排第三第四
[00:02:06.000 --> 00:02:09.000]  Perth你知不知道有沒有排名的
[00:02:09.000 --> 00:02:13.000]  有的,第六第七這樣的排名
[00:02:13.000 --> 00:02:17.000]  所以我們住在Perth其實蠻幸福的
[00:02:17.000 --> 00:02:20.000]  不過最近的那個research
[00:02:20.000 --> 00:02:24.000]  他就是調查很多的條件各方面
[00:02:24.000 --> 00:02:31.000]  然後他說全世界最值得最好居住的地方的國家
[00:02:31.000 --> 00:02:33.000]  是哪個國家
[00:02:33.000 --> 00:02:36.000]  Australia對了
[00:02:36.000 --> 00:02:44.000]  澳大利亞怪不得你們那麼聰明,全部都是聰明人移民到澳大利亞來
[00:02:44.000 --> 00:02:46.000]  但是另外一個問題
[00:02:46.000 --> 00:02:51.000]  他說第二名,第二個國家
[00:02:51.000 --> 00:02:53.000]  你知不知道在哪個國家
[00:02:53.000 --> 00:02:54.000]  是哪個國家
[00:02:54.000 --> 00:02:57.000]  最livable country in the world
[00:02:57.000 --> 00:03:02.000]  猜猜看
[00:03:02.000 --> 00:03:08.000]  瑞士啊,不是瑞士啊,是挪威,挪威
[00:03:08.000 --> 00:03:15.000]  是挪威,是挪威
[00:03:15.000 --> 00:03:20.000]  作者說,我夢見一個榮耀的聖城
[00:03:20.000 --> 00:03:23.000]  這個城裏面,剛纔我們是說六王紀上
[00:03:23.000 --> 00:03:27.000]  那裏告訴我們第九章,第七章,第八章
[00:03:27.000 --> 00:03:33.000]  是講到神怎麼樣要建立他的聖殿
[00:03:33.000 --> 00:03:36.000]  那個聖殿本來是大魏王
[00:03:36.000 --> 00:03:41.000]  他自己本身想建立一個很雄偉的聖殿
[00:03:41.000 --> 00:03:43.000]  因爲他說我自己住得好好的
[00:03:43.000 --> 00:03:49.000]  但是神的月櫃,月櫃就是the Ark of Covenant
[00:03:49.000 --> 00:03:57.000]  就是他們從埃及出來,到波羅斯坦,到陰許之地
[00:03:57.000 --> 00:04:01.000]  在途中,上帝要他們建立一個會墓
[00:04:01.000 --> 00:04:06.000]  Tabernacle,剛纔不知道有沒有看到
[00:04:06.000 --> 00:04:10.000]  一個會墓
[00:04:10.000 --> 00:04:13.000]  那是沒有建成聖殿之前
[00:04:13.000 --> 00:04:17.000]  有一個會墓
[00:04:17.000 --> 00:04:23.000]  會墓,梁墮,祠篡,材料
[00:04:23.000 --> 00:04:28.000]  什麼都是按照神的意思去建
[00:04:28.000 --> 00:04:31.000]  什麼意思呢?
[00:04:31.000 --> 00:04:36.000]  神從一個地方,從我們被壓迫的一個地方
[00:04:36.000 --> 00:04:39.000]  從以色列人被壓迫的一個地方
[00:04:39.000 --> 00:04:44.000]  帶他們出來,要進到陰許之地
[00:04:44.000 --> 00:04:48.000]  但是從出來到陰許之地
[00:04:48.000 --> 00:04:51.000]  是否有一段的曠野路
[00:04:51.000 --> 00:04:55.000]  本來是十一天就走完那個路
[00:04:55.000 --> 00:04:59.000]  但是他們走了多少年?走了四十年
[00:04:59.000 --> 00:05:03.000]  等一下告訴大家爲什麼
[00:05:03.000 --> 00:05:09.000]  不過在那個從出埃及到進迦南地裏面
[00:05:09.000 --> 00:05:15.000]  陰許之地,聖經說是牛奶與蜜的地方
[00:05:15.000 --> 00:05:23.000]  是很豐富的,有奶有蜜,非常豐富的一個地方
[00:05:23.000 --> 00:05:26.000]  我想請問,當你們還沒有來到Perth的時候
[00:05:26.000 --> 00:05:30.000]  還沒有來到Australia的時候,想不想來?
[00:05:30.000 --> 00:05:35.000]  想嗎?想嗎?聽到覺得蠻好的,是不是啊?
[00:05:35.000 --> 00:05:39.000]  所以你想來,然後我們也來了
[00:05:39.000 --> 00:05:42.000]  但是來有個過程,是不是啊?
[00:05:42.000 --> 00:05:47.000]  有些過程比較順利,有些很坎坷的
[00:05:47.000 --> 00:05:52.000]  有些很不想告訴人我爲什麼來的
[00:05:52.000 --> 00:05:55.000]  我也不想告訴人怎麼來的,對不對?
[00:05:55.000 --> 00:05:58.000]  有些不同的經歷不一樣
[00:05:58.000 --> 00:06:02.000]  好像我們在教會里面有很多人從越南來的
[00:06:02.000 --> 00:06:08.000]  他說我來的時候,兩手空空,一對拖鞋
