
[00:00:00.000 --> 00:00:02.040]  姜:弟兄姊妹,主內平安
[00:00:02.040 --> 00:00:05.320]  姜:今天要跟大家分享一個題目
[00:00:05.320 --> 00:00:08.360]  姜:是摩世必有艱難的日子
[00:00:08.360 --> 00:00:12.720]  姜:記載提摩太後書三章一到五節
[00:00:12.720 --> 00:00:15.080]  姜:和十二到十三節
[00:00:15.080 --> 00:00:16.840]  姜:請聽我讀出
[00:00:16.840 --> 00:00:22.040]  姜:你該知道摩世必有艱難的日子來到
[00:00:22.040 --> 00:00:25.560]  姜:那時人會專愛自己
[00:00:25.560 --> 00:00:27.200]  姜:貪愛錢財
[00:00:27.200 --> 00:00:29.160]  姜:自誇狂傲
[00:00:29.800 --> 00:00:32.040]  姜:誹謗違背父母
[00:00:32.040 --> 00:00:33.840]  姜:忘恩負義
[00:00:33.840 --> 00:00:35.800]  姜:心孤聖節
[00:00:35.800 --> 00:00:37.480]  姜:沒有親情
[00:00:37.480 --> 00:00:39.320]  姜:槓鋸和解
[00:00:39.320 --> 00:00:41.040]  姜:好說禪言
[00:00:41.040 --> 00:00:42.640]  姜:不能折戟
[00:00:42.640 --> 00:00:44.400]  姜:性情凶暴
[00:00:44.400 --> 00:00:46.120]  姜:不愛良善
[00:00:46.120 --> 00:00:47.800]  姜:賣主賣友
[00:00:47.800 --> 00:00:49.680]  姜:任意妄為
[00:00:49.680 --> 00:00:51.120]  姜:自高自大
[00:00:51.120 --> 00:00:52.800]  姜:愛好厭惡
[00:00:52.800 --> 00:00:54.280]  姜:不愛神
[00:00:54.280 --> 00:00:56.360]  姜:有金錢的外貌
[00:00:56.360 --> 00:00:59.000]  姜:卻背棄了金錢實質
[00:00:59.800 --> 00:01:01.600]  姜:這等人你又避開
[00:01:01.600 --> 00:01:03.040]  姜:第十二節
[00:01:03.040 --> 00:01:04.360]  姜:其實
[00:01:04.360 --> 00:01:07.320]  姜:凡立志在基督耶穌裡
[00:01:07.320 --> 00:01:08.800]  姜:盡錢度日的
[00:01:08.800 --> 00:01:11.000]  姜:也都將受迫害
[00:01:11.000 --> 00:01:12.920]  姜:只是作惡的
[00:01:12.920 --> 00:01:14.240]  姜:而騙人的
[00:01:14.240 --> 00:01:16.520]  姜:將變本加厲
[00:01:16.520 --> 00:01:17.800]  姜:迷惑人
[00:01:17.800 --> 00:01:20.040]  姜:也被人迷惑
[00:01:20.040 --> 00:01:24.200]  姜:2021年
[00:01:24.200 --> 00:01:25.280]  姜:在Google
[00:01:25.280 --> 00:01:28.320]  姜:全球最多人受授的詞彙
[00:01:28.720 --> 00:01:30.400]  姜:你沒有想到是什麼嗎?
[00:01:30.400 --> 00:01:33.040]  姜:就是這個
[00:01:33.040 --> 00:01:34.520]  姜:Storm Scrolling
[00:01:34.520 --> 00:01:37.280]  姜:中文就是末日搜索
[00:01:37.280 --> 00:01:41.000]  姜:前一個禮拜前
[00:01:41.000 --> 00:01:44.280]  姜:有一個很好的姊妹就跟我分享
[00:01:44.280 --> 00:01:46.600]  姜:剛剛那個時候是
[00:01:46.600 --> 00:01:48.560]  姜:俄羅斯跟烏克蘭
[00:01:48.560 --> 00:01:49.480]  姜:打仗了
[00:01:49.480 --> 00:01:51.120]  姜:她的女兒
[00:01:51.120 --> 00:01:52.440]  姜:女兒不是小孩哦
[00:01:52.440 --> 00:01:54.160]  姜:是成年人已經結婚了
[00:01:54.160 --> 00:01:54.960]  姜:就問她
[00:01:54.960 --> 00:01:56.160]  姜:媽媽
[00:01:56.960 --> 00:01:58.960]  姜:現在是不是世界末日了?
[00:01:58.960 --> 00:02:01.440]  姜:你看到今年
[00:02:01.440 --> 00:02:02.800]  姜:2022年
[00:02:02.800 --> 00:02:04.680]  姜:剛開始
[00:02:04.680 --> 00:02:07.560]  姜:到處都是有很多很多的天災
[00:02:07.560 --> 00:02:08.480]  姜:炎禍
[00:02:08.480 --> 00:02:12.880]  姜:人都會對末日有一個好奇
[00:02:12.880 --> 00:02:14.920]  姜:那我們這個圖
[00:02:14.920 --> 00:02:18.920]  姜:到底要怎麼去面對這個末世的艱難呢?
[00:02:18.920 --> 00:02:21.760]  姜:首先我想解釋一下
[00:02:21.760 --> 00:02:24.920]  姜:末後一共分開三個階段
[00:02:25.200 --> 00:02:27.920]  姜:免得我們誤會某一個名詞
[00:02:27.920 --> 00:02:30.600]  姜:首先這三個階段
[00:02:30.600 --> 00:02:32.720]  姜:我們常常說的就是末世
[00:02:32.720 --> 00:02:34.760]  姜:很多人問
[00:02:34.760 --> 00:02:38.360]  姜:講末世講了兩千多年
[00:02:38.360 --> 00:02:39.800]  姜:為什麼還是末世啊?
[00:02:39.800 --> 00:02:40.680]  姜:其實
[00:02:40.680 --> 00:02:42.800]  姜:聖經所講的末世
[00:02:42.800 --> 00:02:46.440]  姜:是講主耶穌第一次出生的時候
[00:02:46.440 --> 00:02:49.400]  姜:和祂第二次再來的一個時期
[00:02:49.400 --> 00:02:52.120]  姜:那我們也會叫教會時期
[00:02:52.120 --> 00:02:54.720]  姜:因為耶穌出生以後
[00:02:55.160 --> 00:02:57.000]  姜:就進入末世了
[00:02:57.000 --> 00:03:01.160]  姜:因為祂是第一個無罪的人出生
[00:03:01.160 --> 00:03:03.440]  姜:其實從前在舊約
[00:03:03.440 --> 00:03:05.800]  姜:所出生的人全是罪人
[00:03:05.800 --> 00:03:08.920]  姜:只有耶穌是第一個無罪的人
[00:03:08.920 --> 00:03:11.080]  姜:所以末世就展開了
[00:03:11.080 --> 00:03:15.080]  姜:以前書的一章二十節也這樣講
[00:03:15.080 --> 00:03:18.720]  姜:基督是神在創世以前所預知的
[00:03:18.720 --> 00:03:22.120]  姜:在這末世才為你們顯現的
[00:03:22.120 --> 00:03:23.240]  姜:那很清楚
[00:03:23.640 --> 00:03:27.040]  姜:末世就講到耶穌出生之後就是了
