
[00:00:00.000 --> 00:00:02.960]  已經有一年的時間
[00:00:02.960 --> 00:00:07.280]  我們都生活在新冠19病毒的疫情
[00:00:07.280 --> 00:00:10.780]  所帶來很多不同類型的限制
[00:00:10.780 --> 00:00:13.820]  就連我們的崇拜都不可以如常的舉行
[00:00:13.820 --> 00:00:16.500]  我們要網上直播
[00:00:16.500 --> 00:00:18.240]  所以在這段時間裏面
[00:00:18.240 --> 00:00:21.880]  我相信大家都是感到很不方便
[00:00:21.880 --> 00:00:24.500]  不過我相信對於更加多的人來講
[00:00:24.500 --> 00:00:27.540]  可能不單止是不方便
[00:00:27.540 --> 00:00:30.080]  這個疫情所帶來的
[00:00:30.080 --> 00:00:32.540]  財政上出現困難
[00:00:32.540 --> 00:00:36.920]  和家人有些人要分開兩地
[00:00:36.920 --> 00:00:38.760]  健康可能會變差
[00:00:38.760 --> 00:00:43.720]  甚至可能我們都有一些人面對死亡
[00:00:43.720 --> 00:00:45.040]  我想在這段時間裏面
[00:00:45.040 --> 00:00:46.880]  我們的情緒都會高高低低
[00:00:46.880 --> 00:00:49.340]  好像過山車一樣
[00:00:49.340 --> 00:00:51.680]  明明看到疫情好像好轉
[00:00:51.680 --> 00:00:55.800]  明明那個感染數字接近零
[00:00:55.800 --> 00:00:57.040]  甚至去到零
[00:00:57.040 --> 00:00:58.960]  突然之間一個地區的爆發
[00:00:58.960 --> 00:01:00.920]  疫情又反彈
[00:01:00.920 --> 00:01:02.720]  回復我們以前的光景
[00:01:02.720 --> 00:01:06.960]  一棍可以打下來
[00:01:06.960 --> 00:01:09.380]  在這個不幸裏面
[00:01:09.380 --> 00:01:10.920]  人好像很無助
[00:01:10.920 --> 00:01:13.540]  面對一些我們控制不了的
[00:01:13.540 --> 00:01:16.880]  世間的災難
[00:01:16.880 --> 00:01:18.460]  有時候我們都會不禁問
[00:01:18.460 --> 00:01:20.040]  神呀神呀
[00:01:20.040 --> 00:01:21.800]  在這個疫情裏面
[00:01:21.800 --> 00:01:23.840]  在人面對很多的困難
[00:01:23.840 --> 00:01:24.920]  很多的苦難裏面
[00:01:24.920 --> 00:01:28.500]  神呀神呀 你究竟在哪裏
[00:01:28.500 --> 00:01:30.920]  你看不到這個世界正在受苦嗎
[00:01:30.920 --> 00:01:33.580]  你看不到因為這個疫情的緣故
[00:01:33.580 --> 00:01:39.040]  數以百萬的人因此喪失了生命嗎
[00:01:39.040 --> 00:01:40.340]  我相信在這一年裏面
[00:01:40.340 --> 00:01:44.460]  我們真的不斷地為這個疫情來祈禱
[00:01:44.460 --> 00:01:47.500]  我們為這個疫情所受感染的人來祈禱
[00:01:47.500 --> 00:01:52.120]  為這個疫情我們所很大希望的疫苗來祈禱
[00:01:52.120 --> 00:01:54.800]  為這個世間所有國家的政府
[00:01:54.800 --> 00:01:57.420]  很公平地來派發疫情
[00:01:57.420 --> 00:02:00.800]  為種種的事情來祈禱
[00:02:00.800 --> 00:02:04.300]  不過我不知道大家
[00:02:04.300 --> 00:02:09.620]  有沒有將我們內心抑壓的情緒
[00:02:09.620 --> 00:02:11.460]  帶到神面前
[00:02:11.460 --> 00:02:14.840]  和祂來祈禱呢
[00:02:14.840 --> 00:02:18.880]  今天我們所讀的經文
[00:02:18.880 --> 00:02:23.760]  「私人面對著種種社會的不公平」
[00:02:23.760 --> 00:02:24.840]  簡單來說
[00:02:24.840 --> 00:02:27.540]  從經文裏面我們看到當時私人所面對的就是
[00:02:27.540 --> 00:02:31.880]  為何好人不單止沒有得到好報
[00:02:31.880 --> 00:02:35.180]  反而被惡人所迫害
[00:02:35.180 --> 00:02:39.380]  而惡人不單止沒有得到他們當得的懲罰
[00:02:39.380 --> 00:02:40.340]  反而甚麼
[00:02:40.340 --> 00:02:43.840]  反而每天都很舒服地生活
[00:02:43.840 --> 00:02:46.300]  開心快樂地生活
[00:02:46.300 --> 00:02:49.880]  當人面對這些不公義
[00:02:49.880 --> 00:02:55.760]  當人在這些不公平中受到痛苦的時候
[00:02:55.760 --> 00:02:58.880]  私人就將這個情緒來到神的面前
[00:02:58.880 --> 00:03:01.340]  將他內心的抑鬱
[00:03:01.340 --> 00:03:03.420]  向神宣洩
[00:03:03.420 --> 00:03:04.340]  他就說
[00:03:04.340 --> 00:03:07.640]  神啊,你為甚麼站在遠處
[00:03:07.640 --> 00:03:09.760]  在患難的時候
[00:03:09.760 --> 00:03:11.640]  為甚麼隱藏
[00:03:11.640 --> 00:03:14.680]  我想大家留意這兩句說話
[00:03:14.680 --> 00:03:16.600]  其實這兩句說話告訴我們
[00:03:16.600 --> 00:03:21.260]  私人其實相信神是有能力
[00:03:21.260 --> 00:03:23.880]  是有能力懲罰惡人
[00:03:23.880 --> 00:03:27.220]  是有能力撥亂反正的
[00:03:27.220 --> 00:03:28.380]  不過大家留意
[00:03:28.380 --> 00:03:31.800]  正正是因為有這個信心
[00:03:31.800 --> 00:03:35.180]  其實反而成為私人很大的困擾
[00:03:35.180 --> 00:03:36.180]  為甚麼
[00:03:36.180 --> 00:03:39.060]  因為既然神是有能力
[00:03:39.060 --> 00:03:42.460]  為甚麼他不介入
[00:03:42.460 --> 00:03:45.380]  為甚麼在這個不公義的社會裏面
[00:03:45.380 --> 00:03:49.600]  為甚麼他不主持正義呢
[00:03:49.600 --> 00:03:52.380]  神是否太過忙碌
[00:03:52.380 --> 00:03:58.380]  神是否沒空去理會一些不公義的事情呢
[00:03:58.380 --> 00:04:01.220]  在一個主日學的課室裏面
[00:04:01.220 --> 00:04:06.640]  主日覺樂老師就放了一堆蘋果在桌上
[00:04:06.640 --> 00:04:08.140]  然後上面就放了一個牌
[00:04:08.140 --> 00:04:10.760]  就說你們每人拿一個蘋果
[00:04:10.760 --> 00:04:11.760]  拿一個好了
[00:04:11.760 --> 00:04:13.640]  神是看著的
[00:04:13.640 --> 00:04:17.800]  然後在另一個角落就放了一大堆曲奇餅
[00:04:17.800 --> 00:04:19.600]  老師走開了之後
[00:04:19.600 --> 00:04:21.100]  一個學生
[00:04:21.100 --> 00:04:22.980]  一個頑皮的學生
[00:04:22.980 --> 00:04:24.300]  就寫了另一個牌
[00:04:24.300 --> 00:04:26.800]  放在曲奇餅裏面
[00:04:26.800 --> 00:04:30.340]  你們可以想吃多少就拿多少
[00:04:30.340 --> 00:04:35.600]  因為神忙於看著那個蘋果
[00:04:35.600 --> 00:04:37.680]  也許我們
[00:04:37.680 --> 00:04:41.380]  很多時候我們看神都是類似的
[00:04:41.380 --> 00:04:43.760]  神為甚麼今天看不到我們的困難
[00:04:43.760 --> 00:04:45.840]  也許祂忙於其他的事
[00:04:45.840 --> 00:04:47.260]  忙於另外一個地方
[00:04:47.260 --> 00:04:50.180]  另外一個處境
[00:04:50.180 --> 00:04:52.380]  我們很多時候都有這樣的感覺
[00:04:52.380 --> 00:04:54.920]  但是對於私人來說
[00:04:54.920 --> 00:04:56.560]  祂很肯定
[00:04:56.560 --> 00:05:00.140]  祂很肯定神一直都沒有忘記
[00:05:00.140 --> 00:05:01.560]  因為神說
[00:05:01.560 --> 00:05:08.380]  「你都看見了,謂要以手施行報應」
[00:05:08.380 --> 00:05:10.260]  既然是這樣的時候
[00:05:10.260 --> 00:05:12.180]  既然神有能力
[00:05:12.180 --> 00:05:13.260]  為甚麼?
[00:05:13.260 --> 00:05:17.420]  私人就問為甚麼神你並沒有介入
[00:05:17.420 --> 00:05:19.220]  你為甚麼站在遠處
[00:05:19.220 --> 00:05:21.600]  神在患難的時候
[00:05:21.600 --> 00:05:22.640]  為甚麼隱藏
[00:05:22.640 --> 00:05:24.300]  這個就是私人的吶喊
[00:05:24.300 --> 00:05:25.720]  其實這兩個問題
[00:05:25.720 --> 00:05:27.600]  在歷世歷代
[00:05:27.600 --> 00:05:33.380]  都是無數陷在患難的人所發出的問題
[00:05:33.380 --> 00:05:36.880]  但是今天我想大家在這裏停一停
[00:05:36.880 --> 00:05:37.760]  想一想
[00:05:37.760 --> 00:05:38.600]  我想問大家
[00:05:38.600 --> 00:05:39.720]  我想大家去想一想
[00:05:39.720 --> 00:05:43.100]  究竟私人所說的問題
[00:05:43.100 --> 00:05:47.340]  祂究竟是想尋求一個理性的答案
[00:05:47.340 --> 00:05:52.760]  還是一個情感的控訴呢?
[00:05:52.760 --> 00:05:54.840]  我們需要知道
[00:05:54.840 --> 00:05:59.460]  當我們要很準確去理解一些聖經的經文的時候
[00:05:59.460 --> 00:06:00.380]  其中一個技巧
[00:06:00.380 --> 00:06:05.600]  我們就要知道那一段經文的書寫題材是甚麼
[00:06:05.600 --> 00:06:07.560]  舉一個很簡單的例子
[00:06:07.560 --> 00:06:09.920]  當我們看報紙上的新聞
[00:06:09.920 --> 00:06:11.760]  和看小說的時候
[00:06:11.760 --> 00:06:12.600]  很明顯
[00:06:12.600 --> 00:06:15.020]  兩個不同的題材的時候
[00:06:15.020 --> 00:06:17.760]  我們就要有不同的理解方式
[00:06:17.760 --> 00:06:18.720]  看新聞
[00:06:18.720 --> 00:06:21.680]  很明顯新聞是報導事實的
[00:06:21.680 --> 00:06:24.100]  小說是創作來的
[00:06:24.100 --> 00:06:26.420]  不過雖然今天
[00:06:26.420 --> 00:06:30.140]  小說與新聞的分別越來越含糊
[00:06:30.140 --> 00:06:32.560]  但是無論如何我們都明白
[00:06:32.560 --> 00:06:36.720]  書寫的題材是決定我們如何去理解
[00:06:36.720 --> 00:06:40.100]  當那一段的文字
[00:06:40.100 --> 00:06:41.340]  我們要理解
[00:06:41.340 --> 00:06:43.180]  詩篇第十篇
[00:06:43.180 --> 00:06:47.220]  並不是一些書信
[00:06:47.220 --> 00:06:49.140]  也不是歷史
[00:06:49.140 --> 00:06:52.640]  也不是一些處世真言
[00:06:52.640 --> 00:06:55.640]  詩篇第十篇的書寫題材是
[00:06:55.640 --> 00:06:58.760]  表達哀傷的哀歌
[00:06:58.760 --> 00:07:02.600]  有一次有一個少女
[00:07:02.600 --> 00:07:03.760]  這是真人真事
[00:07:03.760 --> 00:07:06.060]  一個少女被侵犯
[00:07:06.060 --> 00:07:08.060]  甚至是被殺害
[00:07:08.060 --> 00:07:09.520]  抓到謀殺犯
[00:07:09.520 --> 00:07:11.260]  帶上庭的時候
[00:07:11.260 --> 00:07:13.260]  這個母親就在庭上站起來
[00:07:13.260 --> 00:07:14.840]  指著這個殺人犯
[00:07:14.840 --> 00:07:15.640]  然後就說
[00:07:15.640 --> 00:07:17.760]  你為什麼要做出這樣的事情
[00:07:17.760 --> 00:07:18.380]  我想問大家
[00:07:18.380 --> 00:07:21.300]  這個母親當她這樣說的時候
[00:07:21.300 --> 00:07:23.680]  你猜她是不是在問一個理性的原因
[00:07:23.680 --> 00:07:26.680]  為什麼這個殺人犯要殺了她的女兒
[00:07:26.680 --> 00:07:30.300]  還是純粹一個情感的宣洩呢
[00:07:30.300 --> 00:07:33.020]  我相信一個
[00:07:33.020 --> 00:07:35.180]  無論是多麼理性的原因
[00:07:35.180 --> 00:07:36.760]  無論是有多少個原因
[00:07:36.760 --> 00:07:38.520]  當她解答了的時候
[00:07:38.520 --> 00:07:40.760]  都不能夠
[00:07:40.760 --> 00:07:43.480]  將這個母親的哀傷除去
[00:07:43.480 --> 00:07:44.600]  所以也順帶一提
[00:07:44.600 --> 00:07:48.060]  當大家周圍有一些陷在
[00:07:48.060 --> 00:07:52.220]  很大憂傷的人的時候
[00:07:52.220 --> 00:07:55.880]  不要嘗試去提供一些理性的原因
[00:07:55.880 --> 00:07:57.520]  你不需要憂傷
[00:07:57.520 --> 00:07:59.760]  因為怎樣怎樣怎樣
[00:07:59.760 --> 00:08:01.880]  因為通常這樣的做法的時候
[00:08:01.880 --> 00:08:05.380]  會令到憂傷者更加的憂傷
[00:08:05.380 --> 00:08:07.340]  我們要幫助憂傷者
[00:08:07.340 --> 00:08:09.020]  用一個正確
[00:08:09.020 --> 00:08:11.440]  又屬於他的方式
[00:08:11.440 --> 00:08:15.520]  來消除或者轉化他的哀傷
[00:08:15.520 --> 00:08:16.640]  其實
[00:08:16.640 --> 00:08:18.600]  當你說你的問題
[00:08:18.600 --> 00:08:20.640]  將你內心的困擾
[00:08:20.640 --> 00:08:22.100]  抑鬱、哀傷
[00:08:22.100 --> 00:08:23.220]  說出來的時候
[00:08:23.220 --> 00:08:24.600]  其實
[00:08:24.600 --> 00:08:27.300]  已經是一個治療
[00:08:27.300 --> 00:08:30.880]  一個統計上的數字告訴我們
[00:08:30.880 --> 00:08:34.180]  女性通常比男性長命
[00:08:34.180 --> 00:08:35.880]  你知道是多久嗎?
[00:08:35.880 --> 00:08:39.140]  通常是長5至7年的壽命
[00:08:39.140 --> 00:08:40.140]  雖然
[00:08:40.140 --> 00:08:42.720]  沒有一個很統一、一致性的解釋
[00:08:42.720 --> 00:08:44.060]  為什麼會有這樣的現象
[00:08:44.060 --> 00:08:47.300]  但我相信很大部分的原因就是在於
[00:08:47.300 --> 00:08:49.880]  男性很少將他們的心事說出來
[00:08:49.880 --> 00:08:51.880]  女性就什麼都說出來
[00:08:51.880 --> 00:08:54.880]  如果大家來自香港的時候
[00:08:54.880 --> 00:08:55.880]  不知道大家記不記得
