
[00:00:00.000 --> 00:00:03.640]  盧家福在這段十七章的十一至十九節
[00:00:03.640 --> 00:00:06.660]  讓我有一個很有意思的反省
[00:00:06.660 --> 00:00:09.160]  我用了這個題目「忽略」這個字
[00:00:09.160 --> 00:00:13.760]  我們透過經文看到當中的奇妙的意思
[00:00:13.760 --> 00:00:19.140]  我相信「忽略」這件事其實是大家不難明白的一個體會
[00:00:19.140 --> 00:00:21.300]  我們生活裏面很多時候都會忽略
[00:00:21.300 --> 00:00:22.500]  忽略了一些東西
[00:00:22.500 --> 00:00:25.240]  然後造成一些後果
[00:00:25.240 --> 00:00:29.040]  我記得有一年我開車的時候
[00:00:29.040 --> 00:00:30.940]  在駕駛位置
[00:00:30.940 --> 00:00:34.200]  在一個正在泊車的地方
[00:00:34.200 --> 00:00:35.900]  因為我看到地上
[00:00:35.900 --> 00:00:38.000]  我的助手駕駛位置裏面有一張紙
[00:00:38.000 --> 00:00:40.400]  於是乎我就一隻手拿著軚盤
[00:00:40.400 --> 00:00:43.760]  一隻手去撿那張紙
[00:00:43.760 --> 00:00:48.600]  大家猜一下有什麼後果呢
[00:00:48.600 --> 00:00:51.000]  結果就是我的車撞到別人的車裏
[00:00:51.000 --> 00:00:54.840]  是很慢地撞到別人的車裏
[00:00:54.840 --> 00:01:00.160]  一個很愚蠢的想法
[00:01:00.160 --> 00:01:03.600]  自以為可以一心二用
[00:01:03.600 --> 00:01:07.760]  結果造成一個損失
[00:01:07.760 --> 00:01:09.440]  或者這個損失
[00:01:09.440 --> 00:01:12.340]  或者這個由忽略而導致損失
[00:01:12.340 --> 00:01:14.940]  都不算是什麼一回事
[00:01:14.940 --> 00:01:18.660]  因為往後另一個我的忽略
[00:01:18.660 --> 00:01:23.940]  就成為我某個意義來講的一生的記號
[00:01:23.940 --> 00:01:27.900]  就是在澳洲的第一年裏面
[00:01:27.900 --> 00:01:30.260]  情人節的日子
[00:01:30.260 --> 00:01:35.260]  我就送了一張情人卡給我的外人
[00:01:35.260 --> 00:01:38.060]  不過這張卡是什麼都沒有寫的
[00:01:38.060 --> 00:01:39.760]  沒有寫年份
[00:01:39.760 --> 00:01:42.640]  只是寫了我老婆的名字
[00:01:42.640 --> 00:01:46.860]  那麼 事此以後就說
[00:01:46.860 --> 00:01:49.700]  我老婆就說這張卡是否可以循環再用呢
[00:01:49.700 --> 00:01:50.860]  年年都可以用呢
[00:01:50.860 --> 00:01:53.660]  我說是 真的是聰明我的心意
[00:01:53.660 --> 00:01:57.900]  或者我對於某些日子節期的忽略
[00:01:57.900 --> 00:01:59.300]  就造成一個後果
[00:01:59.300 --> 00:02:01.900]  以後師母就會說
[00:02:01.900 --> 00:02:06.240]  你今年有什麼驚喜給我啊
[00:02:06.240 --> 00:02:10.000]  或者其實這些忽略很小事而已
[00:02:10.000 --> 00:02:13.340]  但是如果在我們人生裏面
[00:02:13.340 --> 00:02:15.000]  有些事情忽略了
[00:02:15.000 --> 00:02:19.860]  可能有嚴重的後果
[00:02:19.860 --> 00:02:23.440]  對某些事情你忽略了
[00:02:23.440 --> 00:02:28.060]  反映了你對對方對這件事的重視
[00:02:28.060 --> 00:02:31.460]  特別提醒一些弟兄
[00:02:31.460 --> 00:02:32.940]  二月份的時候
[00:02:32.940 --> 00:02:35.160]  有些日子你要懂得去
[00:02:35.160 --> 00:02:39.660]  好好地去 不要忽略
[00:02:39.660 --> 00:02:44.700]  今天我會從這段經文去看到
[00:02:44.700 --> 00:02:47.840]  聖經裏面同樣反映了
[00:02:47.840 --> 00:02:50.460]  人對主耶穌的忽略
[00:02:50.460 --> 00:02:52.600]  給我們一個反思
[00:02:52.600 --> 00:02:54.240]  在這段經文裏面
[00:02:54.240 --> 00:02:58.440]  有兩種對待主耶穌的心態表現
[00:02:58.440 --> 00:03:00.740]  很值得我們去借鑑
[00:03:00.740 --> 00:03:04.500]  我們就一起同心吐槽
[00:03:04.500 --> 00:03:08.600]  祝求有你的聖靈臨到我們當中
[00:03:08.600 --> 00:03:10.640]  願主你來去補足
[00:03:10.640 --> 00:03:14.700]  不配的僕人所傳講的有限的信息
[00:03:14.700 --> 00:03:16.540]  更好的讓我們去領受
[00:03:16.540 --> 00:03:18.600]  主你豐富的恩情
[00:03:18.600 --> 00:03:21.600]  讓我們更好的全感激的心
[00:03:21.600 --> 00:03:24.300]  去領受主你的恩典
[00:03:24.300 --> 00:03:26.040]  主幫助我們弟兄姊妹一起
[00:03:26.040 --> 00:03:28.600]  在整個話語當中得著啟發
