
[00:00:00.000 --> 00:00:03.000]  我們一起有一個很簡單的祈禱 好嗎?
[00:00:03.000 --> 00:00:13.000]  天父 我們藉著你如此耶穌基督的名誉
[00:00:13.000 --> 00:00:17.000]  現在我們就能夠坦然進到你的面前
[00:00:17.000 --> 00:00:20.000]  天父 我們知道你在這裡
[00:00:20.000 --> 00:00:24.000]  我們很恭敬的將到以下的時間交託給你
[00:00:24.000 --> 00:00:27.000]  懇求你藉著你的靈
[00:00:27.000 --> 00:00:30.000]  感動引導我們
[00:00:30.000 --> 00:00:34.000]  讓我們能夠得到生命的餵養
[00:00:34.000 --> 00:00:37.000]  也都得到生命的改變
[00:00:37.000 --> 00:00:39.000]  我們恭敬在你面前 等候你
[00:00:39.000 --> 00:00:41.000]  知道你會工作
[00:00:41.000 --> 00:00:44.000]  奉耶穌基督的聖名 阿們
[00:00:44.000 --> 00:00:51.000]  人生有時會有不同的轉變
[00:00:51.000 --> 00:00:55.000]  不知道你的人生有沒有很大的轉變
[00:00:55.000 --> 00:00:59.000]  以致你現在有不一樣的人生
[00:00:59.000 --> 00:01:03.000]  聖經記載有一位人物
[00:01:03.000 --> 00:01:07.000]  他自從在大馬色路上
[00:01:07.000 --> 00:01:09.000]  遇見主耶穌之後
[00:01:09.000 --> 00:01:13.000]  他的生命就有很巨大的改變
[00:01:13.000 --> 00:01:15.000]  這位是哪位?
[00:01:15.000 --> 00:01:17.000]  哎呀 真是的 沒錯
[00:01:17.000 --> 00:01:19.000]  這位就是保羅
[00:01:19.000 --> 00:01:23.000]  今年我會嘗試用一個系列
[00:01:23.000 --> 00:01:25.000]  跟大家分享
[00:01:25.000 --> 00:01:31.000]  就是從保羅看不一樣的人生
[00:01:31.000 --> 00:01:33.000]  今天是第一講
[00:01:33.000 --> 00:01:37.000]  今天的題目就是
[00:01:37.000 --> 00:01:39.000]  不一樣的人生
[00:01:39.000 --> 00:01:41.000]  新的方向
[00:01:41.000 --> 00:01:45.000]  我們知道 大家知道
[00:01:45.000 --> 00:01:49.000]  蘇羅又叫做保羅
[00:01:49.000 --> 00:01:53.000]  蘇羅就是希伯來的名字
[00:01:53.000 --> 00:01:57.000]  而保羅就是羅馬的名字
[00:01:57.000 --> 00:02:01.000]  如果我們讀《士徒行傳》到第十三章
[00:02:01.000 --> 00:02:08.000]  我們就看到保羅正式向外幫人宣教
[00:02:08.000 --> 00:02:10.000]  十三章打後
[00:02:10.000 --> 00:02:15.000]  所以你會發現從《士徒行傳》十三章開始
[00:02:15.000 --> 00:02:19.000]  蘇羅又叫做保羅
[00:02:19.000 --> 00:02:21.000]  因為保羅是羅馬的名字
[00:02:21.000 --> 00:02:24.000]  更適合使用
[00:02:24.000 --> 00:02:27.000]  所以今天我的講道
[00:02:27.000 --> 00:02:30.000]  如果你見到蘇羅又見到保羅
[00:02:30.000 --> 00:02:33.000]  其實是同一個人
[00:02:33.000 --> 00:02:35.000]  我們有一段聖經
[00:02:35.000 --> 00:02:37.000]  我們先來看看
[00:02:37.000 --> 00:02:40.000]  在《士徒行傳》九章
[00:02:40.000 --> 00:02:43.000]  我先讀給大家聽
[00:02:43.000 --> 00:02:45.000]  從第一節到九節
[00:02:45.000 --> 00:02:50.000]  請大家慢慢思想神的話
[00:02:50.000 --> 00:02:52.000]  九章第一節
[00:02:52.000 --> 00:02:57.000]  蘇羅仍然向主的門徒
[00:02:57.000 --> 00:03:01.000]  口吐威嚇兇殺的話
[00:03:01.000 --> 00:03:03.000]  去見大祭司
[00:03:03.000 --> 00:03:06.000]  求文書給大馬式的各回堂
[00:03:06.000 --> 00:03:09.000]  若是找著信奉者道的人
[00:03:09.000 --> 00:03:14.000]  無論男女都准他捆綁帶到耶路撒冷
[00:03:14.000 --> 00:03:18.000]  蘇羅行路將到大馬式
[00:03:18.000 --> 00:03:24.000]  忽然從天上發光四面照著他
[00:03:24.000 --> 00:03:26.000]  他就撲倒在地
[00:03:26.000 --> 00:03:29.000]  聽見有聲音對他說
[00:03:29.000 --> 00:03:33.000]  蘇羅!蘇羅!你為什麼迫罷我?
[00:03:33.000 --> 00:03:37.000]  他說:主啊!你是誰?
[00:03:37.000 --> 00:03:43.000]  主說:我就是你所迫罷的耶穌
[00:03:43.000 --> 00:03:46.000]  起來!進城去!
[00:03:46.000 --> 00:03:48.000]  你所當作的事
[00:03:48.000 --> 00:03:50.000]  必有人告訴你
[00:03:50.000 --> 00:03:53.000]  同行的人站在那裡
