
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹 新年快樂
[00:00:02.000 --> 00:00:03.000]  耶穌早晨
[00:00:03.000 --> 00:00:06.500]  讓我們一同為著我們聽和說的福事一同禱告
[00:00:06.500 --> 00:00:08.000]  主我們感謝祢
[00:00:08.000 --> 00:00:11.000]  讓我們能夠有一齊相聚的時間
[00:00:11.000 --> 00:00:13.000]  這是祢呼召我們的
[00:00:13.000 --> 00:00:16.000]  讓我們今日都藉著在經文當中
[00:00:16.000 --> 00:00:18.000]  叫我們能夠有所領受
[00:00:18.000 --> 00:00:20.500]  叫祢看見上帝祢的帶領
[00:00:20.500 --> 00:00:23.000]  看見祢藉著聖靈對我們的提醒
[00:00:23.000 --> 00:00:26.000]  奉著耶穌基督的聖名祈求 阿門
[00:00:26.000 --> 00:00:30.000]  弟兄姊妹 不知道你們有什麼事情是很害怕的呢
[00:00:30.000 --> 00:00:33.000]  有一次我們一群朋友出街
[00:00:33.000 --> 00:00:36.000]  突然有一個朋友說 小心點
[00:00:36.000 --> 00:00:39.000]  然後一群人就嚇得彈起
[00:00:39.000 --> 00:00:42.000]  我就直接衝了出馬路
[00:00:42.000 --> 00:00:47.000]  回過神來 大家就說 什麼呀 叫什麼要小心點
[00:00:47.000 --> 00:00:48.000]  那個朋友就說
[00:00:48.000 --> 00:00:52.000]  我純粹提一提你前面冷氣機滴水 叫你小心點
[00:00:52.000 --> 00:00:55.000]  大家就很害怕
[00:00:55.000 --> 00:00:57.000]  最特別是什麼呢
[00:00:57.000 --> 00:01:00.000]  最不特別是大家聽到這個警告的時候
[00:01:00.000 --> 00:01:03.000]  大家在想的事情其實都不一樣
[00:01:03.000 --> 00:01:06.000]  有人以為是有蟑螂
[00:01:06.000 --> 00:01:08.000]  有人以為有老鼠
[00:01:08.000 --> 00:01:12.000]  有人又說我以為是有個醉酒佬在衝出來
[00:01:12.000 --> 00:01:16.000]  甚至有人誇張到說我以為有鬼
[00:01:16.000 --> 00:01:18.000]  那我呢 我在怕什麼呢
[00:01:18.000 --> 00:01:20.000]  我在看什麼 我在想什麼呢
[00:01:20.000 --> 00:01:23.000]  我在這個鬧市旺角的街頭
[00:01:23.000 --> 00:01:25.000]  我突然在那一刻覺得
[00:01:25.000 --> 00:01:27.000]  他在叫的是因為有條蛇出來了
[00:01:27.000 --> 00:01:29.000]  因為我最怕就是蛇
[00:01:29.000 --> 00:01:31.000]  這件事令我發現了一樣東西
[00:01:31.000 --> 00:01:35.000]  就是原來有人這樣嚇你的時候
[00:01:35.000 --> 00:01:39.000]  是會令你直接聯想起一樣你最怕的東西
