
[00:00:00.000 --> 00:00:03.000]  今天跟大家分享這個主題的信息
[00:00:03.000 --> 00:00:05.000]  我希望能夠鼓勵到大家
[00:00:05.000 --> 00:00:08.000]  在這一篇詩篇145篇裏面
[00:00:08.000 --> 00:00:13.000]  其實是大衛在150篇詩篇裏頭最後的一篇
[00:00:13.000 --> 00:00:18.000]  亦都可以說在詩篇有8篇的字母詩
[00:00:18.000 --> 00:00:21.000]  這一首就是最後的一篇
[00:00:21.000 --> 00:00:30.000]  大家知道字母詩篇其實是將希伯來文的字母
[00:00:30.000 --> 00:00:33.000]  大家知道希伯來文有多少個字母?
[00:00:33.000 --> 00:00:35.000]  22個,沒錯
[00:00:35.000 --> 00:00:38.000]  我們英文就有26個由A到Z
[00:00:38.000 --> 00:00:41.000]  但是希伯來文就只有22個字母
[00:00:41.000 --> 00:00:43.000]  那麼問題就在這裏
[00:00:43.000 --> 00:00:45.000]  如果我們心水清的弟兄姊妹
[00:00:45.000 --> 00:00:47.000]  一讀到145篇
[00:00:47.000 --> 00:00:51.000]  請問中文的譯本我們有多少節聖經?
[00:00:51.000 --> 00:00:53.000]  詩篇145篇
[00:00:53.000 --> 00:00:57.000]  你回來回去你只看到21節
[00:00:57.000 --> 00:01:00.000]  那麼是不是有問題呢?
[00:01:00.000 --> 00:01:01.000]  其實不是
[00:01:01.000 --> 00:01:05.000]  聖經學者很清楚去解決了這個問題
[00:01:05.000 --> 00:01:07.000]  而且研究了很深入的
[00:01:07.000 --> 00:01:11.000]  他們因為這個是手抄本的遺漏
[00:01:11.000 --> 00:01:17.000]  其實在第13節後半部
[00:01:17.000 --> 00:01:20.000]  他們有一個希伯來文的字母
[00:01:20.000 --> 00:01:24.000]  就是N,None這個字在那裏出現的
[00:01:24.000 --> 00:01:28.000]  就是那個有一些早期的手抄本抄漏了
[00:01:28.000 --> 00:01:32.000]  所以日後他們來看 22個字母
[00:01:32.000 --> 00:01:36.000]  在每一節的聖經裏面都是出現
[00:01:36.000 --> 00:01:38.000]  這首確實是一個字母詩
[00:01:38.000 --> 00:01:41.000]  而對於猶太人他們很注重
[00:01:41.000 --> 00:01:43.000]  詩篇145篇
[00:01:43.000 --> 00:01:45.000]  除了一個原因作者是大衛
[00:01:45.000 --> 00:01:48.000]  是他們最敬重的一個皇帝之外
[00:01:48.000 --> 00:01:51.000]  就是因為他們認為這首讚美詩
[00:01:51.000 --> 00:01:53.000]  是能夠好表達得到
[00:01:53.000 --> 00:01:56.000]  我們今日去信靠神的人
[00:01:56.000 --> 00:01:59.000]  我們的生命是必須有這一種
[00:01:59.000 --> 00:02:03.000]  去稱重神的能力、恩典、尊榮
[00:02:03.000 --> 00:02:06.000]  如果我們心裏面是有這一份的仰望
[00:02:06.000 --> 00:02:08.000]  和依靠的時候
