
[00:00:00.000 --> 00:00:04.060]  今天要講的題目叫做一切從這經開始
[00:00:04.060 --> 00:00:06.980]  如果你看過那張PowerPoint的封面
[00:00:06.980 --> 00:00:10.220]  你也會猜到其實是在講聖經
[00:00:10.220 --> 00:00:14.700]  其實想強調教會其中一件事是不可以沒有的
[00:00:14.700 --> 00:00:15.960]  就是聖經
[00:00:15.960 --> 00:00:18.300]  很多東西都可以沒有
[00:00:18.300 --> 00:00:20.780]  但是如果我們扔掉了聖經
[00:00:20.780 --> 00:00:25.440]  我想那間也應該不可以叫做教會
[00:00:25.440 --> 00:00:30.960]  在古時我們也明白Ecclesia這個字是來自新約
[00:00:30.960 --> 00:00:32.760]  但是其實在新約之前
[00:00:32.760 --> 00:00:35.860]  神叫呼召的群體是以色列人
[00:00:35.860 --> 00:00:41.480]  以色列人在他們的生命裡面有三個很重要的象徵
[00:00:41.480 --> 00:00:42.920]  大家知道是什麼嗎?
[00:00:42.920 --> 00:00:45.360]  其實很簡單而已
[00:00:45.360 --> 00:00:48.280]  分別就是Holy Land 聖地
[00:00:48.280 --> 00:00:50.460]  Holy Temple 聖殿
[00:00:50.460 --> 00:00:53.720]  和Holy Scripture 聖經
[00:00:53.720 --> 00:00:57.940]  我今天很想用這三樣東西作為一個開頭和結尾
[00:00:57.940 --> 00:01:01.600]  我們思考一下到底聖經的重要性是什麼
[00:01:01.600 --> 00:01:04.520]  我不知道你對舊約的歷史熟不熟悉
[00:01:04.520 --> 00:01:08.300]  你知不知道所謂的Holy Land 聖地其實是在哪裡來的?
[00:01:08.300 --> 00:01:15.000]  以色列
[00:01:15.000 --> 00:01:16.520]  Holy Land 我說錯了嗎?
[00:01:16.520 --> 00:01:18.100]  為什麼這麼安靜?
[00:01:18.100 --> 00:01:20.780]  以色列被稱為英許之地
[00:01:20.780 --> 00:01:23.400]  其實如果我們記得上個星期講過
[00:01:23.400 --> 00:01:25.260]  上帝告訴亞伯拉罕
[00:01:25.260 --> 00:01:26.820]  給他迦南地
[00:01:26.820 --> 00:01:28.080]  就是叫你去那裡
[00:01:28.080 --> 00:01:31.760]  亞伯拉罕去了
[00:01:31.760 --> 00:01:35.400]  但是他的子孫又因為各種原因去了埃及
[00:01:35.400 --> 00:01:37.480]  直到摩西出現
[00:01:37.480 --> 00:01:39.300]  大概主前一千四百年
[00:01:39.300 --> 00:01:42.340]  他們就帶著以色列人離開埃及
[00:01:42.340 --> 00:01:44.420]  直到約書亞的時代
[00:01:44.420 --> 00:01:46.180]  就帶他們進入迦南地
[00:01:46.180 --> 00:01:50.580]  但是他們在迦南地前後的日子大概是八百年而已
[00:01:50.940 --> 00:01:53.480]  直到主前的大概六世紀
[00:01:53.480 --> 00:01:55.700]  以色列滅亡
[00:01:55.700 --> 00:01:57.160]  猶大滅亡
[00:01:57.160 --> 00:01:58.840]  我不跟你說
[00:01:58.840 --> 00:02:02.160]  直到現在1940年有六日戰爭
[00:02:02.160 --> 00:02:03.500]  然後以色列又復國
[00:02:03.500 --> 00:02:05.000]  但我想強調
[00:02:05.000 --> 00:02:07.360]  其實聖地
[00:02:07.360 --> 00:02:09.640]  縱然上帝說了給他們
[00:02:09.640 --> 00:02:13.540]  但是其實也只有八百年後就沒有了
[00:02:13.540 --> 00:02:15.140]  聖殿呢
[00:02:15.140 --> 00:02:16.920]  你對聖殿有什麼認識?
[00:02:19.060 --> 00:02:22.580]  聖殿是所羅門時代第一次建成
[00:02:22.580 --> 00:02:26.440]  大概是主前的一千年左右
[00:02:26.440 --> 00:02:28.180]  但是它建成之後
[00:02:28.180 --> 00:02:30.880]  直到猶大滅亡的時候
[00:02:30.880 --> 00:02:32.040]  聖殿被毀
[00:02:32.040 --> 00:02:34.560]  但是當我們看聖經耶穌時代
