
[00:00:00.000 --> 00:00:05.400]  多謝各位早晨,很高興能夠再次在主日崇拜的時間和大家一起去分享神的說話
[00:00:05.400 --> 00:00:07.800]  讓我們開始聆聽主導議先
[00:00:07.800 --> 00:00:11.800]  我們再次禱告,能夠將我們的新心靈交給我們主愛的神
[00:00:31.000 --> 00:00:36.000]  各位親愛的父神,多謝您讓我們能夠再次回到您的根前
[00:00:36.000 --> 00:00:39.000]  去同心協力學習主理的道理
[00:00:39.000 --> 00:00:42.000]  求父神您的靈與我們同在
[00:00:42.000 --> 00:00:45.000]  帶領我們能夠更明白主理的新心意
[00:00:45.000 --> 00:00:51.000]  求您也讓我們能夠在新心靈當中完全毀身
[00:00:51.000 --> 00:00:55.000]  當我們學習了主理的道理之後,並且能夠付諸於實行
[00:00:55.000 --> 00:01:00.000]  很想我們能夠從今天起更加活得詳恩主理的心意
[00:01:00.000 --> 00:01:05.000]  也能夠更加學會如何預備在永恆當中與您同活
[00:01:05.000 --> 00:01:10.000]  我們親愛的父神感謝您讓我們能夠再次來到主日在一節
[00:01:10.000 --> 00:01:12.000]  來到聆聽主理的話語
[00:01:12.000 --> 00:01:14.000]  求您的聖靈帶領我們
[00:01:14.000 --> 00:01:19.000]  使我們能夠準確地把握聖經裡面您的啟示
[00:01:19.000 --> 00:01:23.000]  特別是主耶穌基督為我們所成就的救恩
[00:01:23.000 --> 00:01:25.000]  讓我們更準確地把握
[00:01:25.000 --> 00:01:27.000]  求您的與我們同在
[00:01:27.000 --> 00:01:30.000]  讓我們新心靈都在您的心靈的帶領當中
[00:01:30.000 --> 00:01:32.000]  使我們好好地預備
[00:01:32.000 --> 00:01:35.000]  怎麼樣在永恆當中與您同活
[00:01:35.000 --> 00:01:39.000]  也讓我們從今天開始能夠更活得像您
[00:01:39.000 --> 00:01:44.000]  我們的聖父神感謝您再次地給予我們時間
[00:01:44.000 --> 00:01:47.000]  讓我們能夠一起研究祢的道理
[00:01:47.000 --> 00:01:51.000]  我們要求祢的聖靈給予我們指導
[00:01:51.000 --> 00:01:55.000]  讓我們知道如何為您準備心靈
[00:01:55.000 --> 00:01:57.000]  不僅為您服務
[00:01:57.000 --> 00:02:00.000]  也為我們能夠在永恆當中與您同活
[00:02:00.000 --> 00:02:04.000]  所以幫助我們了解祢是誰
[00:02:04.000 --> 00:02:08.000]  也讓我們學習如何將我們的生命從現在開始
[00:02:08.000 --> 00:02:10.000]  到永恆
[00:02:10.000 --> 00:02:15.000]  讓我們所做的一切都在主耶穌基督的喜悅之中
[00:02:15.000 --> 00:02:17.000]  所以請幫助我們
[00:02:17.000 --> 00:02:20.000]  我們在主耶穌基督的名下祈禱
[00:02:20.000 --> 00:02:22.000]  我們同心地禱告感恩
[00:02:22.000 --> 00:02:24.000]  奉靠主耶穌的聖名致求
[00:02:24.000 --> 00:02:26.000]  阿們
[00:02:50.000 --> 00:02:53.000]  第一章18-24
[00:02:53.000 --> 00:02:55.000]  福音書的名稱是
[00:02:55.000 --> 00:03:00.000]  「相信耶穌基督並非單純的個人事」
[00:03:00.000 --> 00:03:03.000]  讓我們再次回到這段聖經裡
[00:03:03.000 --> 00:03:08.000]  我們先讀一次能夠明白經文裡所記載的內容
[00:03:08.000 --> 00:03:11.000]  我會為大家讀出和合本的版本
[00:03:11.000 --> 00:03:13.000]  我會先以廣東話
[00:03:13.000 --> 00:03:15.000]  然後再以普通話讀出
[00:03:15.000 --> 00:03:17.000]  然後我們也會為大家讀出
[00:03:17.000 --> 00:03:20.000]  NET New English Translation的版本
[00:03:20.000 --> 00:03:22.000]  請大家一起留心
[00:03:22.000 --> 00:03:24.000]  如果你有不同的版本的話
[00:03:24.000 --> 00:03:27.000]  你可以打開你的版本跟著就可以了
[00:03:27.000 --> 00:03:33.000]  加拉太書的第一章是18-24節
[00:03:33.000 --> 00:03:37.000]  加拉太書的第一章18-24節
[00:03:37.000 --> 00:03:42.000]  「過了三年才上耶路撒冷去見基督
[00:03:42.000 --> 00:03:44.000]  我他同住了十五天
[00:03:44.000 --> 00:03:48.000]  至於別的使徒除了主的兄弟雅各
[00:03:48.000 --> 00:03:50.000]  我都沒有看見
[00:03:50.000 --> 00:03:53.000]  我寫信給你們的不是謊話
[00:03:53.000 --> 00:03:55.000]  這是我在神面前說的
[00:03:55.000 --> 00:03:59.000]  以後我到了敘利亞和基里加境內
[00:03:59.000 --> 00:04:05.000]  那時猶太信基督的各教會都沒有見過我的面
[00:04:05.000 --> 00:04:08.000]  不過聽說那從前逼迫我們的
[00:04:08.000 --> 00:04:12.000]  現在傳揚他原先所殘害的真道
[00:04:12.000 --> 00:04:16.000]  他們就為我的緣故歸永祐給神
[00:04:16.000 --> 00:04:21.000]  「過了三年才上耶路撒冷去見基督
[00:04:21.000 --> 00:04:23.000]  我他同住了十五天
[00:04:23.000 --> 00:04:28.000]  至於別的使徒除了主的兄弟雅各
[00:04:28.000 --> 00:04:30.000]  我都沒有看見
[00:04:30.000 --> 00:04:34.000]  我寫信給你們的不是謊話
[00:04:34.000 --> 00:04:37.000]  這是我在神面前說的
[00:04:37.000 --> 00:04:43.000]  以後我在到了敘利亞和基里加境內
[00:04:43.000 --> 00:04:49.000]  那時猶太信基督的各教會都沒有見過我的面
[00:04:49.000 --> 00:04:53.000]  不過聽說那從前逼迫我們的
[00:04:53.000 --> 00:04:58.000]  現在傳揚他原先所殘害的真道
[00:04:58.000 --> 00:05:02.000]  他們就為我的緣故歸永祐給神」
[00:05:03.000 --> 00:05:10.000]  「過了三年才上耶路撒冷去見基督
