
[00:00:00.000 --> 00:00:07.400]  各位觀看今日崇拜直播或者網絡的弟兄姊妹或者朋友
[00:00:07.400 --> 00:00:10.400]  我首先向你們問安
[00:00:10.400 --> 00:00:14.200]  Stay safe and be healthy
[00:00:14.200 --> 00:00:18.000]  時時小心保持健康
[00:00:18.000 --> 00:00:25.400]  這句說話成為了我近三個月來給學生朋友的問安
[00:00:25.400 --> 00:00:33.400]  亦在此先做一個告解式的致歉
[00:00:33.400 --> 00:00:38.800]  這次是我人生第一次做網上直播講道
[00:00:38.800 --> 00:00:44.200]  面對平時現在不見了的會眾
[00:00:44.200 --> 00:00:48.000]  好像在我們這個學期要在網上教學一樣
[00:00:48.000 --> 00:00:50.800]  看不到學生的面容
[00:00:50.800 --> 00:00:52.400]  我今日未必很適應
[00:00:52.400 --> 00:00:57.000]  所以我今日的講道可能和平時有些不同
[00:00:57.000 --> 00:01:00.200]  做定期望管理
[00:01:00.200 --> 00:01:03.600]  今日講題其實在兩三個月前已經做定
[00:01:03.600 --> 00:01:06.800]  其實當時我不是很知我今日會講甚麼
[00:01:06.800 --> 00:01:11.200]  在三代經課首先我選了書信經課
[00:01:11.200 --> 00:01:16.600]  即是我剛才讀出的羅馬書八章六至十一節
[00:01:16.600 --> 00:01:21.000]  一邊讀的時候一邊讀一邊讀
[00:01:21.000 --> 00:01:24.400]  我學的講道學大部份都說
[00:01:24.400 --> 00:01:27.600]  你開始的時候先將經文讀至少三次
[00:01:27.600 --> 00:01:29.400]  看看有甚麼感應
[00:01:29.400 --> 00:01:31.400]  一讀到第十節就覺得
[00:01:31.400 --> 00:01:35.800]  就在第十節原句抽出文字出來做講題
[00:01:35.800 --> 00:01:38.200]  就引經文做主線
[00:01:38.200 --> 00:01:41.000]  這是一個比較安全的做法
[00:01:41.000 --> 00:01:42.800]  所以就定下了
[00:01:42.800 --> 00:01:44.800]  身體因罪而死
[00:01:44.800 --> 00:01:47.400]  心靈因而而活
[00:01:47.400 --> 00:01:52.600]  身體因罪而死 靈靈因而而活
[00:01:52.600 --> 00:01:55.400]  玩下少少押韻
[00:01:55.400 --> 00:02:01.400]  其實當時我已經想了幾個很出位的講題
[00:02:01.400 --> 00:02:03.800]  不過有些構想就覺得
[00:02:03.800 --> 00:02:05.400]  有少少語不驚人四不休
[00:02:05.400 --> 00:02:06.000]  都是不好
[00:02:06.000 --> 00:02:07.800]  幸好現在發現
[00:02:07.800 --> 00:02:12.000]  基本上沒有再沒有用
[00:02:12.000 --> 00:02:16.000]  當時其實疫情已經開始令人擔心
[00:02:16.000 --> 00:02:18.600]  這個大概是一月下旬
[00:02:18.600 --> 00:02:20.400]  其實你無法想像
[00:02:20.400 --> 00:02:24.200]  今天是無法聚會成為了網上直播
[00:02:24.200 --> 00:02:27.000]  我們這些講道的言說的對象
[00:02:27.000 --> 00:02:29.000]  就變成了不是一個一個
[00:02:29.000 --> 00:02:32.000]  我們平時見到具體的在面前的會眾
[00:02:32.000 --> 00:02:33.600]  很多都是認識的
[00:02:33.600 --> 00:02:35.800]  現在變成是在疫情
[00:02:35.800 --> 00:02:41.800]  可能在家裏求平安的香港市民在看
[00:02:41.800 --> 00:02:44.800]  整個講道的心境視野
[00:02:44.800 --> 00:02:47.800]  是有了很大的不同
[00:02:47.800 --> 00:02:50.600]  感應到就是在現在的疫情之下
[00:02:50.600 --> 00:02:52.200]  大家都是面對
[00:02:52.200 --> 00:02:56.000]  我叫做面對死路生路的當下
[00:02:56.000 --> 00:02:59.800]  我們看國依然是尋道
[00:02:59.800 --> 00:03:02.000]  講道是需要回應這個時代
[00:03:02.000 --> 00:03:05.200]  所以我今天是用了一種類比的思維
[00:03:05.200 --> 00:03:10.400]  希望將經文和經驗互相參讀
