
[00:00:00.000 --> 00:00:01.280]  我們先進入祈禱
[00:00:01.280 --> 00:00:04.640]  主耶穌恩代我們如何分辨大小的事
[00:00:04.640 --> 00:00:07.120]  祂們是先顧念臣
[00:00:07.120 --> 00:00:08.920]  你看為大的事
[00:00:08.920 --> 00:00:10.760]  以至在我們身上
[00:00:10.760 --> 00:00:13.080]  臣你看為小的事
[00:00:13.080 --> 00:00:15.400]  同樣要顧念成就
[00:00:15.400 --> 00:00:17.560]  恩代我們奉耶穌基督的名求
[00:00:17.560 --> 00:00:19.040]  阿門
[00:00:19.040 --> 00:00:21.040]  在撒迦尼亞的故事中
[00:00:21.040 --> 00:00:23.440]  撒迦尼亞聽見天使跟她說
[00:00:23.440 --> 00:00:25.600]  你要生一個孩子
[00:00:25.600 --> 00:00:27.520]  撒迦尼亞只回答一句
[00:00:27.520 --> 00:00:30.600]  她說:我憑著什麼可知道這事
[00:00:30.600 --> 00:00:31.720]  我已經老了
[00:00:31.720 --> 00:00:34.960]  我的妻子也都年紀老了
[00:00:34.960 --> 00:00:36.960]  天使給她什麼回應呢?
[00:00:36.960 --> 00:00:38.560]  因為你的不信
[00:00:38.560 --> 00:00:39.960]  你要啞巴
[00:00:39.960 --> 00:00:41.080]  說不了話
[00:00:41.080 --> 00:00:43.600]  直至到你的孩子
[00:00:43.600 --> 00:00:46.560]  約翰出世為止
[00:00:46.560 --> 00:00:49.200]  其實撒迦尼亞
[00:00:49.200 --> 00:00:51.240]  看上去這個問題
[00:00:51.240 --> 00:00:54.520]  都不是很大的問題
[00:00:54.520 --> 00:00:56.960]  很合乎人的常理
[00:00:56.960 --> 00:00:59.120]  為什麼天使要罰她呢?
[00:00:59.120 --> 00:01:00.080]  更加
[00:01:00.080 --> 00:01:02.120]  同樣是《路加福音》第一章
[00:01:02.120 --> 00:01:03.720]  我們再看下去
[00:01:03.720 --> 00:01:08.480]  撒迦尼亞同樣蒙加伯列天使向她顯現
[00:01:08.480 --> 00:01:11.760]  同樣說:你將要生一個孩子
[00:01:11.760 --> 00:01:14.800]  當然我們知道是耶穌
[00:01:14.800 --> 00:01:18.160]  但是撒迦尼亞沒有受罰
[00:01:18.160 --> 00:01:22.200]  兒子有些回答了
[00:01:22.200 --> 00:01:24.680]  昨晚我和太太聊完經文
[00:01:24.680 --> 00:01:29.120]  我問:為什麼神罰撒迦尼亞
